Sample:	'1
File name:	Default_20230620_155440.FD3
Run date:	'15:48:19, 06/20/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/280.0	-80.06
2	225.0/295.0	-40.42
3	230.0/310.0	13.79
4	235.0/305.0	19.67
5	235.0/545.0	-12.65
6	235.0/555.0	-40.03
7	235.0/615.0	-11.88
8	240.0/610.0	-61.82
9	245.0/295.0	17.26
10	245.0/530.0	66.57
11	245.0/620.0	-38.18
12	250.0/360.0	 2100
13	250.0/545.0	51.28
14	250.0/600.0	-22.32
15	250.0/635.0	-17.30
16	255.0/280.0	272.0
17	255.0/555.0	49.79
18	255.0/640.0	-11.78
19	260.0/285.0	355.0
20	260.0/570.0	36.94
21	260.0/620.0	-9.168
22	265.0/235.0	-8.528
23	265.0/290.0	374.7
24	265.0/585.0	43.26
25	270.0/295.0	572.4
26	270.0/590.0	46.40
27	275.0/235.0	-14.60
28	275.0/305.0	699.7
29	275.0/605.0	49.71
30	275.0/640.0	-1.059
31	280.0/310.0	657.8
32	280.0/615.0	32.62
33	285.0/240.0	-9.216
34	285.0/255.0	-9.410
35	285.0/315.0	672.2
36	285.0/355.0	401.6
37	285.0/625.0	29.21
38	290.0/235.0	-7.185
39	290.0/245.0	-11.25
40	290.0/320.0	634.5
41	290.0/365.0	397.0
42	290.0/640.0	25.51
43	295.0/330.0	486.9
44	300.0/335.0	446.8
45	300.0/595.0	705.9
46	305.0/260.0	-4.662
47	305.0/340.0	481.3
48	310.0/245.0	-4.046
49	310.0/345.0	430.5
50	315.0/250.0	-3.928
51	315.0/275.0	-1.732
52	320.0/265.0	-2.854
53	320.0/360.0	379.0
54	320.0/580.0	3.026
55	325.0/365.0	362.0
56	330.0/245.0	-3.901
57	330.0/370.0	307.3
58	335.0/235.0	-3.194
59	335.0/305.0	0.096
60	335.0/380.0	330.2
61	335.0/605.0	-0.450
62	340.0/385.0	318.7
63	340.0/625.0	-2.173
64	345.0/300.0	-1.927
65	345.0/390.0	287.5
66	345.0/600.0	-0.372
67	350.0/285.0	-2.409
68	350.0/295.0	-2.077
69	350.0/315.0	-1.867
70	350.0/395.0	281.9
71	355.0/280.0	-1.982
72	355.0/405.0	270.1
73	355.0/625.0	-0.752
74	355.0/640.0	-2.421
75	360.0/255.0	-2.930
76	360.0/275.0	-3.361
77	360.0/330.0	-1.392
78	360.0/410.0	242.7
79	360.0/630.0	-2.109
80	365.0/325.0	-2.059
81	365.0/335.0	-0.948
82	365.0/415.0	233.5
83	365.0/635.0	-1.730
84	370.0/285.0	-2.167
85	370.0/425.0	218.1
86	375.0/245.0	-2.463
87	375.0/280.0	-2.158
88	375.0/430.0	190.8
89	380.0/295.0	-1.092
90	380.0/435.0	174.8
91	380.0/625.0	-1.577
92	385.0/280.0	-2.658
93	385.0/335.0	-1.634
94	385.0/445.0	156.7
95	390.0/265.0	-0.361
96	390.0/300.0	-1.728
97	390.0/605.0	0.202
98	390.0/620.0	-0.543
99	395.0/245.0	-0.907
100	395.0/295.0	-1.242
101	395.0/310.0	-1.382
102	395.0/340.0	-1.389
103	395.0/455.0	115.3
104	395.0/585.0	2.181
105	395.0/630.0	-1.396
106	400.0/315.0	-1.188
107	400.0/465.0	95.98
108	405.0/300.0	-1.418
109	405.0/470.0	79.26
110	410.0/260.0	-1.262
111	410.0/295.0	-1.884
112	410.0/320.0	-1.371
113	410.0/360.0	-1.064
114	415.0/275.0	-1.310
115	415.0/485.0	54.55
116	420.0/280.0	-1.016
117	420.0/340.0	-1.175
118	420.0/490.0	45.33
119	425.0/305.0	-1.298
120	430.0/245.0	-1.108
121	430.0/325.0	-0.902
122	435.0/300.0	-1.240
123	435.0/625.0	-1.260
124	440.0/515.0	20.20
125	445.0/240.0	-0.630
126	445.0/345.0	0.064
127	445.0/525.0	17.52
128	450.0/280.0	-0.996
129	450.0/530.0	13.89
130	450.0/600.0	0.480
