Sample:	'1
File name:	Default_20230301_162626.FD3
Run date:	'16:20:05, 03/01/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/565.0	-46.76
2	230.0/580.0	-24.79
3	230.0/640.0	-27.78
4	240.0/520.0	65.34
5	240.0/565.0	-17.30
6	240.0/575.0	-19.25
7	240.0/590.0	-17.55
8	245.0/265.0	195.7
9	245.0/530.0	56.83
10	250.0/415.0	213.3
11	250.0/445.0	164.0
12	250.0/545.0	60.53
13	250.0/625.0	10.01
14	255.0/485.0	96.29
15	255.0/555.0	68.38
16	260.0/405.0	201.1
17	260.0/445.0	164.9
18	265.0/580.0	133.6
19	270.0/465.0	137.4
20	270.0/590.0	145.2
21	275.0/305.0	 1933
22	275.0/600.0	129.9
23	275.0/645.0	40.76
24	280.0/240.0	-11.52
25	280.0/425.0	149.9
26	280.0/515.0	48.52
27	280.0/615.0	87.09
28	290.0/265.0	-1.985
29	290.0/640.0	33.36
30	295.0/240.0	-4.822
31	295.0/535.0	23.71
32	295.0/555.0	7.330
33	300.0/270.0	-2.319
34	300.0/540.0	17.20
35	305.0/235.0	-4.773
36	305.0/260.0	-1.595
37	305.0/340.0	338.6
38	310.0/345.0	289.8
39	310.0/400.0	143.9
40	315.0/255.0	-1.785
41	315.0/350.0	220.8
42	315.0/410.0	136.9
43	315.0/565.0	4.262
44	315.0/585.0	0.486
45	320.0/245.0	-3.124
46	320.0/360.0	224.0
47	325.0/365.0	224.3
48	330.0/275.0	-0.999
49	330.0/370.0	196.2
50	330.0/575.0	2.339
51	335.0/255.0	-2.653
52	335.0/295.0	1.604
53	335.0/375.0	196.6
54	335.0/425.0	114.4
55	340.0/265.0	-1.084
56	340.0/385.0	201.1
57	340.0/615.0	-1.692
58	345.0/255.0	-0.925
59	345.0/390.0	175.9
60	345.0/585.0	1.867
61	350.0/235.0	-1.297
62	350.0/300.0	-0.700
63	350.0/395.0	173.6
64	350.0/445.0	100.2
65	350.0/600.0	-0.143
66	355.0/405.0	165.8
67	360.0/275.0	-1.565
68	360.0/285.0	-1.638
69	360.0/410.0	142.5
70	360.0/630.0	-1.474
71	365.0/305.0	0.449
72	365.0/415.0	137.5
73	365.0/580.0	2.726
74	370.0/425.0	131.6
75	370.0/615.0	-0.780
76	375.0/260.0	-1.042
77	375.0/285.0	-1.086
78	375.0/430.0	111.8
79	375.0/605.0	-0.329
80	375.0/625.0	-0.952
81	380.0/280.0	-0.743
82	380.0/435.0	102.3
83	380.0/640.0	-0.937
84	385.0/315.0	-0.761
85	385.0/445.0	94.07
86	390.0/270.0	-1.083
87	390.0/450.0	76.53
88	395.0/455.0	67.25
89	400.0/250.0	-1.034
90	400.0/280.0	-0.780
91	400.0/465.0	57.75
92	405.0/470.0	45.28
93	410.0/475.0	38.48
94	415.0/285.0	-0.782
95	415.0/485.0	33.25
96	415.0/585.0	1.437
97	420.0/490.0	28.06
98	425.0/495.0	24.09
99	430.0/505.0	20.30
100	435.0/510.0	15.91
101	440.0/300.0	-0.613
102	440.0/515.0	14.07
103	445.0/525.0	11.77
104	450.0/530.0	10.05
105	455.0/540.0	7.704
106	465.0/550.0	4.537
107	475.0/565.0	2.684
108	480.0/365.0	0.248
109	485.0/340.0	0.072
110	485.0/580.0	0.680
111	490.0/440.0	0.338
112	490.0/585.0	0.566
113	495.0/320.0	0.177
114	495.0/355.0	0.249
115	500.0/345.0	0.371
116	500.0/600.0	-0.267
117	505.0/610.0	-0.278
118	515.0/625.0	-0.551
119	520.0/595.0	-0.322
120	535.0/295.0	2.432
121	535.0/600.0	-0.546
122	545.0/305.0	2.601
123	555.0/310.0	1.929
124	565.0/440.0	-0.963

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
