Sample:	'1
File name:	Default_20230714_150553.FD3
Run date:	'14:59:33, 07/14/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/290.0	3.433
2	225.0/310.0	30.01
3	225.0/485.0	12.83
4	225.0/585.0	-10.09
5	225.0/610.0	-14.71
6	230.0/540.0	-3.757
7	230.0/625.0	-21.87
8	235.0/510.0	26.20
9	235.0/535.0	-5.549
10	235.0/560.0	1.177
11	235.0/595.0	-9.051
12	235.0/610.0	-10.83
13	240.0/520.0	49.99
14	240.0/565.0	-0.018
15	240.0/605.0	-16.46
16	240.0/625.0	-5.680
17	245.0/265.0	173.1
18	245.0/535.0	36.16
19	245.0/590.0	-0.216
20	245.0/615.0	-7.278
21	245.0/635.0	5.834
22	250.0/365.0	 1987
23	250.0/545.0	33.13
24	255.0/280.0	275.1
25	255.0/555.0	54.87
26	255.0/600.0	-0.934
27	255.0/610.0	-4.749
28	255.0/630.0	-2.137
29	260.0/285.0	365.9
30	260.0/565.0	59.63
31	265.0/290.0	379.9
32	265.0/480.0	27.39
33	265.0/580.0	52.01
34	265.0/620.0	3.775
35	265.0/645.0	-2.119
36	270.0/295.0	500.9
37	270.0/590.0	44.71
38	275.0/245.0	-0.010
39	275.0/305.0	572.7
40	275.0/605.0	54.28
41	280.0/255.0	-1.474
42	280.0/310.0	494.3
43	280.0/510.0	13.07
44	280.0/615.0	29.72
45	285.0/245.0	-0.920
46	285.0/315.0	493.6
47	285.0/505.0	17.99
48	285.0/520.0	9.850
49	285.0/630.0	30.31
50	290.0/260.0	-1.632
51	290.0/320.0	456.5
52	290.0/385.0	100.6
53	290.0/445.0	40.59
54	290.0/480.0	20.57
55	290.0/530.0	6.109
56	290.0/645.0	26.84
57	295.0/330.0	331.1
58	300.0/275.0	1.429
59	300.0/335.0	319.8
60	300.0/540.0	4.365
61	305.0/340.0	359.8
62	305.0/440.0	36.69
63	305.0/520.0	9.667
64	305.0/550.0	3.543
65	310.0/235.0	-1.049
66	310.0/265.0	-0.405
67	310.0/345.0	307.1
68	310.0/535.0	6.154
69	310.0/575.0	0.157
70	315.0/290.0	0.605
71	315.0/570.0	1.044
72	320.0/245.0	0.232
73	320.0/295.0	0.488
74	320.0/360.0	240.6
75	320.0/565.0	1.213
76	325.0/260.0	-1.324
77	325.0/280.0	0.204
78	325.0/300.0	1.103
79	325.0/365.0	212.4
80	325.0/555.0	2.505
81	325.0/585.0	0.738
82	330.0/235.0	-0.468
83	330.0/370.0	169.0
84	330.0/580.0	1.215
85	335.0/375.0	165.0
86	335.0/405.0	36.42
87	335.0/630.0	-0.078
88	340.0/245.0	-0.459
89	340.0/305.0	1.514
90	340.0/385.0	173.2
91	340.0/420.0	34.67
92	340.0/595.0	-0.034
93	345.0/390.0	142.6
94	345.0/590.0	0.219
95	350.0/315.0	0.649
96	350.0/395.0	140.7
97	350.0/615.0	-0.007
98	350.0/635.0	0.546
99	355.0/300.0	0.422
100	355.0/405.0	133.2
101	355.0/600.0	0.283
102	360.0/410.0	111.2
103	360.0/585.0	0.418
104	365.0/415.0	107.0
105	370.0/425.0	94.24
106	375.0/325.0	0.280
107	375.0/340.0	0.651
108	375.0/430.0	79.10
109	375.0/585.0	0.586
110	380.0/240.0	0.163
111	380.0/435.0	76.50
112	385.0/445.0	63.90
113	385.0/590.0	0.516
114	390.0/450.0	52.35
115	395.0/455.0	49.17
116	395.0/620.0	0.353
117	400.0/465.0	42.54
118	405.0/470.0	31.86
119	410.0/475.0	31.94
120	420.0/490.0	21.14
121	420.0/520.0	2.805
122	425.0/495.0	19.38
123	425.0/620.0	0.172
124	430.0/505.0	17.37
125	435.0/510.0	13.16
126	440.0/520.0	12.97
127	445.0/525.0	11.66
128	450.0/530.0	8.825
129	455.0/535.0	8.652
130	460.0/545.0	7.508
131	470.0/560.0	4.256
132	480.0/575.0	2.193
133	485.0/355.0	5.690
134	485.0/580.0	1.855
135	490.0/590.0	0.865
136	495.0/365.0	6.512
137	495.0/595.0	0.951
138	500.0/605.0	1.042
139	505.0/610.0	0.459
140	515.0/285.0	1.269
141	525.0/290.0	0.811
142	525.0/575.0	0.666
143	535.0/295.0	1.326
144	540.0/300.0	1.208
145	550.0/305.0	1.444
146	560.0/310.0	1.388
147	570.0/315.0	1.654
148	580.0/320.0	1.246

Data points
