Sample:	'1
File name:	Default_20230203_102907.FD3
Run date:	'10:22:46, 02/03/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/300.0	21.26
2	230.0/605.0	-97.61
3	240.0/260.0	145.5
4	240.0/480.0	 1052
5	240.0/520.0	75.99
6	245.0/265.0	160.8
7	245.0/365.0	778.5
8	245.0/530.0	58.68
9	250.0/445.0	301.1
10	250.0/545.0	45.54
11	255.0/280.0	450.6
12	255.0/555.0	55.75
13	260.0/445.0	327.1
14	260.0/565.0	79.94
15	265.0/345.0	510.5
16	265.0/430.0	313.3
17	270.0/295.0	 1950
18	270.0/420.0	324.3
19	270.0/450.0	317.7
20	270.0/465.0	282.6
21	270.0/590.0	135.4
22	275.0/240.0	-24.21
23	275.0/255.0	-16.25
24	275.0/305.0	 1874
25	275.0/435.0	329.9
26	275.0/600.0	113.3
27	280.0/370.0	368.6
28	280.0/615.0	63.61
29	285.0/260.0	-16.81
30	285.0/380.0	392.1
31	290.0/390.0	392.0
32	290.0/405.0	406.5
33	290.0/640.0	22.86
34	300.0/335.0	388.3
35	300.0/400.0	395.8
36	305.0/240.0	-8.170
37	305.0/340.0	415.5
38	310.0/245.0	-6.784
39	310.0/345.0	355.6
40	315.0/255.0	-7.368
41	315.0/350.0	296.0
42	320.0/235.0	-4.418
43	320.0/270.0	-6.017
44	320.0/360.0	311.3
45	320.0/600.0	-3.871
46	325.0/265.0	-6.143
47	325.0/285.0	-3.676
48	325.0/365.0	322.5
49	325.0/615.0	-2.847
50	330.0/370.0	286.8
51	335.0/285.0	-4.065
52	335.0/380.0	286.7
53	340.0/255.0	-3.813
54	340.0/385.0	295.7
55	340.0/595.0	-1.412
56	340.0/625.0	-3.600
57	345.0/275.0	-3.693
58	345.0/390.0	259.2
59	345.0/635.0	-1.624
60	350.0/395.0	248.6
61	350.0/615.0	-1.599
62	355.0/280.0	-2.749
63	355.0/300.0	-2.998
64	355.0/405.0	245.8
65	355.0/620.0	-2.222
66	360.0/240.0	-3.328
67	360.0/270.0	-3.122
68	360.0/410.0	225.1
69	360.0/615.0	-0.973
70	365.0/415.0	215.0
71	370.0/320.0	-2.966
72	370.0/425.0	208.3
73	375.0/250.0	-3.064
74	375.0/430.0	186.2
75	375.0/635.0	-2.238
76	380.0/440.0	164.7
77	385.0/445.0	155.2
78	395.0/280.0	-1.962
79	400.0/240.0	-2.403
80	400.0/330.0	-1.679
81	400.0/465.0	95.63
82	415.0/240.0	-1.742
83	415.0/485.0	52.05
84	420.0/325.0	-2.055
85	425.0/255.0	-1.985
86	425.0/400.0	-0.954
87	425.0/495.0	35.59
88	430.0/380.0	-1.292
89	430.0/505.0	29.12
90	435.0/510.0	22.43
91	445.0/525.0	16.16
92	450.0/530.0	13.22
93	460.0/545.0	8.531
94	470.0/345.0	-0.261
95	470.0/560.0	4.041
96	480.0/380.0	-0.035
97	480.0/575.0	1.528
98	490.0/360.0	0.580
99	505.0/445.0	-0.795
100	510.0/280.0	-0.167
101	515.0/625.0	-1.011
102	520.0/460.0	-0.581
103	535.0/295.0	1.421
104	545.0/300.0	2.057
105	545.0/400.0	-0.825
106	550.0/305.0	1.584
107	550.0/440.0	-0.838
108	565.0/465.0	-0.962
109	570.0/455.0	-0.978
110	570.0/490.0	-1.528
111	575.0/325.0	-0.540
112	580.0/355.0	-0.982
113	585.0/260.0	-1.679
114	590.0/245.0	-1.978
115	590.0/420.0	-0.389
116	595.0/400.0	-1.079

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-145.2	-83.83	590.3	564.7	-26.76	-67.87	-61.97	-51.38	-35.92	-39.88	-37.65	-31.75	-19.96	-24.78	-16.81	-12.57	-11.30	-9.786	-10.89	-9.649	-6.853	-6.740	-5.742	-6.564	-4.903	-4.722	-5.616	-4.936	-4.960	-4.712	-4.295	-4.265	-3.093	-3.892	-3.191	-3.196	-2.964	-2.777	-2.800	-3.112	-2.917	-2.785	-2.757	-2.507	-2.676	-2.603	-2.257	-1.492	-0.821	-0.120	-1.117	-1.763	-2.075	-2.175	-2.202	-2.265	-2.586	-2.425	-2.723	-2.279	-2.408	-2.603	-2.035	-2.670	-2.596	-2.745	-2.688	-2.368	-2.497	-2.544	-2.643	-2.631	-3.028	-2.733	-2.669	-2.409	-2.539
235.0	-185.3	-133.1	173.9	 1218	 1032	-4.840	-51.10	-45.40	-38.47	-34.94	-30.12	-27.55	-25.26	-23.29	-14.55	-15.57	-10.87	-12.36	-9.349	-8.853	-4.418	-8.632	-5.165	-5.594	-6.030	-5.931	-4.199	-4.709	-4.206	-5.297	-4.652	-4.456	-3.764	-3.787	-3.992	-2.786	-3.029	-2.977	-2.327	-2.460	-3.210	-3.012	-2.577	-2.826	-2.797	-2.486	-2.465	-2.091	-1.891	-1.019	0.285	0.667	-1.076	-2.241	-2.130	-2.419	-2.358	-2.088	-2.831	-2.224	-2.018	-2.368	-1.637	-2.708	-2.733	-2.254	-2.816	-2.215	-2.565	-2.581	-2.267	-2.165	-2.491	-2.338	-2.596	-2.626	-2.875
240.0	-200.2	-126.4	-73.63	578.2	 1969	846.9	-22.89	-41.04	-52.89	-43.30	-33.41	-24.21	-28.21	-21.77	-13.49	-14.66	-11.09	-8.170	-8.237	-9.213	-7.258	-7.283	-7.213	-6.685	-5.800	-4.988	-4.729	-4.471	-3.328	-3.828	-4.394	-4.443	-2.710	-3.163	-3.251	-3.119	-2.403	-3.596	-3.078	-1.742	-3.386	-2.387	-3.673	-2.782	-2.521	-2.558	-2.745	-1.695	-2.350	-1.440	-0.589	0.649	2.611	0.189	-1.264	-1.986	-2.012	-2.119	-2.449	-2.260	-2.357	-2.309	-2.639	-2.860	-2.857	-2.488	-2.021	-2.669	-2.722	-2.296	-2.980	-2.247	-2.732	-2.908	-2.610	-3.347	-2.687
245.0	-195.8	-103.4	-62.61	98.42	 1168	 2281	680.3	-39.80	-46.74	-49.60	-31.33	-33.64	-30.11	-17.49	-17.18	-16.35	-8.752	-9.554	-6.784	-11.33	-8.028	-6.708	-7.383	-5.868	-6.083	-5.618	-4.342	-3.937	-3.613	-3.808	-4.184	-4.471	-3.213	-4.318	-3.322	-3.079	-2.649	-3.301	-2.948	-2.593	-2.441	-2.506	-3.771	-2.810	-2.661	-2.340	-2.851	-2.022	-2.318	-1.393	-1.283	-1.507	0.763	2.252	2.055	-0.175	-1.827	-2.259	-2.805	-2.730	-2.017	-2.933	-2.908	-2.457	-2.416	-3.207	-2.005	-2.799	-2.741	-2.946	-2.410	-2.916	-2.483	-3.186	-1.978	-3.217	-3.109
250.0	-177.6	-126.1	-74.60	5.607	234.8	 1186	 2105	 1044	124.7	-34.51	-35.08	-29.84	-27.85	-17.47	-15.50	-13.83	-11.07	-9.451	-8.868	-8.025	-6.976	-6.935	-7.024	-5.468	-4.682	-4.920	-4.058	-4.382	-3.985	-4.104	-4.417	-3.064	-4.242	-3.953	-3.995	-2.779	-3.405	-3.462	-2.992	-2.661	-2.798	-2.701	-3.164	-2.646	-2.382	-2.531	-2.230	-2.412	-2.209	-1.553	-1.502	-2.342	-1.513	-0.843	0.348	1.967	3.636	1.966	-0.096	-1.545	-2.062	-2.890	-2.587	-2.553	-2.483	-2.814	-2.294	-2.793	-2.530	-2.597	-2.621	-2.554	-2.414	-2.589	-2.642	-2.970	-2.824
255.0	-157.0	-135.2	-104.6	41.23	90.91	222.4	762.9	 2814	 1499	173.5	-34.11	-16.25	-21.10	-21.51	-17.41	-17.38	-13.98	-7.388	-7.960	-7.368	-8.524	-7.758	-6.596	-4.314	-3.813	-5.161	-5.889	-5.762	-4.257	-3.190	-4.170	-3.659	-3.216	-3.980	-3.298	-3.766	-3.383	-3.447	-2.699	-2.549	-2.508	-1.985	-3.155	-2.856	-2.149	-2.750	-1.493	-2.403	-2.310	-1.923	-1.379	-1.878	-2.023	-1.640	-1.569	-1.050	0.086	2.607	5.212	5.908	1.251	-2.370	-2.170	-2.311	-2.376	-2.086	-2.154	-3.199	-2.856	-2.396	-2.907	-2.552	-2.119	-2.806	-3.084	-3.473	-3.078
260.0	-214.9	-90.13	-109.1	-8.482	145.5	60.45	138.2	 1272	 3573	 1285	61.63	-25.86	-23.72	-16.81	-19.91	-14.97	-12.14	-8.728	-9.055	-10.06	-8.200	-7.329	-8.403	-5.351	-5.055	-5.983	-4.747	-5.008	-3.901	-3.481	-5.269	-3.928	-3.746	-3.967	-3.506	-3.287	-3.480	-3.323	-3.189	-2.357	-2.409	-2.329	-3.041	-2.966	-2.131	-2.596	-2.244	-2.145	-1.443	-2.003	-1.669	-1.269	-1.607	-1.586	-1.713	-1.550	-1.941	-1.119	1.159	5.717	9.607	4.505	0.051	-1.936	-2.333	-2.186	-2.346	-3.350	-2.799	-2.403	-2.695	-3.086	-2.448	-1.679	-2.174	-3.187	-2.917
265.0	-222.3	-148.6	-116.8	-68.68	109.4	160.8	-4.821	288.1	 1946	 4324	 1004	18.77	-22.29	-17.97	-18.97	-15.51	-11.09	-11.78	-8.743	-7.888	-7.142	-6.143	-9.028	-5.880	-5.262	-5.422	-4.731	-5.648	-5.133	-4.570	-4.883	-4.938	-4.954	-3.148	-3.825	-2.846	-2.800	-2.776	-2.614	-2.412	-2.124	-1.993	-2.977	-2.137	-2.286	-2.773	-1.712	-1.864	-1.813	-1.533	-1.451	-1.239	-1.472	-1.239	-1.618	-1.814	-2.453	-1.707	-1.013	0.238	4.292	9.913	9.252	2.909	-1.209	-3.184	-2.066	-2.775	-2.881	-2.696	-2.159	-3.563	-2.842	-2.167	-2.437	-2.653	-2.822
270.0	-178.5	-124.0	-116.8	-94.33	-38.13	144.7	169.6	93.33	460.8	 1998	 4145	 2919	249.8	-15.77	-15.52	-10.34	-11.90	-10.23	-8.686	-9.066	-6.017	-7.480	-5.478	-5.963	-6.223	-5.496	-5.329	-4.935	-3.122	-5.050	-3.751	-4.190	-4.226	-2.947	-3.142	-3.100	-2.741	-3.116	-3.291	-2.135	-2.538	-2.583	-2.906	-2.948	-1.549	-2.249	-2.441	-2.371	-1.909	-1.562	-1.758	-1.889	-2.155	-1.913	-1.807	-1.452	-1.679	-1.828	-1.957	-1.399	-0.710	1.437	4.138	7.035	11.82	7.011	1.472	-2.348	-2.610	-2.608	-2.667	-2.724	-2.759	-2.098	-2.689	-2.618	-3.060
