Sample:	'1
File name:	Default_20230225_104517.FD3
Run date:	'10:38:55, 02/25/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	235.0/260.0	89.70
2	240.0/265.0	107.2
3	240.0/405.0	 1054
4	245.0/270.0	114.4
5	270.0/595.0	117.0
6	275.0/345.0	 2642
7	275.0/605.0	113.5
8	325.0/255.0	1.993
9	455.0/345.0	7.124
10	555.0/340.0	12.19
11	560.0/350.0	12.13

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	36.48	422.2	582.4	105.0	3.103	1.606	1.551	1.683	1.520	1.722	1.838	1.916	1.739	1.466	1.117	0.902	0.784	0.679	0.672	0.601	0.540	0.570	0.557	0.555	0.497	0.404	0.430	0.336	0.364	0.337	0.293	0.258	0.245	0.236	0.192	0.310	0.326	0.273	0.246	0.222	0.218	0.314	0.294	0.200	0.174	0.150	0.327	1.306	2.509	2.208	0.925	0.214	0.098	0.108	0.087	0.069	0.081	0.075	0.065	0.073	0.057	0.055	0.053	0.056	0.055	0.041	0.058	0.052	0.054	0.044	0.041	0.039	0.037	0.050	0.033	0.045	0.035
235.0	32.24	129.6	471.1	517.8	143.1	3.239	1.704	1.807	2.095	1.914	2.055	1.991	1.705	1.629	1.039	0.913	0.794	0.702	0.714	0.611	0.640	0.510	0.574	0.624	0.468	0.486	0.364	0.318	0.344	0.298	0.300	0.240	0.178	0.223	0.148	0.251	0.277	0.304	0.260	0.232	0.245	0.242	0.292	0.292	0.233	0.205	0.194	0.421	0.886	1.494	2.299	2.546	1.563	0.388	0.092	0.070	0.108	0.076	0.069	0.045	0.045	0.058	0.051	0.064	0.057	0.051	0.062	0.067	0.056	0.052	0.039	0.038	0.042	0.057	0.040	0.058	0.043
240.0	48.30	44.28	175.2	658.7	448.7	107.6	2.981	2.196	2.279	2.225	2.379	2.323	1.767	1.360	1.267	1.033	0.797	0.826	0.614	0.590	0.655	0.542	0.527	0.535	0.459	0.535	0.442	0.447	0.346	0.295	0.363	0.235	0.194	0.203	0.196	0.268	0.235	0.291	0.266	0.303	0.275	0.222	0.187	0.212	0.283	0.288	0.245	0.214	0.350	0.472	1.086	2.780	3.981	3.106	1.214	0.225	0.107	0.087	0.078	0.054	0.046	0.056	0.048	0.059	0.039	0.056	0.049	0.033	0.076	0.038	0.056	0.034	0.027	0.061	0.070	0.049	0.068
245.0	47.07	48.14	50.42	306.1	883.9	380.4	68.54	3.010	2.231	2.136	2.414	2.426	2.093	1.685	1.450	1.021	0.904	0.756	0.672	0.671	0.545	0.744	0.528	0.623	0.455	0.483	0.469	0.413	0.312	0.306	0.336	0.240	0.206	0.220	0.192	0.190	0.164	0.200	0.270	0.314	0.266	0.223	0.208	0.156	0.195	0.282	0.317	0.300	0.219	0.214	0.342	0.964	2.378	4.467	5.208	3.097	0.829	0.134	0.081	0.066	0.063	0.075	0.062	0.068	0.036	0.075	0.056	0.045	0.068	0.050	0.054	0.028	0.053	0.024	0.049	0.038	0.074
250.0	22.34	50.19	57.51	87.04	378.9	888.8	807.4	141.8	10.55	2.692	2.480	2.702	1.979	1.814	1.499	1.109	0.941	0.796	0.737	0.748	0.574	1.486	0.529	0.583	0.478	0.511	0.402	0.414	0.362	0.321	0.312	0.269	0.206	0.239	0.179	0.199	0.202	0.171	0.205	0.253	0.274	0.245	0.204	0.179	0.178	0.218	0.208	0.309	0.331	0.291	0.270	0.329	0.667	1.477	3.019	4.736	6.124	5.319	3.163	0.911	0.102	0.093	0.066	0.080	0.072	0.070	0.067	0.043	0.044	0.051	0.062	0.030	0.041	0.031	0.055	0.043	0.055
255.0	8.738	18.91	63.63	82.13	100.0	278.0	 1029	 1465	198.7	10.36	3.413	3.210	2.171	2.326	1.572	1.291	1.067	0.827	0.858	0.815	0.822	1.993	0.615	0.654	0.537	0.562	0.431	0.458	0.385	0.373	0.286	0.284	0.309	0.268	0.230	0.205	0.186	0.145	0.139	0.184	0.272	0.301	0.225	0.216	0.180	0.167	0.184	0.218	0.254	0.304	0.413	0.518	0.341	0.435	0.777	1.249	2.499	5.255	9.080	9.187	4.980	0.897	0.086	0.076	0.077	0.074	0.074	0.048	0.049	0.034	0.054	0.032	0.027	0.037	0.053	0.037	0.063
260.0	5.657	9.598	31.04	89.70	74.26	73.47	399.3	 1533	 1488	154.2	6.209	3.650	3.027	2.490	1.986	1.208	0.958	0.915	0.794	0.768	0.689	1.435	0.640	0.641	0.555	0.496	0.492	0.469	0.398	0.321	0.275	0.346	0.247	0.270	0.201	0.205	0.187	0.188	0.180	0.135	0.188	0.267	0.229	0.197	0.263	0.191	0.196	0.167	0.198	0.177	0.283	0.537	0.572	0.393	0.318	0.416	0.668	1.590	4.269	9.069	12.01	9.404	3.434	0.463	0.099	0.108	0.069	0.078	0.045	0.078	0.037	0.030	0.041	0.062	0.067	0.025	0.039
265.0	10.94	7.427	12.74	55.02	107.2	56.60	105.7	653.3	 1919	 1310	116.5	5.385	3.681	2.572	1.876	1.502	1.042	1.041	0.782	0.885	0.827	0.876	0.665	0.613	0.604	0.586	0.504	0.508	0.407	0.351	0.288	0.338	0.301	0.244	0.214	0.236	0.218	0.221	0.225	0.164	0.192	0.346	0.265	0.259	0.229	0.280	0.215	0.265	0.158	0.196	0.157	0.316	0.558	0.702	0.548	0.258	0.279	0.500	1.085	2.877	6.852	12.56	13.62	7.489	1.840	0.186	0.117	0.080	0.087	0.065	0.056	0.045	0.081	0.065	0.046	0.060	0.025
270.0	46.61	28.60	18.50	23.61	72.43	114.4	91.24	188.5	732.1	 1643	 1649	503.7	25.21	3.360	2.439	1.661	1.408	1.186	1.004	0.920	0.829	0.872	0.714	0.646	0.637	0.567	0.520	0.463	0.420	0.383	0.361	0.344	0.272	0.254	0.275	0.250	0.322	0.537	0.349	0.359	0.356	0.414	0.398	0.390	0.374	0.345	0.267	0.302	0.263	0.193	0.185	0.212	0.256	0.430	0.546	0.625	0.633	0.473	0.488	0.818	1.802	3.931	7.107	10.35	11.98	10.51	6.006	1.776	0.200	0.091	0.072	0.055	0.077	0.078	0.049	0.074	0.037
