Sample:	'1
File name:	Default_20250318_102318.FD3
Run date:	'10:16:57, 03/18/2025
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/345.0	 1084
2	225.0/585.0	50.00
3	225.0/600.0	42.24
4	225.0/625.0	38.31
5	225.0/645.0	38.31
6	245.0/395.0	778.8
7	250.0/400.0	773.4
8	265.0/430.0	716.4
9	265.0/585.0	63.23
10	270.0/595.0	58.46
11	275.0/605.0	55.76
12	280.0/340.0	 1063
13	280.0/620.0	54.66
14	320.0/360.0	325.8
15	330.0/375.0	325.5
16	335.0/380.0	343.5
17	530.0/385.0	5.141
18	535.0/375.0	5.260
19	560.0/340.0	6.692

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	141.5	 4236	9999.9	 3124	84.85	12.28	8.521	6.083	4.633	4.261	3.615	3.521	3.490	3.149	2.674	2.534	2.328	2.121	2.009	1.890	1.971	1.785	1.819	1.839	1.806	1.883	1.696	1.521	1.515	1.474	1.577	1.412	1.357	1.371	1.221	1.186	1.112	1.083	0.922	0.849	0.767	0.732	0.835	0.740	0.663	0.636	1.226	7.051	20.31	23.86	12.30	2.586	0.633	0.392	0.403	0.334	0.398	0.321	0.319	0.272	0.256	0.259	0.233	0.226	0.212	0.183	0.192	0.175	0.182	0.156	0.091	0.100	0.085	0.085	0.074	0.065	0.043
235.0	93.98	 1155	 6281	9999.9	 3447	132.8	12.40	8.262	5.820	4.903	4.412	4.568	3.487	3.483	3.056	2.594	2.307	2.248	2.094	2.083	2.171	1.845	1.824	1.975	1.929	1.734	1.748	1.776	1.628	1.528	1.633	1.320	1.162	1.364	1.300	1.164	1.037	1.106	0.936	0.879	0.816	0.734	0.808	0.804	0.889	0.707	0.757	2.098	6.263	13.34	22.80	24.10	17.77	4.697	0.604	0.354	0.407	0.360	0.278	0.253	0.262	0.283	0.223	0.227	0.187	0.236	0.196	0.141	0.143	0.158	0.119	0.131	0.095	0.067	0.073	0.065	0.037
240.0	109.8	315.0	 1912	 9278	9999.9	 2259	53.16	12.75	7.513	5.853	5.558	5.055	4.307	3.599	3.275	2.882	2.568	2.606	2.282	1.997	2.038	1.933	1.968	2.006	2.027	1.955	1.946	1.788	1.806	1.491	1.569	1.306	1.171	1.352	1.318	1.175	1.066	1.152	0.966	0.906	0.718	0.639	0.771	0.851	0.875	1.023	0.810	0.952	1.915	3.692	9.319	24.76	43.06	25.80	14.13	2.539	0.495	0.429	0.326	0.298	0.254	0.344	0.260	0.216	0.208	0.262	0.213	0.162	0.171	0.162	0.203	0.112	0.085	0.098	0.120	0.070	0.059
245.0	89.13	177.7	480.5	 3353	9999.9	9999.9	352.7	24.86	12.09	7.653	6.696	5.116	4.744	4.268	3.684	3.113	2.428	2.717	2.238	2.329	2.144	2.142	2.014	1.895	2.121	2.085	1.857	1.879	1.875	1.607	1.735	1.459	1.270	1.288	1.295	1.128	1.158	1.204	1.001	0.891	0.881	0.715	0.752	0.780	0.794	0.795	0.916	1.023	1.129	1.246	2.584	7.603	22.17	40.27	51.86	23.55	10.28	0.972	0.423	0.355	0.291	0.291	0.264	0.222	0.224	0.263	0.196	0.199	0.195	0.125	0.145	0.117	0.097	0.121	0.060	0.074	0.118
250.0	52.38	120.3	221.5	824.4	 3849	9999.9	9999.9	 3380	88.91	12.04	9.075	7.247	5.780	5.019	4.277	3.673	3.175	2.872	2.650	2.502	2.432	2.398	2.217	2.008	2.105	2.178	2.022	2.092	1.772	1.859	1.794	1.658	1.363	1.366	1.301	1.162	1.210	1.111	1.011	0.911	0.836	0.832	0.797	0.746	0.763	0.733	0.770	0.846	1.085	1.167	1.146	2.177	5.576	12.34	25.65	37.85	54.24	45.06	16.54	8.038	1.184	0.359	0.330	0.268	0.275	0.298	0.224	0.264	0.210	0.178	0.146	0.120	0.146	0.134	0.058	0.085	0.083
255.0	45.98	56.22	130.8	326.5	919.1	 2669	 9761	9999.9	 1957	110.2	14.08	10.68	8.122	6.107	5.348	4.334	3.804	3.576	2.996	2.976	2.421	2.228	2.353	2.146	2.108	2.293	2.274	2.196	1.897	1.891	2.186	1.586	1.554	1.571	1.277	1.104	1.211	1.171	0.970	0.883	0.919	0.850	0.828	0.722	0.824	0.698	0.699	0.699	0.815	0.879	1.085	1.366	1.904	3.160	6.152	9.160	17.79	37.88	71.60	81.47	25.72	11.08	0.865	0.371	0.368	0.351	0.283	0.254	0.204	0.235	0.186	0.163	0.148	0.137	0.095	0.109	0.079
260.0	44.35	43.15	62.47	195.5	329.1	640.9	 3086	9999.9	9999.9	 1604	71.54	14.13	10.59	7.749	6.908	5.271	4.348	4.223	3.457	3.048	2.646	2.773	2.418	2.244	2.310	2.299	2.351	2.161	2.107	1.997	2.071	1.685	1.586	1.405	1.382	1.164	1.178	1.064	0.927	1.000	0.896	0.885	0.886	0.760	0.803	0.734	0.714	0.634	0.695	0.684	0.740	1.183	1.420	1.584	1.909	2.415	4.481	10.26	29.69	66.52	97.21	88.64	21.50	5.214	0.447	0.449	0.305	0.268	0.252	0.243	0.199	0.174	0.141	0.115	0.168	0.116	0.123
265.0	42.21	37.82	37.78	95.65	226.5	243.9	733.8	 3689	9999.9	9999.9	 1283	37.62	14.32	10.76	8.355	5.772	5.182	4.626	3.949	3.280	2.925	2.551	2.450	2.510	2.411	2.576	2.364	2.305	2.283	2.144	2.347	1.911	1.668	1.479	1.394	1.275	1.143	1.290	1.015	0.933	0.914	0.862	0.897	0.913	0.881	0.834	0.701	0.744	0.625	0.616	0.576	0.807	1.115	1.457	1.455	1.238	1.490	2.790	7.303	19.02	48.84	97.44	112.0	30.07	16.01	1.802	0.427	0.309	0.321	0.244	0.248	0.204	0.161	0.147	0.186	0.168	0.169
270.0	70.50	73.38	55.03	56.61	116.8	193.1	275.2	882.1	 3429	9999.9	9999.9	 4897	77.85	16.25	11.93	8.644	6.801	5.412	4.630	3.933	3.401	3.190	2.751	2.773	2.832	2.774	2.384	2.471	2.283	2.119	2.468	2.012	1.707	1.720	1.611	1.336	1.258	1.304	1.028	1.035	0.943	0.854	0.903	0.946	0.939	0.953	0.822	0.860	0.738	0.747	0.596	0.654	0.757	0.900	1.206	1.344	1.510	1.412	2.142	4.687	11.76	27.44	49.38	68.33	95.40	75.86	60.99	11.25	2.313	0.362	0.281	0.292	0.237	0.191	0.207	0.194	0.179
275.0	128.8	142.1	107.7	64.20	62.38	101.1	215.8	326.4	812.8	 2485	 7678	9999.9	 7579	99.01	19.42	12.37	9.052	7.057	5.296	5.149	4.161	3.922	3.207	3.250	3.168	3.376	2.626	2.861	2.401	2.288	2.433	1.965	1.876	1.866	1.803	1.675	1.493	1.321	1.265	1.108	1.036	0.917	1.056	1.019	0.998	0.982	1.002	1.045	0.963	0.848	0.639	0.642	0.724	0.639	0.788	0.825	1.342	1.794	1.778	1.939	3.094	6.628	11.56	16.26	28.05	53.83	114.5	142.1	30.50	15.00	1.138	0.429	0.291	0.325	0.278	0.263	0.212
280.0	197.4	221.3	158.4	83.50	54.39	62.68	142.2	262.5	295.5	616.1	 2252	 9946	9999.9	 5948	71.74	18.07	13.03	9.470	6.799	5.883	4.823	4.459	3.904	3.659	3.422	3.408	2.998	2.725	2.821	2.687	2.550	1.980	2.195	2.016	2.084	1.704	1.618	1.524	1.459	1.165	1.149	1.040	1.134	1.190	1.265	1.172	1.381	1.325	1.208	0.990	0.834	0.760	0.759	0.592	0.675	0.686	0.936	1.254	1.687	2.176	1.882	2.088	3.146	4.336	6.928	13.98	39.44	90.77	140.0	138.5	26.25	8.731	0.533	0.432	0.356	0.315	0.282
