Sample:	'1
File name:	Default_20231029_103023.FD3
Run date:	'10:24:02, 10/29/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/275.0	12.44
2	225.0/285.0	12.52
3	225.0/535.0	6.181
4	225.0/560.0	-4.761
5	225.0/630.0	16.27
6	230.0/585.0	-7.662
7	230.0/595.0	-2.524
8	230.0/615.0	-2.661
9	235.0/280.0	19.79
10	235.0/295.0	73.54
11	235.0/630.0	4.747
12	240.0/305.0	100.2
13	240.0/520.0	90.75
14	240.0/560.0	27.99
15	240.0/610.0	-5.464
16	240.0/640.0	3.180
17	245.0/265.0	99.61
18	245.0/360.0	 1960
19	245.0/525.0	88.50
20	245.0/620.0	-9.379
21	245.0/630.0	-9.927
22	250.0/365.0	 2038
23	250.0/545.0	72.19
24	250.0/575.0	13.67
25	250.0/625.0	0.667
26	255.0/275.0	218.4
27	255.0/555.0	68.64
28	255.0/595.0	10.57
29	255.0/640.0	9.074
30	260.0/285.0	292.8
31	260.0/565.0	53.43
32	260.0/645.0	10.76
33	265.0/290.0	372.2
34	265.0/580.0	58.33
35	270.0/295.0	533.2
36	270.0/485.0	236.2
37	270.0/585.0	52.75
38	270.0/625.0	29.04
39	275.0/250.0	2.804
40	275.0/305.0	729.1
41	275.0/600.0	60.20
42	275.0/635.0	22.24
43	280.0/255.0	0.903
44	280.0/310.0	777.3
45	280.0/425.0	370.7
46	280.0/615.0	50.94
47	280.0/640.0	23.39
48	285.0/240.0	-1.246
49	285.0/260.0	5.714
50	285.0/315.0	729.5
51	285.0/625.0	43.89
52	290.0/320.0	678.5
53	290.0/635.0	37.68
54	295.0/255.0	1.198
55	300.0/245.0	-0.427
56	300.0/265.0	3.134
57	305.0/280.0	2.367
58	305.0/340.0	422.9
59	310.0/345.0	358.6
60	315.0/250.0	0.215
61	315.0/265.0	1.235
62	315.0/355.0	323.4
63	320.0/360.0	336.4
64	320.0/600.0	4.038
65	325.0/265.0	0.516
66	325.0/365.0	327.4
67	325.0/595.0	4.110
68	330.0/375.0	294.2
69	335.0/245.0	0.573
70	335.0/380.0	321.7
71	340.0/385.0	315.4
72	340.0/620.0	3.043
73	345.0/250.0	0.614
74	350.0/280.0	0.907
75	350.0/400.0	265.6
76	355.0/405.0	269.9
77	355.0/630.0	1.379
78	360.0/270.0	0.087
79	360.0/410.0	241.6
80	360.0/605.0	3.206
81	365.0/420.0	231.8
82	370.0/260.0	0.706
83	370.0/425.0	222.9
84	375.0/250.0	0.098
85	375.0/430.0	195.1
86	380.0/435.0	181.4
87	385.0/255.0	0.780
88	400.0/465.0	105.5
89	420.0/235.0	0.573
90	430.0/505.0	36.98
91	435.0/510.0	30.89
92	445.0/265.0	0.564
93	450.0/530.0	18.48
94	460.0/545.0	12.88
95	490.0/370.0	4.352
