Sample:	'1
File name:	Default_20250318_111925.FD3
Run date:	'11:13:04, 03/18/2025
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/340.0	 1365
2	225.0/565.0	61.09
3	225.0/595.0	50.50
4	225.0/620.0	49.65
5	225.0/645.0	52.56
6	255.0/440.0	582.8
7	260.0/430.0	580.6
8	260.0/445.0	571.7
9	265.0/585.0	58.89
10	270.0/595.0	56.21
11	275.0/610.0	59.84
12	280.0/335.0	 1373
13	280.0/620.0	60.64
14	285.0/635.0	53.88
15	320.0/360.0	294.5
16	325.0/370.0	277.7
17	335.0/380.0	282.7
18	340.0/385.0	271.4
19	350.0/400.0	258.9
20	460.0/340.0	5.215
21	460.0/545.0	11.51
22	560.0/330.0	7.714
23	565.0/340.0	7.794

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	304.0	 6990	9999.9	 5536	116.5	24.87	15.12	9.438	6.396	4.873	4.475	4.263	3.950	3.555	3.026	2.634	2.428	2.457	2.324	2.202	2.040	1.833	1.786	1.776	1.767	1.766	1.635	1.598	1.471	1.523	1.391	1.474	1.348	1.275	1.205	1.180	1.083	0.905	0.860	0.819	0.757	0.766	0.792	0.792	0.634	0.660	1.181	7.675	23.88	28.72	15.11	3.334	0.723	0.467	0.425	0.413	0.421	0.365	0.376	0.338	0.303	0.304	0.291	0.279	0.241	0.221	0.239	0.246	0.209	0.202	0.168	0.132	0.179	0.117	0.120	0.123	0.124
235.0	138.3	 1907	 9347	9999.9	 3767	191.5	22.19	12.38	8.249	6.205	4.717	4.946	4.239	3.696	3.553	3.041	2.778	2.429	2.432	2.149	2.171	2.043	1.944	1.840	1.854	1.909	1.784	1.595	1.572	1.610	1.505	1.331	1.261	1.330	1.208	1.068	1.011	0.874	0.899	0.833	0.772	0.819	0.742	0.809	0.706	0.732	0.738	2.266	7.199	15.62	27.91	37.78	19.85	6.269	0.707	0.403	0.440	0.403	0.420	0.339	0.282	0.320	0.261	0.240	0.270	0.226	0.263	0.198	0.258	0.201	0.182	0.142	0.181	0.103	0.130	0.127	0.144
240.0	123.8	499.9	 3042	9999.9	9999.9	 2887	86.26	16.36	9.405	6.990	5.792	5.106	4.919	4.078	3.856	2.982	2.780	2.640	2.456	2.288	2.208	2.092	2.001	1.999	1.998	1.825	1.710	1.800	1.662	1.663	1.415	1.437	1.253	1.267	1.150	1.158	1.077	0.969	0.878	0.883	0.895	0.836	0.713	0.728	0.688	1.042	0.801	1.002	2.090	4.288	11.27	31.89	52.55	26.81	16.44	2.920	0.584	0.470	0.432	0.393	0.298	0.326	0.333	0.306	0.308	0.252	0.265	0.268	0.252	0.252	0.148	0.178	0.188	0.155	0.152	0.102	0.132
245.0	105.8	226.9	755.8	 4930	9999.9	9999.9	367.7	34.68	13.40	8.982	7.914	6.438	5.686	4.881	4.655	3.486	2.752	3.306	2.951	2.580	2.386	2.205	1.947	2.119	1.919	1.785	1.977	1.796	1.805	1.664	1.414	1.317	1.362	1.364	1.168	1.095	1.084	0.948	0.942	0.974	0.910	0.822	0.692	0.839	0.761	0.893	0.943	1.063	1.069	1.384	3.058	9.563	27.48	49.10	64.88	24.71	11.53	1.213	0.460	0.475	0.335	0.361	0.373	0.313	0.326	0.284	0.251	0.259	0.234	0.188	0.154	0.185	0.174	0.161	0.161	0.140	0.169
250.0	75.68	139.7	288.7	 1216	 4895	9999.9	9999.9	 5183	98.24	14.97	11.05	9.044	6.991	5.710	4.965	3.957	3.259	3.467	3.017	2.880	2.559	2.284	2.166	2.241	1.997	1.953	1.934	2.079	1.911	1.715	1.694	1.530	1.336	1.330	1.209	1.189	1.163	1.062	0.972	0.888	0.823	0.847	0.818	0.801	0.716	0.713	0.785	0.938	0.985	1.029	1.327	2.677	6.817	15.00	31.35	44.79	63.53	53.04	17.20	9.088	1.424	0.393	0.417	0.369	0.329	0.276	0.278	0.286	0.229	0.198	0.224	0.178	0.210	0.149	0.165	0.140	0.165
255.0	70.37	80.21	154.1	425.2	 1179	 3049	9999.9	9999.9	 1998	121.4	18.39	12.49	9.744	7.273	6.089	4.560	3.885	4.155	3.212	3.194	2.811	2.436	2.422	2.384	2.142	2.060	2.107	1.981	2.049	1.767	1.836	1.757	1.395	1.339	1.255	1.127	1.239	0.849	0.942	0.860	0.937	0.978	0.857	0.779	0.779	0.796	0.705	0.710	0.724	0.801	1.192	1.564	2.197	3.821	7.509	10.79	21.05	45.58	80.28	94.18	26.62	11.79	0.995	0.478	0.439	0.392	0.286	0.283	0.278	0.307	0.225	0.241	0.173	0.168	0.179	0.163	0.142
260.0	74.34	62.80	89.34	227.4	406.9	752.2	 3503	9999.9	9999.9	 1658	83.17	17.33	12.07	9.149	7.672	5.470	4.980	4.162	3.589	3.425	2.862	2.873	2.421	2.401	2.286	2.214	2.073	2.150	2.133	1.828	1.911	1.649	1.513	1.359	1.396	1.243	1.168	0.875	0.991	0.908	0.918	0.861	0.893	0.817	0.836	0.676	0.751	0.709	0.719	0.715	0.807	1.134	1.562	1.673	2.288	2.787	5.219	12.07	33.58	75.82	106.9	94.95	22.64	6.509	0.644	0.540	0.364	0.353	0.302	0.274	0.261	0.281	0.237	0.220	0.207	0.178	0.127
265.0	79.99	69.69	59.51	124.5	251.2	281.3	853.2	 4115	9999.9	9999.9	 1344	42.64	16.39	11.90	9.382	7.252	5.468	4.867	4.435	3.915	3.364	2.805	2.796	2.491	2.632	2.371	2.259	2.153	2.243	1.896	2.075	1.798	1.636	1.573	1.405	1.314	1.154	0.991	0.974	0.964	0.915	0.842	0.921	0.928	0.942	0.762	0.698	0.691	0.730	0.592	0.603	0.798	1.175	1.435	1.585	1.240	1.683	3.237	8.166	21.41	53.33	105.2	122.5	90.05	17.28	2.240	0.462	0.442	0.345	0.313	0.299	0.317	0.292	0.229	0.237	0.197	0.197
270.0	100.9	91.55	67.28	77.80	134.4	213.1	312.5	989.3	 3771	9999.9	9999.9	 4984	82.99	18.96	12.22	9.026	7.201	6.211	5.254	4.675	3.893	3.470	2.974	2.737	2.696	2.663	2.417	2.288	2.303	2.180	2.173	1.947	1.751	1.611	1.568	1.370	1.218	1.156	1.071	0.949	0.993	0.897	0.952	0.930	0.878	0.867	0.880	0.786	0.736	0.730	0.631	0.687	0.708	0.889	1.215	1.327	1.526	1.527	2.373	5.288	12.84	29.40	53.30	89.92	105.4	82.92	66.15	11.84	2.619	0.444	0.381	0.343	0.350	0.276	0.282	0.235	0.275
