Sample:	'1
File name:	t2025042110马四干南闸  4倍.FD3
Run date:	'11:04:48, 04/22/2025
Operator:	Administrator
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	23B8-004
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/305.0	4267
2	225.0/340.0	4490
3	225.0/605.0	286.0
4	230.0/495.0	340.9
5	235.0/510.0	274.3
6	240.0/520.0	227.7
7	245.0/535.0	196.0
8	250.0/545.0	169.4
9	255.0/560.0	169.1
10	275.0/305.0	7479
11	275.0/605.0	456.6
12	390.0/305.0	6.326
13	395.0/300.0	6.259
14	415.0/485.0	50.18
15	430.0/505.0	31.79
16	445.0/305.0	10.16
17	445.0/525.0	18.36
18	455.0/335.0	11.64
19	505.0/275.0	3.497
20	555.0/305.0	33.16

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	44.95	1054	4104	1967	116.9	7.382	5.597	5.203	4.359	5.190	4.928	5.351	4.406	3.869	2.959	2.224	2.041	1.761	1.701	1.547	1.333	1.205	1.148	1.041	0.988	0.892	0.836	0.778	0.678	0.641	0.588	0.588	0.529	0.515	0.499	0.431	0.443	0.399	0.361	0.383	0.369	0.456	0.521	0.404	0.358	0.296	0.869	5.652	13.12	12.81	6.260	1.402	0.278	0.247	0.189	0.179	0.211	0.184	0.180	0.159	0.187	0.157	0.160	0.155	0.139	0.153	0.142	0.141	0.129	0.126	0.144	0.134	0.142	0.121	0.090	0.117	0.128
235.0	134.2	285.2	2012	4560	2397	196.3	8.461	7.690	5.313	5.349	5.908	5.955	4.673	3.749	3.124	2.421	2.669	1.851	1.720	1.517	1.388	1.401	1.068	1.049	1.015	0.842	0.900	0.876	0.739	0.670	0.716	0.507	0.532	0.583	0.492	0.432	0.455	0.391	0.320	0.336	0.298	0.324	0.452	0.642	0.530	0.453	0.442	1.568	4.079	8.235	14.08	18.60	11.11	2.936	0.367	0.221	0.220	0.226	0.205	0.188	0.168	0.157	0.144	0.129	0.135	0.136	0.175	0.121	0.135	0.113	0.135	0.158	0.146	0.088	0.138	0.128	0.147
240.0	157.5	175.8	547.9	2986	5367	2178	112.8	8.522	7.033	7.218	6.534	6.325	4.799	4.384	3.464	2.663	2.399	2.152	1.705	1.471	1.408	1.320	1.103	1.291	1.089	0.906	0.875	0.905	0.849	0.795	0.652	0.625	0.576	0.564	0.524	0.502	0.480	0.420	0.339	0.349	0.329	0.299	0.383	0.455	0.557	0.702	0.561	0.692	1.145	2.212	5.830	16.09	25.51	21.80	10.48	2.133	0.286	0.229	0.203	0.173	0.143	0.138	0.157	0.144	0.109	0.135	0.116	0.130	0.152	0.161	0.168	0.147	0.182	0.074	0.146	0.106	0.109
245.0	96.20	224.6	209.2	870.3	4525	6452	446.2	49.85	9.009	8.093	7.675	6.790	6.106	5.034	3.463	3.295	2.527	2.203	1.828	1.822	1.542	1.555	1.325	1.208	1.050	1.146	0.988	0.943	0.895	0.708	0.577	0.597	0.663	0.472	0.624	0.542	0.526	0.351	0.351	0.465	0.364	0.380	0.314	0.340	0.498	0.641	0.763	0.875	0.617	0.783	1.541	4.547	12.58	26.52	29.44	20.28	8.394	0.979	0.275	0.221	0.185	0.181	0.192	0.194	0.130	0.159	0.159	0.155	0.151	0.172	0.179	0.141	0.157	0.096	0.126	0.125	0.152
250.0	44.04	131.6	252.2	313.6	1276	4484	7160	3428	138.1	13.23	10.90	8.704	6.605	5.568	4.400	3.478	2.870	2.492	2.059	1.894	1.658	1.640	1.226	1.302	1.112	1.201	1.072	0.984	0.914	0.806	0.645	0.620	0.611	0.592	0.531	0.496	0.604	0.407	0.359	0.445	0.441	0.376	0.289	0.321	0.390	0.449	0.472	0.726	0.845	0.909	0.905	1.313	3.093	7.322	14.29	23.78	30.24	35.88	16.68	8.209	1.167	0.217	0.203	0.170	0.232	0.218	0.208	0.194	0.159	0.170	0.166	0.132	0.194	0.138	0.152	0.138	0.155
255.0	35.73	51.57	139.5	330.8	416.3	1066	3890	9999.9	2322	183.3	15.89	12.98	10.68	6.800	5.392	3.991	3.758	2.724	2.512	2.167	1.710	1.941	1.176	1.171	1.250	1.183	1.191	1.036	0.971	0.812	0.825	0.704	0.698	0.540	0.667	0.551	0.525	0.497	0.452	0.399	0.512	0.419	0.429	0.433	0.367	0.426	0.421	0.417	0.456	0.738	1.078	1.502	1.365	1.982	3.493	5.660	8.977	23.32	49.31	66.06	26.38	11.02	0.889	0.227	0.289	0.297	0.217	0.197	0.226	0.184	0.168	0.138	0.206	0.137	0.157	0.185	0.181
260.0	37.05	33.57	59.45	234.2	374.8	316.6	1029	6499	9999.9	1996	127.5	17.73	12.62	8.091	6.130	4.684	4.051	2.981	2.802	2.292	1.897	1.919	1.509	1.358	1.547	1.398	1.255	1.129	1.045	0.935	0.800	0.695	0.772	0.678	0.718	0.506	0.559	0.540	0.481	0.452	0.521	0.495	0.477	0.364	0.391	0.414	0.402	0.340	0.355	0.454	0.616	1.347	1.978	1.541	1.169	1.602	2.322	5.923	16.71	44.86	73.47	77.97	23.04	6.703	0.484	0.323	0.327	0.169	0.230	0.274	0.274	0.154	0.199	0.149	0.155	0.202	0.177
265.0	48.48	35.66	38.51	104.8	346.6	319.2	288.0	1865	9449	9999.9	1606	73.84	17.37	10.93	7.428	5.118	4.581	3.731	3.403	2.439	2.191	1.852	1.607	1.478	1.467	1.300	1.230	1.115	1.082	0.894	1.005	0.783	0.753	0.698	0.740	0.630	0.641	0.520	0.558	0.542	0.520	0.530	0.496	0.523	0.475	0.420	0.407	0.490	0.310	0.351	0.360	0.625	1.358	2.158	1.869	1.067	0.906	1.688	4.062	11.54	29.66	70.46	99.15	31.97	18.39	2.814	0.397	0.322	0.281	0.322	0.222	0.254	0.264	0.165	0.217	0.149	0.168
270.0	191.6	109.2	64.88	63.77	163.7	374.2	363.0	551.3	2691	9488	9999.9	6019	99.71	19.68	12.08	7.711	6.108	4.743	3.918	3.033	2.497	2.234	1.895	1.848	1.615	1.474	1.341	1.281	1.231	1.105	1.090	0.897	1.017	1.066	1.088	0.920	0.932	0.933	0.970	0.938	0.891	0.922	0.982	0.769	0.676	0.619	0.620	0.522	0.453	0.392	0.356	0.411	0.661	1.043	1.661	2.018	2.100	1.663	1.625	3.211	7.321	18.37	37.88	57.15	87.21	72.98	63.30	12.63	2.850	0.439	0.341	0.289	0.272	0.279	0.257	0.224	0.254
