Sample:	'1
File name:	Default_20230927_154228.FD3
Run date:	'15:36:07, 09/27/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/315.0	287.6
2	225.0/525.0	260.3
3	225.0/560.0	235.6
4	225.0/640.0	224.5
5	230.0/290.0	222.4
6	230.0/305.0	248.1
7	235.0/500.0	269.4
8	240.0/515.0	223.2
9	240.0/525.0	213.4
10	240.0/620.0	151.1
11	245.0/265.0	213.8
12	245.0/520.0	204.9
13	250.0/270.0	215.5
14	250.0/365.0	 3861
15	250.0/540.0	170.3
16	255.0/275.0	277.1
17	255.0/575.0	113.0
18	255.0/610.0	97.41
19	260.0/285.0	349.8
20	260.0/560.0	142.4
21	260.0/605.0	89.51
22	265.0/290.0	391.5
23	265.0/580.0	131.6
24	265.0/615.0	86.40
25	265.0/625.0	87.27
26	270.0/295.0	560.4
27	270.0/590.0	119.5
28	270.0/620.0	85.64
29	275.0/305.0	776.9
30	275.0/600.0	106.3
31	280.0/310.0	781.1
32	280.0/615.0	100.3
33	285.0/315.0	732.3
34	290.0/320.0	658.7
35	290.0/405.0	482.9
36	290.0/645.0	63.12
37	295.0/330.0	489.7
38	300.0/235.0	24.80
39	300.0/335.0	435.3
40	305.0/340.0	464.1
41	310.0/280.0	17.19
42	310.0/345.0	419.5
43	315.0/355.0	379.7
44	320.0/360.0	393.9
45	325.0/365.0	365.6
46	330.0/285.0	13.59
47	330.0/375.0	333.7
48	335.0/275.0	11.53
49	335.0/380.0	349.6
50	340.0/235.0	10.12
51	340.0/385.0	340.0
52	345.0/260.0	10.34
53	345.0/275.0	9.809
54	350.0/305.0	9.726
55	350.0/400.0	320.3
56	350.0/585.0	16.70
57	355.0/250.0	9.098
58	355.0/405.0	299.8
59	360.0/240.0	8.987
60	360.0/295.0	10.52
61	360.0/410.0	280.2
62	360.0/620.0	11.03
63	360.0/640.0	10.22
64	365.0/235.0	8.932
65	365.0/280.0	8.791
66	365.0/415.0	263.5
67	370.0/285.0	8.627
68	370.0/425.0	240.8
69	375.0/255.0	8.290
70	380.0/320.0	7.808
71	380.0/625.0	9.530
72	385.0/260.0	7.127
73	385.0/445.0	175.8
74	390.0/325.0	6.293
75	400.0/465.0	113.2
76	405.0/300.0	5.987
77	410.0/245.0	5.921
78	415.0/485.0	71.38
79	420.0/365.0	5.723
80	425.0/335.0	6.058
81	425.0/390.0	6.284
82	425.0/495.0	52.87
83	430.0/505.0	43.61
84	435.0/510.0	37.65
85	440.0/275.0	5.158
86	440.0/635.0	5.584
87	445.0/255.0	5.059
88	445.0/525.0	27.92
89	455.0/400.0	5.532
90	455.0/540.0	20.87
91	485.0/585.0	7.246
92	485.0/630.0	4.471
93	495.0/360.0	12.92
94	500.0/355.0	12.99
95	500.0/605.0	5.614
96	505.0/445.0	5.745
97	515.0/625.0	4.808
98	530.0/460.0	5.607
99	545.0/300.0	5.617
100	550.0/305.0	6.236
101	560.0/240.0	4.493
102	560.0/310.0	5.630
103	565.0/420.0	5.430
104	570.0/315.0	5.701
105	575.0/320.0	5.359
106	580.0/325.0	5.327
107	595.0/380.0	5.444

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	206.8	217.6	545.6	676.0	188.3	106.9	89.29	68.63	69.62	58.82	53.71	43.92	36.53	33.90	25.70	23.70	19.08	16.12	16.85	14.29	11.77	11.44	10.60	10.02	9.688	9.866	8.461	8.509	8.357	7.923	7.769	6.354	6.649	6.047	5.302	4.909	5.277	4.768	4.498	4.882	4.666	4.907	4.350	3.839	3.772	4.057	3.370	3.720	3.997	4.217	3.803	3.744	3.125	3.674	3.214	3.542	3.358	3.646	3.687	3.276	3.170	3.622	3.359	3.590	3.496	3.439	3.269	3.104	3.233	3.337	3.381	3.052	3.680	3.375	3.681	3.425	3.687
235.0	198.9	198.4	337.9	829.6	886.2	225.0	96.27	63.30	70.14	57.75	49.47	46.39	38.91	35.69	23.99	23.28	24.80	13.24	14.62	13.02	11.56	10.72	11.19	8.761	10.12	8.039	8.933	8.201	7.397	8.932	8.335	5.168	6.268	7.441	5.076	5.729	5.119	5.058	5.168	4.622	5.223	4.539	4.173	4.214	4.180	3.828	3.564	3.684	3.325	3.201	4.206	5.480	4.272	3.404	3.268	3.572	3.130	3.584	2.870	3.153	3.268	3.415	3.184	3.477	3.197	3.064	2.875	3.555	3.539	3.468	3.200	3.670	3.307	3.176	3.829	3.651	3.834
240.0	217.0	189.1	201.7	447.3	 1302	910.1	158.3	83.44	72.72	71.40	56.44	38.87	40.62	33.58	22.46	23.62	23.87	14.12	13.75	13.30	12.35	11.92	10.47	9.431	9.428	8.019	8.050	7.717	8.987	8.323	7.155	6.098	6.895	6.529	6.023	4.935	4.390	5.000	5.821	5.366	4.340	4.513	4.638	4.435	3.955	4.710	3.519	3.382	3.546	2.980	4.185	5.121	6.109	5.912	4.506	3.791	2.739	3.217	3.631	3.385	3.313	3.431	3.095	3.739	3.874	3.283	2.526	3.801	4.493	3.417	2.811	4.274	3.628	3.492	3.374	4.190	3.936
