Sample:	'1
File name:	Default_20231029_102126.FD3
Run date:	'10:15:06, 10/29/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/570.0	2.596
2	225.0/585.0	-0.551
3	225.0/625.0	7.962
4	225.0/640.0	22.22
5	230.0/280.0	4.326
6	230.0/550.0	24.00
7	230.0/600.0	5.603
8	230.0/610.0	-4.466
9	235.0/595.0	17.02
10	235.0/605.0	4.128
11	235.0/615.0	-8.345
12	240.0/520.0	86.83
13	240.0/580.0	8.779
14	240.0/625.0	9.662
15	245.0/265.0	116.9
16	245.0/585.0	5.149
17	245.0/600.0	2.976
18	245.0/635.0	8.851
19	250.0/365.0	 2682
20	250.0/545.0	86.73
21	250.0/615.0	5.341
22	250.0/640.0	5.223
23	255.0/555.0	70.72
24	255.0/595.0	16.23
25	255.0/610.0	10.19
26	260.0/285.0	258.8
27	260.0/565.0	62.82
28	260.0/600.0	8.369
29	260.0/630.0	9.377
30	265.0/290.0	281.6
31	265.0/580.0	54.15
32	270.0/295.0	426.3
33	270.0/460.0	309.4
34	270.0/590.0	49.60
35	275.0/305.0	552.6
36	275.0/480.0	228.2
37	275.0/600.0	44.41
38	280.0/235.0	2.779
39	280.0/255.0	3.408
40	280.0/310.0	551.3
41	280.0/620.0	42.93
42	285.0/315.0	537.0
43	285.0/625.0	33.21
44	290.0/245.0	-0.484
45	290.0/320.0	518.8
46	290.0/640.0	33.44
47	295.0/235.0	0.106
48	295.0/260.0	3.717
49	295.0/330.0	399.4
50	300.0/250.0	-0.057
51	300.0/335.0	365.5
52	305.0/255.0	0.929
53	305.0/340.0	398.0
54	310.0/265.0	0.417
55	310.0/345.0	349.0
56	315.0/240.0	0.820
57	315.0/355.0	306.4
58	320.0/360.0	333.0
59	320.0/605.0	2.383
60	325.0/365.0	298.3
61	330.0/245.0	0.302
62	330.0/260.0	0.480
63	335.0/270.0	0.841
64	335.0/380.0	285.2
65	340.0/385.0	288.7
66	340.0/620.0	2.513
67	345.0/295.0	0.876
68	345.0/390.0	255.6
69	350.0/275.0	1.829
70	350.0/400.0	262.6
71	350.0/600.0	4.206
72	355.0/255.0	0.433
73	355.0/405.0	256.7
74	360.0/290.0	0.575
75	360.0/410.0	229.4
76	365.0/235.0	0.583
77	365.0/305.0	1.121
78	365.0/415.0	224.0
79	370.0/245.0	0.817
80	370.0/325.0	1.403
81	370.0/425.0	210.6
82	370.0/615.0	2.026
83	375.0/430.0	180.4
84	380.0/300.0	0.980
85	380.0/435.0	164.5
86	385.0/310.0	0.570
87	385.0/445.0	145.7
88	395.0/245.0	0.329
89	400.0/320.0	0.658
90	400.0/465.0	93.60
91	405.0/285.0	0.620
92	410.0/475.0	65.05
93	415.0/275.0	0.685
94	415.0/485.0	57.53
95	420.0/490.0	48.96
96	420.0/600.0	2.793
97	425.0/495.0	41.98
98	430.0/295.0	0.397
99	430.0/505.0	36.74
100	430.0/610.0	1.943
101	435.0/315.0	0.589
102	435.0/510.0	28.82
103	440.0/515.0	26.37
104	445.0/525.0	22.15
105	460.0/545.0	11.61
106	475.0/565.0	5.857
107	485.0/370.0	5.979
108	495.0/595.0	1.593
109	500.0/355.0	6.258
110	515.0/280.0	1.163
111	540.0/300.0	1.545
112	550.0/305.0	1.556
113	555.0/310.0	1.448
114	570.0/315.0	1.593
115	575.0/320.0	1.285
116	585.0/395.0	1.337

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-29.74	-8.733	300.7	539.7	44.85	-2.875	-5.110	-5.888	-8.192	-7.317	-7.947	-2.724	-2.712	-3.045	-2.286	-1.535	-1.548	-0.904	-0.276	-1.301	0.199	-0.822	-0.394	-0.623	-0.007	0.000	-0.134	-0.250	-1.093	0.179	-0.727	-0.185	-0.533	-0.457	-0.340	-0.234	-0.211	-0.109	-0.255	-0.045	0.036	-0.054	-0.369	-0.030	-0.059	-0.043	-0.244	0.214	0.448	0.898	0.559	-0.151	-0.176	-0.154	-0.077	-0.210	-0.271	-0.443	-0.319	-0.109	-0.160	-0.634	-0.103	-0.479	-0.331	-0.471	-0.564	-0.330	-0.368	-0.480	-0.331	-0.202	-0.271	-0.584	-0.477	-0.586	-0.572
235.0	-7.786	4.738	73.43	892.9	826.2	109.1	3.376	-11.43	-11.50	-8.420	-2.535	-4.818	2.779	-4.511	-1.734	0.106	-0.885	-1.268	-0.684	-0.541	0.015	-2.271	-0.655	-0.466	-0.647	-1.128	-0.481	0.005	-0.531	0.583	-0.730	-0.251	0.026	-0.106	-0.582	-0.215	-0.166	-0.044	-0.372	-0.104	-0.184	-0.293	-0.232	0.254	-0.156	-0.108	-0.212	0.122	0.128	0.411	1.529	1.965	1.303	0.464	0.069	-0.371	-0.695	-0.358	-0.543	-0.227	0.235	-0.809	0.100	-0.491	-0.630	-0.154	-0.469	-0.222	-0.684	-0.429	-0.376	-0.467	-0.272	-0.610	-0.976	-0.573	-0.577
