Sample:	'1
File name:	Default_20230321_130642.FD3
Run date:	'13:00:20, 03/21/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/340.0	 1635
2	225.0/585.0	67.46
3	225.0/595.0	69.22
4	225.0/615.0	64.67
5	265.0/585.0	58.45
6	270.0/595.0	63.64
7	275.0/340.0	 1716
8	275.0/610.0	63.51
9	280.0/620.0	58.05
10	455.0/335.0	5.956
11	555.0/345.0	8.922
12	560.0/340.0	8.863

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	227.3	 3891	 7113	 1651	37.02	8.091	6.233	5.015	4.411	3.796	3.827	3.216	2.884	2.619	2.020	1.739	1.722	1.492	1.567	1.390	1.398	1.309	1.255	1.225	1.229	1.244	1.157	1.087	1.002	1.004	1.005	0.934	0.946	0.809	0.797	0.810	0.821	0.781	0.677	0.649	0.664	0.782	0.817	0.654	0.537	0.526	1.903	12.63	29.13	27.48	10.73	2.032	0.449	0.321	0.326	0.298	0.284	0.309	0.248	0.228	0.223	0.210	0.186	0.196	0.202	0.208	0.167	0.149	0.183	0.126	0.130	0.147	0.118	0.106	0.131	0.110	0.113
235.0	106.2	 1129	 5167	 7126	 1888	52.67	9.736	6.650	5.952	4.603	4.113	3.716	3.432	2.614	2.389	1.946	1.991	1.446	1.532	1.646	1.376	1.391	1.350	1.322	1.427	1.228	1.214	1.157	1.055	1.056	1.003	0.818	0.891	0.828	0.784	0.768	0.785	0.805	0.707	0.722	0.575	0.622	0.673	0.824	0.710	0.625	0.816	3.347	9.042	17.85	26.90	20.81	14.63	3.600	0.444	0.323	0.329	0.298	0.251	0.221	0.252	0.225	0.225	0.216	0.198	0.187	0.210	0.162	0.140	0.138	0.177	0.160	0.101	0.122	0.144	0.118	0.096
240.0	109.7	295.0	 1770	 6925	 7164	360.3	26.91	8.639	7.979	6.374	5.128	4.260	3.555	3.090	2.727	2.155	2.174	1.429	1.773	1.540	1.504	1.570	1.368	1.255	1.419	1.128	1.127	1.132	1.307	1.102	1.008	0.855	0.890	0.907	0.778	0.671	0.697	0.747	0.691	0.706	0.628	0.619	0.637	0.732	0.719	0.802	0.795	1.174	2.406	4.931	11.85	28.36	43.79	21.18	11.15	1.563	0.375	0.314	0.282	0.276	0.256	0.216	0.212	0.226	0.209	0.232	0.215	0.175	0.164	0.137	0.194	0.156	0.127	0.130	0.099	0.095	0.096
245.0	90.89	151.2	437.6	 2782	 8572	 6579	274.7	16.07	10.21	7.239	6.137	5.551	3.855	3.720	2.843	2.391	2.120	1.638	1.936	1.630	1.586	1.512	1.342	1.491	1.370	1.305	1.311	1.219	1.278	1.096	1.028	1.022	0.871	0.872	0.786	0.731	0.748	0.723	0.813	0.769	0.644	0.597	0.587	0.606	0.680	0.711	0.868	0.884	1.064	1.490	3.109	9.262	25.73	42.52	49.64	19.13	7.041	0.673	0.338	0.288	0.263	0.225	0.250	0.253	0.198	0.246	0.171	0.175	0.203	0.180	0.152	0.137	0.135	0.130	0.143	0.093	0.086
250.0	42.95	107.5	188.2	680.8	 3132	 7760	 8150	 1093	69.74	11.46	8.512	7.245	4.985	3.941	3.451	2.778	2.544	2.260	1.978	1.821	1.658	1.495	1.540	1.554	1.448	1.269	1.310	1.378	1.254	1.226	1.073	1.065	0.936	0.867	0.851	0.752	0.737	0.721	0.695	0.755	0.667	0.641	0.626	0.663	0.605	0.578	0.644	0.764	0.982	0.921	1.141	2.442	6.381	13.74	27.27	38.47	51.48	41.00	13.11	5.997	0.744	0.315	0.271	0.282	0.271	0.247	0.215	0.188	0.218	0.204	0.195	0.158	0.126	0.178	0.119	0.112	0.108
255.0	22.93	43.35	117.3	262.4	735.3	 2133	 7499	9999.9	 1627	85.47	12.70	9.477	6.210	5.658	4.235	3.491	2.643	2.434	2.292	2.023	1.869	1.767	1.654	1.551	1.576	1.339	1.474	1.407	1.328	1.259	1.082	1.044	0.955	0.886	0.904	0.757	0.699	0.726	0.708	0.738	0.740	0.743	0.686	0.626	0.587	0.596	0.551	0.597	0.646	0.701	0.958	1.284	1.925	3.463	6.407	9.477	19.24	41.51	69.31	72.17	20.61	6.947	0.545	0.344	0.320	0.252	0.275	0.201	0.215	0.207	0.183	0.167	0.155	0.130	0.148	0.109	0.164
260.0	21.48	23.05	55.47	158.3	253.7	506.9	 2526	9999.9	9999.9	 1328	54.90	12.88	7.925	6.577	5.377	4.283	3.275	2.937	2.711	2.154	2.113	1.942	1.952	1.851	1.605	1.498	1.526	1.431	1.264	1.329	1.218	1.101	1.078	0.985	0.838	0.780	0.766	0.684	0.664	0.696	0.733	0.731	0.722	0.639	0.644	0.518	0.559	0.557	0.568	0.529	0.707	0.962	1.245	1.415	1.779	2.486	4.730	11.64	31.75	67.10	87.57	69.23	16.59	3.010	0.395	0.308	0.269	0.259	0.224	0.236	0.199	0.204	0.178	0.161	0.210	0.143	0.170
265.0	24.42	22.35	27.66	80.31	175.0	179.5	602.7	 3787	9999.9	9999.9	 1035	28.25	11.71	8.467	6.286	4.792	3.653	3.284	2.895	2.405	2.394	2.258	1.905	1.802	1.813	1.698	1.625	1.432	1.395	1.294	1.328	1.179	1.134	0.993	0.897	0.842	0.864	0.699	0.691	0.622	0.629	0.680	0.743	0.685	0.598	0.630	0.552	0.525	0.567	0.512	0.487	0.591	0.927	1.182	1.216	1.035	1.445	3.012	7.774	20.84	50.48	92.37	97.81	24.78	11.40	0.906	0.361	0.299	0.264	0.279	0.245	0.247	0.224	0.206	0.226	0.207	0.178
270.0	62.49	54.15	41.48	39.78	90.19	152.9	213.6	901.3	 3700	9999.9	9999.9	 4010	62.93	12.72	9.002	6.224	5.364	4.000	3.402	2.798	2.597	2.335	2.114	2.112	1.854	1.984	1.735	1.723	1.450	1.497	1.444	1.288	1.196	1.162	1.045	0.955	0.899	0.819	0.809	0.751	0.696	0.744	0.796	0.828	0.752	0.729	0.667	0.691	0.597	0.579	0.479	0.487	0.598	0.735	1.049	1.098	1.131	1.309	2.110	5.081	12.23	27.60	49.88	67.13	86.38	65.28	44.69	8.582	1.210	0.357	0.302	0.256	0.255	0.266	0.232	0.217	0.225
275.0	161.6	146.2	95.56	43.77	41.77	83.59	179.4	303.2	874.8	 2608	 8448	9999.9	 6186	76.18	14.35	9.478	7.194	5.322	4.152	3.682	3.266	2.639	2.809	2.395	2.067	2.085	1.885	1.611	1.627	1.651	1.595	1.308	1.243	1.360	1.260	1.096	1.037	0.978	0.976	0.827	0.817	0.898	1.016	0.945	0.977	1.064	1.015	0.943	0.863	0.718	0.657	0.506	0.461	0.529	0.645	0.725	0.986	1.375	1.425	1.724	3.131	6.592	11.61	16.07	28.58	56.59	106.5	116.7	24.74	10.84	0.689	0.368	0.298	0.301	0.243	0.263	0.250
