Sample:	'1
File name:	Default_20231029_145401.FD3
Run date:	'14:47:40, 10/29/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/255.0	73.60
2	225.0/305.0	83.73
3	225.0/515.0	65.41
4	225.0/545.0	52.30
5	225.0/575.0	73.62
6	225.0/625.0	40.72
7	225.0/640.0	75.04
8	230.0/270.0	46.59
9	230.0/310.0	73.84
10	230.0/540.0	51.62
11	230.0/585.0	39.48
12	230.0/615.0	50.05
13	235.0/280.0	63.72
14	235.0/400.0	219.6
15	235.0/500.0	92.43
16	240.0/295.0	47.32
17	240.0/435.0	153.9
18	240.0/515.0	92.28
19	240.0/635.0	30.68
20	245.0/265.0	132.5
21	245.0/465.0	137.2
22	245.0/535.0	68.21
23	245.0/605.0	30.29
24	250.0/270.0	132.5
25	250.0/310.0	48.76
26	250.0/370.0	375.2
27	250.0/435.0	175.6
28	250.0/495.0	812.0
29	250.0/540.0	78.91
30	250.0/585.0	36.54
31	250.0/595.0	26.94
32	250.0/630.0	28.02
33	255.0/280.0	211.5
34	255.0/415.0	211.2
35	255.0/455.0	161.7
36	255.0/480.0	109.5
37	255.0/555.0	61.04
38	255.0/600.0	24.92
39	255.0/620.0	13.95
40	260.0/235.0	16.38
41	260.0/285.0	291.1
42	260.0/445.0	166.9
43	260.0/565.0	63.65
44	260.0/610.0	16.20
45	260.0/635.0	17.22
46	265.0/240.0	16.35
47	265.0/290.0	277.4
48	265.0/430.0	170.2
49	265.0/490.0	104.5
50	265.0/525.0	763.1
51	265.0/580.0	61.51
52	265.0/625.0	21.15
53	270.0/295.0	337.0
54	270.0/425.0	172.2
55	270.0/445.0	164.4
56	270.0/590.0	52.92
57	275.0/300.0	394.0
58	275.0/450.0	161.6
59	275.0/600.0	51.17
60	275.0/635.0	15.76
61	280.0/310.0	374.3
62	280.0/460.0	137.2
63	280.0/520.0	59.46
64	280.0/610.0	37.87
65	285.0/255.0	11.40
66	285.0/315.0	360.2
67	285.0/340.0	121.8
68	285.0/365.0	142.0
69	285.0/410.0	156.7
70	285.0/500.0	79.86
71	285.0/630.0	25.87
72	290.0/320.0	391.8
73	290.0/360.0	132.6
74	290.0/390.0	148.2
75	290.0/640.0	24.57
76	295.0/265.0	6.584
77	295.0/395.0	155.1
78	300.0/255.0	5.293
79	300.0/275.0	6.109
80	300.0/335.0	258.0
81	300.0/385.0	145.7
82	300.0/405.0	153.4
83	305.0/235.0	4.576
84	305.0/250.0	4.514
85	305.0/265.0	5.496
86	305.0/340.0	298.9
87	305.0/575.0	10.92
88	310.0/245.0	3.896
89	310.0/345.0	272.9
90	310.0/395.0	155.2
91	315.0/290.0	5.359
92	315.0/390.0	149.4
93	315.0/405.0	156.5
94	315.0/560.0	11.81
95	320.0/360.0	246.4
96	325.0/365.0	243.0
97	330.0/280.0	3.958
98	330.0/370.0	202.3
99	335.0/380.0	217.4
100	335.0/630.0	4.091
101	340.0/240.0	2.565
102	340.0/275.0	2.900
103	340.0/385.0	222.6
104	340.0/600.0	5.224
105	345.0/295.0	3.028
106	345.0/390.0	193.5
107	345.0/610.0	3.197
108	350.0/265.0	2.208
109	350.0/285.0	2.810
110	350.0/395.0	187.9
111	355.0/405.0	183.9
112	355.0/635.0	2.299
113	360.0/265.0	2.299
114	360.0/280.0	2.257
115	360.0/410.0	161.1
116	365.0/415.0	155.5
117	365.0/620.0	2.743
118	370.0/235.0	2.056
119	370.0/425.0	148.4
120	370.0/640.0	2.200
121	375.0/240.0	1.855
122	375.0/430.0	126.4
123	375.0/635.0	1.959
124	380.0/435.0	119.2
125	385.0/265.0	2.092
126	385.0/445.0	108.8
127	385.0/640.0	1.964
128	390.0/235.0	2.215
129	390.0/450.0	88.45
130	395.0/455.0	79.44
