Sample:	'1
File name:	Default_20230620_154444.FD3
Run date:	'15:38:23, 06/20/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/300.0	19.56
2	230.0/560.0	-60.34
3	230.0/570.0	-58.80
4	235.0/305.0	16.39
5	235.0/575.0	-47.52
6	240.0/560.0	-14.16
7	245.0/530.0	56.00
8	245.0/585.0	-9.923
9	245.0/620.0	-31.69
10	250.0/365.0	 2317
11	250.0/540.0	54.24
12	255.0/555.0	52.01
13	255.0/640.0	-5.985
14	260.0/285.0	382.8
15	260.0/565.0	43.37
16	260.0/615.0	-6.850
17	265.0/290.0	421.1
18	265.0/580.0	50.28
19	270.0/240.0	-18.03
20	270.0/295.0	612.8
21	270.0/590.0	52.38
22	270.0/625.0	5.592
23	275.0/250.0	-11.85
24	275.0/305.0	764.0
25	275.0/605.0	55.36
26	280.0/260.0	-6.844
27	280.0/310.0	739.1
28	280.0/455.0	338.3
29	280.0/615.0	34.79
30	285.0/250.0	-12.02
31	285.0/315.0	732.7
32	285.0/625.0	26.42
33	290.0/320.0	670.2
34	290.0/385.0	427.3
35	290.0/400.0	395.8
36	290.0/640.0	22.59
37	295.0/330.0	516.2
38	300.0/335.0	467.8
39	305.0/235.0	-4.283
40	305.0/265.0	-3.476
41	305.0/340.0	516.4
42	305.0/565.0	13.14
43	310.0/240.0	-1.516
44	310.0/345.0	437.8
45	315.0/260.0	-3.763
46	320.0/240.0	-3.577
47	320.0/265.0	-3.051
48	320.0/360.0	395.2
49	320.0/550.0	21.15
50	320.0/595.0	0.253
51	325.0/245.0	-3.869
52	325.0/270.0	-3.450
53	325.0/365.0	377.5
54	325.0/600.0	-1.388
55	325.0/620.0	-1.842
56	330.0/250.0	-3.043
57	330.0/370.0	330.2
58	330.0/615.0	-0.450
59	335.0/265.0	-1.852
60	335.0/380.0	342.3
61	335.0/585.0	3.369
62	340.0/260.0	-1.438
63	340.0/300.0	-1.461
64	340.0/385.0	344.9
65	345.0/250.0	-2.167
66	345.0/295.0	-1.737
67	345.0/390.0	304.5
68	345.0/595.0	1.712
69	345.0/625.0	-1.163
70	350.0/240.0	-2.155
71	350.0/290.0	-2.664
72	350.0/395.0	303.8
73	350.0/600.0	0.173
74	355.0/320.0	-1.117
75	355.0/405.0	293.2
76	355.0/635.0	-0.606
77	360.0/260.0	-1.439
78	360.0/410.0	260.5
79	360.0/625.0	0.148
80	365.0/240.0	-2.225
