Sample:	'1
File name:	Default_20230203_102050.FD3
Run date:	'10:14:29, 02/03/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/300.0	15.44
2	230.0/635.0	-80.93
3	235.0/290.0	11.12
4	235.0/545.0	-39.22
5	240.0/260.0	115.0
6	240.0/480.0	 1009
7	240.0/525.0	38.76
8	240.0/580.0	-41.81
9	240.0/625.0	-69.17
10	245.0/265.0	133.9
11	245.0/365.0	631.0
12	245.0/535.0	44.64
13	250.0/360.0	623.0
14	250.0/545.0	53.21
15	255.0/235.0	-39.35
16	255.0/280.0	425.8
17	255.0/560.0	47.87
18	260.0/285.0	749.6
19	260.0/425.0	244.9
20	260.0/440.0	224.2
21	260.0/570.0	73.98
22	265.0/345.0	406.5
23	265.0/420.0	243.4
24	265.0/435.0	221.3
25	265.0/575.0	110.6
26	265.0/635.0	6.961
27	270.0/295.0	 1749
28	270.0/430.0	214.8
29	270.0/590.0	134.0
30	270.0/640.0	12.98
31	275.0/300.0	 1762
32	275.0/600.0	107.7
33	280.0/235.0	-17.77
34	280.0/400.0	215.8
35	280.0/445.0	208.0
36	285.0/245.0	-18.87
37	285.0/385.0	220.1
38	285.0/415.0	204.5
39	290.0/250.0	-13.45
40	290.0/320.0	589.1
41	290.0/390.0	218.2
42	290.0/440.0	173.2
43	290.0/640.0	19.18
44	295.0/240.0	-9.063
45	295.0/400.0	210.0
46	300.0/335.0	343.1
47	300.0/405.0	199.7
48	305.0/235.0	-7.975
49	305.0/255.0	-6.863
50	305.0/280.0	-5.694
51	305.0/340.0	378.7
52	305.0/400.0	201.8
53	305.0/540.0	11.01
54	310.0/345.0	328.9
55	310.0/395.0	202.7
56	310.0/575.0	-1.441
57	315.0/285.0	-4.099
58	315.0/350.0	263.4
59	315.0/400.0	201.6
60	315.0/585.0	-0.858
61	320.0/260.0	-4.869
62	320.0/360.0	281.2
63	320.0/590.0	-2.647
64	325.0/240.0	-5.081
65	325.0/285.0	-4.870
66	325.0/295.0	-3.628
67	325.0/365.0	280.1
68	330.0/255.0	-3.877
69	330.0/370.0	242.4
70	330.0/615.0	-2.744
71	335.0/275.0	-4.253
72	335.0/305.0	-3.360
73	335.0/380.0	245.8
74	340.0/260.0	-3.276
75	340.0/280.0	-4.049
76	340.0/385.0	250.7
77	340.0/625.0	-2.181
78	345.0/265.0	-3.266
79	345.0/390.0	218.3
80	350.0/275.0	-3.660
81	350.0/395.0	212.2
82	350.0/640.0	-3.690
83	355.0/270.0	-3.211
84	355.0/300.0	-3.252
85	355.0/405.0	207.2
86	355.0/620.0	-2.440
87	360.0/295.0	-3.067
88	360.0/410.0	177.8
89	360.0/595.0	0.209
90	365.0/255.0	-2.528
91	365.0/415.0	170.2
92	370.0/320.0	-2.574
93	370.0/425.0	163.3
94	370.0/640.0	-2.428
95	375.0/240.0	-2.652
96	375.0/430.0	140.0
97	380.0/435.0	128.6
98	385.0/245.0	-1.990
99	385.0/445.0	114.7
100	385.0/630.0	-1.847
101	390.0/450.0	96.69
102	395.0/295.0	-1.075
103	395.0/455.0	81.61
104	400.0/465.0	67.72
105	405.0/340.0	-1.365
106	405.0/470.0	56.13
107	405.0/590.0	-0.081
108	410.0/300.0	-1.677
109	410.0/475.0	46.55
110	410.0/635.0	-1.778
111	415.0/255.0	-1.011
112	415.0/365.0	-1.218
113	415.0/485.0	39.59
114	415.0/625.0	-0.807
115	420.0/490.0	31.42
116	425.0/240.0	-1.216
117	425.0/295.0	-1.366
118	430.0/505.0	22.20
119	435.0/375.0	-0.741
120	435.0/395.0	-1.191
121	435.0/510.0	17.20
122	440.0/515.0	14.57
123	445.0/525.0	12.24
124	450.0/530.0	9.796
125	455.0/540.0	7.385
126	460.0/405.0	-0.414
127	460.0/545.0	6.828
128	465.0/555.0	5.183
129	480.0/355.0	-0.194
130	485.0/375.0	0.014
131	490.0/365.0	0.001
132	490.0/585.0	0.081
133	495.0/355.0	0.043
134	495.0/595.0	-0.062
135	500.0/565.0	-0.684
136	500.0/605.0	-0.317
137	510.0/615.0	-0.816
138	525.0/460.0	-0.528
139	530.0/290.0	1.061
140	530.0/380.0	-0.512
141	535.0/295.0	1.671
142	535.0/585.0	-0.800
143	540.0/300.0	2.197
144	540.0/465.0	-0.755
145	540.0/635.0	-1.154
146	550.0/305.0	2.265
147	555.0/310.0	1.208
148	555.0/460.0	-0.805
149	565.0/335.0	-0.805
150	565.0/500.0	-0.792
151	570.0/315.0	0.023
152	575.0/255.0	-1.096
153	575.0/320.0	-0.165
154	575.0/515.0	-1.139
155	580.0/325.0	-0.196
156	585.0/490.0	-1.014

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-174.9	-99.38	735.8	662.4	-37.30	-67.57	-57.55	-46.19	-42.52	-36.96	-39.40	-34.07	-21.37	-19.08	-16.89	-12.74	-11.77	-9.760	-8.554	-6.421	-7.428	-6.807	-6.035	-4.847	-5.816	-4.712	-3.867	-4.595	-4.081	-4.561	-3.390	-3.849	-4.180	-3.762	-2.786	-2.893	-2.754	-2.624	-2.634	-2.229	-2.566	-2.516	-2.550	-2.156	-2.037	-2.100	-1.792	-1.477	-0.447	0.276	-0.830	-1.669	-1.552	-2.106	-1.769	-1.986	-2.010	-2.309	-2.214	-2.116	-2.305	-2.172	-1.911	-1.899	-2.251	-2.248	-2.185	-2.265	-2.319	-2.111	-2.441	-2.055	-1.954	-2.259	-2.183	-2.222	-2.732
235.0	-154.8	-124.7	247.1	 1254	941.6	6.546	-61.76	-39.35	-48.80	-38.70	-31.78	-27.96	-17.77	-24.18	-12.87	-11.46	-12.15	-7.975	-9.186	-7.037	-7.778	-5.363	-5.332	-6.327	-6.969	-4.882	-3.548	-3.890	-4.225	-3.420	-4.093	-3.239	-3.970	-4.323	-3.153	-2.734	-3.141	-2.760	-2.636	-2.743	-1.741	-2.096	-2.414	-2.368	-2.523	-2.313	-1.853	-1.905	-0.966	0.045	0.798	0.937	-0.165	-2.027	-1.356	-1.809	-2.404	-1.756	-1.919	-1.862	-1.944	-2.053	-2.115	-1.895	-2.340	-2.453	-2.091	-1.928	-2.059	-2.018	-1.893	-2.314	-2.140	-2.499	-1.908	-2.640	-2.138
240.0	-184.2	-134.6	-17.44	590.7	 1773	708.8	-38.35	-55.90	-38.04	-43.41	-33.34	-22.81	-22.63	-20.95	-20.51	-9.063	-14.20	-10.06	-8.178	-6.326	-6.419	-5.081	-6.499	-5.897	-5.216	-5.441	-5.787	-3.562	-3.827	-3.532	-4.654	-2.652	-3.474	-4.677	-2.945	-2.837	-3.468	-2.757	-2.301	-3.162	-1.770	-1.216	-2.142	-2.272	-2.369	-2.369	-1.489	-1.829	-1.319	-1.143	-0.037	0.987	1.372	0.809	-0.296	-1.992	-2.770	-2.119	-2.070	-1.844	-2.569	-2.083	-1.709	-1.880	-2.253	-2.180	-2.228	-1.613	-2.171	-2.211	-2.072	-2.521	-2.490	-2.982	-2.406	-2.419	-2.183
245.0	-168.3	-115.4	-89.63	62.76	 1133	 2001	595.6	-34.63	-41.96	-45.33	-26.94	-22.39	-23.25	-18.87	-24.37	-11.75	-11.51	-11.56	-9.662	-6.677	-6.376	-6.000	-6.380	-5.757	-4.340	-5.340	-5.385	-3.774	-4.007	-4.246	-4.308	-2.809	-3.440	-1.990	-2.881	-2.630	-3.412	-3.170	-2.576	-2.587	-2.080	-2.404	-1.842	-2.208	-2.511	-1.915	-1.053	-1.664	-1.736	-1.293	-1.175	-0.682	0.946	2.116	1.804	-0.188	-2.315	-2.393	-1.801	-1.993	-2.338	-2.107	-1.088	-1.117	-2.221	-2.168	-1.769	-2.038	-2.051	-2.220	-2.543	-2.015	-2.154	-2.631	-2.540	-2.347	-2.178
250.0	-152.8	-167.9	-58.01	-28.20	214.1	 1071	 1830	987.0	116.5	-35.75	-31.24	-23.94	-24.60	-21.26	-13.45	-15.54	-11.88	-7.130	-9.478	-6.697	-6.350	-5.902	-6.267	-5.868	-4.475	-5.055	-4.263	-3.526	-3.464	-4.569	-3.104	-3.750	-3.489	-2.927	-2.490	-3.241	-2.827	-3.089	-2.099	-2.684	-2.109	-1.936	-2.232	-1.913	-2.848	-1.635	-1.609	-1.808	-1.756	-1.227	-1.485	-1.434	-1.166	-0.824	0.426	1.704	2.242	1.462	-0.072	-1.700	-2.042	-2.074	-2.079	-1.905	-2.023	-1.950	-2.370	-2.446	-1.849	-2.585	-2.758	-1.909	-1.763	-2.355	-2.056	-2.380	-2.122
255.0	-202.9	-117.6	-101.5	8.266	51.71	229.1	682.6	 2490	 1425	125.2	-42.45	-26.82	-20.35	-19.24	-15.48	-16.11	-12.87	-6.863	-10.67	-6.339	-5.811	-7.390	-3.877	-5.305	-4.035	-4.796	-5.061	-4.211	-3.188	-2.528	-3.210	-3.993	-3.079	-3.405	-2.951	-2.462	-2.946	-3.224	-2.243	-1.011	-2.136	-2.646	-2.138	-2.235	-2.385	-2.125	-1.315	-2.182	-2.327	-1.494	-0.862	-1.266	-1.327	-1.446	-0.892	-1.228	-0.501	2.029	5.646	5.245	0.899	-1.626	-2.004	-2.106	-1.728	-1.912	-2.082	-1.988	-2.192	-3.022	-2.356	-1.096	-1.824	-2.423	-2.463	-2.483	-2.282
260.0	-197.0	-152.8	-91.26	-23.48	115.0	55.28	123.9	 1161	 3028	 1211	42.14	-20.87	-21.40	-23.65	-17.05	-14.90	-13.77	-10.00	-9.491	-7.269	-4.869	-6.979	-6.551	-5.448	-3.276	-5.575	-4.983	-3.777	-4.718	-2.936	-4.124	-3.568	-3.017	-2.182	-2.325	-2.640	-2.998	-2.653	-2.277	-2.893	-2.203	-3.057	-1.762	-2.503	-2.473	-2.290	-1.163	-1.821	-1.847	-1.664	-1.360	-1.659	-1.339	-1.622	-1.546	-1.759	-1.253	-1.364	1.772	5.426	6.821	4.287	-0.555	-1.881	-1.816	-2.050	-1.620	-1.722	-2.236	-2.189	-2.129	-1.702	-2.510	-2.096	-2.482	-2.311	-2.269
265.0	-175.7	-159.7	-104.5	-70.58	102.5	133.9	21.06	263.9	 1620	 3691	924.0	15.05	-21.53	-19.23	-17.16	-13.53	-10.04	-10.18	-8.673	-7.460	-6.115	-6.506	-8.040	-4.740	-4.481	-3.266	-4.551	-4.644	-4.823	-4.598	-4.812	-3.416	-2.327	-2.934	-2.710	-2.315	-2.846	-2.623	-2.295	-2.856	-2.348	-2.677	-3.236	-2.593	-2.163	-2.843	-1.995	-1.901	-1.714	-1.399	-1.438	-2.482	-1.463	-1.520	-1.152	-1.899	-1.844	-1.567	-1.196	0.386	3.006	7.695	8.796	2.697	-1.578	-1.301	-1.259	-1.634	-1.604	-2.090	-2.420	-1.626	-2.297	-2.665	-2.318	-2.646	-2.853
270.0	-154.2	-138.2	-108.7	-80.95	-5.515	131.7	182.0	87.72	398.7	 1703	 3410	 2384	216.7	-17.57	-18.13	-12.39	-11.77	-9.568	-8.874	-8.240	-7.129	-7.352	-6.563	-4.835	-5.429	-4.424	-5.042	-3.211	-4.476	-3.646	-4.217	-3.414	-3.033	-3.502	-2.937	-3.382	-2.698	-2.809	-2.452	-2.551	-2.193	-2.270	-2.575	-2.550	-1.939	-2.366	-1.362	-1.747	-1.823	-1.294	-1.332	-2.034	-1.580	-1.805	-1.279	-1.274	-1.798	-1.190	-1.647	-1.323	-0.812	1.021	3.462	6.010	7.247	5.959	1.581	-1.493	-2.084	-1.718	-2.380	-2.066	-1.923	-2.121	-1.991	-2.539	-2.348
275.0	-221.9	-149.0	-91.37	-78.59	-56.54	24.61	199.9	300.8	156.1	448.7	 1191	 4055	 3627	222.1	-13.38	-10.37	-9.186	-7.690	-8.961	-7.356	-6.630	-6.666	-6.730	-4.253	-5.798	-5.368	-3.660	-4.333	-5.081	-4.019	-5.132	-3.821	-3.627	-2.631	-2.354	-2.033	-2.611	-2.908	-2.684	-3.045	-2.735	-2.178	-2.325	-2.465	-1.907	-2.286	-1.945	-1.741	-1.720	-1.133	-1.535	-1.906	-1.127	-1.970	-1.919	-1.306	-1.032	-0.362	-1.287	-2.243	-1.695	-1.428	-0.609	0.219	1.534	6.995	12.04	10.69	1.975	-2.055	-1.733	-1.905	-2.459	-2.240	-2.345	-2.651	-2.731
280.0	-186.6	-127.6	-91.62	-50.28	-39.06	-7.772	94.81	425.8	403.3	357.7	609.0	 1829	 5211	 2843	78.26	-8.956	-6.850	-5.694	-10.67	-8.474	-7.399	-5.060	-6.544	-5.187	-4.049	-5.292	-4.542	-4.059	-5.538	-3.766	-4.659	-3.202	-3.257	-2.472	-2.352	-2.476	-2.427	-2.446	-3.992	-2.956	-2.147	-1.964	-2.747	-1.656	-2.373	-2.232	-1.763	-1.924	-1.839	-1.238	-1.593	-2.007	-1.634	-1.781	-2.411	-1.700	-1.563	-0.896	-0.606	-0.607	-1.463	-0.986	-1.463	-0.470	-1.094	1.523	5.050	11.71	14.34	7.091	0.680	-2.171	-2.487	-2.364	-1.504	-2.610	-2.527
285.0	-103.4	-77.17	-86.19	-20.69	-20.48	10.83	63.89	317.0	749.6	655.8	715.9	949.8	 2615	 5513	580.9	15.41	-5.027	-7.486	-8.893	-4.099	-7.594	-4.870	-6.667	-5.641	-4.278	-5.147	-5.270	-4.300	-4.885	-4.518	-2.939	-3.406	-3.097	-2.378	-3.199	-2.159	-2.608	-2.467	-2.597	-2.659	-2.160	-2.317	-1.774	-2.472	-2.519	-2.050	-1.322	-1.568	-1.613	-1.045	-1.082	-1.347	-1.861	-1.658	-2.194	-1.752	-1.418	-0.669	-1.112	-0.756	0.132	-0.646	-0.770	-0.703	-0.825	-0.749	0.804	2.793	8.022	13.29	12.36	3.999	-1.644	-2.276	-2.355	-2.126	-2.572
290.0	-82.39	-43.73	-62.47	11.12	-11.31	27.56	121.9	312.8	715.7	 1146	 1161	 1044	 1110	 2319	 3808	 2164	138.8	-5.406	-8.057	-5.073	-6.383	-6.169	-5.687	-4.492	-4.423	-4.955	-4.691	-3.591	-3.951	-4.235	-3.719	-4.042	-3.051	-2.787	-2.877	-2.880	-2.879	-3.255	-2.138	-2.752	-2.568	-1.904	-2.459	-2.205	-1.927	-1.478	-1.981	-1.376	-1.634	-1.186	-1.155	-1.469	-2.016	-1.757	-1.820	-1.565	-2.107	-1.330	-0.786	-0.628	-0.344	0.413	1.061	0.587	-0.271	-0.177	0.299	0.479	0.661	2.846	6.863	9.956	10.72	7.009	2.023	-1.828	-2.021
295.0	-91.48	-33.75	-26.17	-0.247	-6.530	34.33	178.4	364.1	688.9	 1160	 1749	 1391	881.5	693.6	 1165	 3870	 3060	171.3	-4.621	-5.341	-6.486	-3.628	-5.790	-4.551	-4.995	-4.881	-4.462	-4.535	-3.067	-4.665	-4.694	-4.159	-3.052	-2.908	-3.009	-1.075	-2.389	-2.747	-2.261	-2.857	-2.368	-1.366	-2.538	-2.068	-1.876	-2.396	-1.623	-1.720	-1.652	-1.294	-1.697	-1.429	-1.684	-1.802	-2.100	-1.501	-1.818	-0.346	-0.434	-0.498	-0.477	0.799	0.639	1.671	1.626	0.646	0.488	0.044	-0.473	-0.924	-0.532	0.860	3.364	8.649	15.66	10.98	1.714
300.0	-84.10	15.44	-13.35	18.79	31.41	61.30	178.4	402.8	664.8	 1076	 1628	 1762	873.2	356.8	332.5	 1409	 4753	 2346	79.69	-4.251	-5.611	-4.939	-4.540	-5.107	-5.168	-5.317	-3.548	-3.252	-3.723	-3.642	-4.775	-4.820	-3.928	-2.378	-3.137	-1.704	-2.414	-3.009	-1.677	-2.858	-2.331	-2.018	-2.291	-1.492	-1.706	-2.440	-2.306	-1.684	-1.177	-1.222	-1.148	-1.832	-1.665	-1.334	-0.974	-1.413	-1.555	-0.604	-1.292	-0.834	-0.011	0.663	0.222	0.426	2.197	1.542	1.443	0.345	-1.161	-1.494	-0.776	-1.179	-1.095	0.817	5.977	14.68	16.96
305.0	-94.57	-55.61	-11.46	35.00	28.22	67.59	173.7	389.4	638.9	 1033	 1376	 1659	 1052	311.8	159.7	376.9	 2094	 4941	 1580	25.67	-5.472	-4.360	-3.638	-3.360	-5.055	-5.179	-3.323	-4.451	-4.523	-4.129	-3.501	-3.612	-3.019	-2.309	-2.553	-1.831	-2.991	-3.059	-2.677	-2.543	-2.635	-2.470	-2.689	-2.406	-1.971	-1.711	-1.994	-1.621	-1.666	-0.915	-1.641	-2.062	-1.120	-1.374	-1.406	-1.539	-1.370	-1.448	-0.812	-1.058	-0.676	0.450	-0.072	0.412	1.094	1.174	2.265	0.757	-0.490	-1.633	-2.134	-1.929	-1.872	-1.601	0.084	3.366	11.30
310.0	-78.76	-37.63	-5.568	5.546	52.04	75.71	161.3	337.3	566.3	863.2	 1128	 1223	 1107	539.1	169.7	146.3	521.5	 2026	 3714	 1998	95.90	-2.844	-2.563	-5.004	-3.828	-4.418	-3.177	-3.969	-3.886	-3.649	-3.339	-3.296	-4.035	-2.527	-3.005	-2.842	-2.429	-2.618	-3.008	-2.054	-2.371	-2.209	-2.809	-1.988	-1.654	-2.423	-1.592	-1.768	-2.023	-1.182	-1.329	-1.404	-1.261	-1.462	-1.556	-1.790	-1.347	-1.537	-0.769	-0.770	-0.452	-0.500	-0.586	-0.020	0.924	0.237	0.956	1.208	-0.012	-0.724	-1.306	-1.538	-1.663	-1.712	-1.506	-0.901	1.080
315.0	-150.6	-43.70	11.41	31.13	34.80	95.55	165.6	293.5	473.7	707.9	917.7	943.2	764.5	686.9	387.1	126.8	161.2	480.3	 1103	 3633	 2077	129.1	-2.796	-3.878	-2.057	-3.823	-3.276	-3.839	-3.086	-4.242	-2.937	-2.980	-3.347	-4.002	-2.769	-2.892	-2.235	-2.090	-2.356	-2.554	-2.518	-1.659	-2.939	-1.876	-2.803	-2.308	-1.215	-1.671	-1.628	-1.452	-1.214	-1.231	-1.176	-1.701	-1.892	-1.115	-1.579	-1.821	-0.946	-0.463	-0.283	-0.144	-0.517	0.026	0.447	-0.325	-0.320	-0.441	-0.654	-1.018	0.023	-0.826	-1.640	-1.716	-2.175	-1.287	-1.931
320.0	-118.9	-39.93	6.861	41.73	31.59	70.65	150.2	260.5	403.9	611.7	750.7	763.5	600.2	473.3	589.1	215.8	91.16	144.6	273.8	 1363	 4125	 1684	63.97	-3.351	-2.127	-3.087	-2.386	-5.082	-4.391	-3.958	-2.574	-3.628	-2.812	-3.747	-2.546	-2.232	-2.412	-2.423	-2.324	-2.718	-2.618	-2.702	-2.215	-2.368	-2.877	-1.556	-1.477	-1.912	-1.446	-1.543	-1.893	-1.507	-1.352	-1.210	-1.862	-1.309	-1.777	-2.041	-1.164	-1.149	-0.950	-0.901	-0.860	-0.174	-0.496	-0.924	0.195	-0.424	-0.650	-1.778	-0.445	-0.165	-0.995	-1.644	-2.113	-2.307	-2.024
