Sample:	'1
File name:	Default_20230303_100802.FD3
Run date:	'10:01:41, 03/03/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	235.0/345.0	241.7
2	250.0/390.0	497.3
3	255.0/280.0	164.3
4	255.0/555.0	-91.22
5	260.0/285.0	326.7
6	260.0/565.0	-88.98
7	265.0/290.0	354.1
8	265.0/580.0	-75.24
9	270.0/295.0	611.2
10	270.0/590.0	-58.92
11	275.0/305.0	756.5
12	275.0/600.0	-43.82
13	280.0/310.0	758.4
14	280.0/345.0	591.7
15	280.0/610.0	-43.69
16	285.0/315.0	740.8
17	285.0/340.0	592.5
18	285.0/625.0	-31.77
19	290.0/320.0	728.9
20	290.0/365.0	558.3
21	290.0/395.0	585.0
22	290.0/640.0	-23.10
23	295.0/390.0	575.9
24	300.0/335.0	507.8
25	305.0/340.0	508.8
26	305.0/390.0	586.3
27	310.0/345.0	453.9
28	315.0/355.0	410.4
29	315.0/400.0	594.4
30	320.0/360.0	467.0
31	325.0/365.0	476.4
32	335.0/380.0	487.8
33	340.0/385.0	482.7
34	430.0/505.0	27.11
35	435.0/510.0	20.44
36	445.0/525.0	11.84
37	450.0/530.0	9.384
38	460.0/545.0	4.511
39	465.0/550.0	2.169
40	470.0/560.0	0.245
41	535.0/295.0	-6.399
42	540.0/300.0	-6.251
43	555.0/345.0	-6.359
44	560.0/310.0	-6.140
45	570.0/315.0	-5.839
46	575.0/320.0	-6.211

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-911.4	-623.2	707.3	636.7	-270.8	-282.1	-246.4	-210.2	-184.7	-166.0	-144.2	-124.2	-102.1	-85.32	-68.35	-56.51	-47.39	-40.79	-35.93	-31.38	-28.25	-25.90	-24.14	-21.92	-20.79	-19.52	-18.43	-18.14	-17.41	-16.86	-15.99	-15.18	-14.23	-13.16	-12.37	-11.18	-10.98	-10.84	-10.43	-10.17	-9.791	-9.938	-9.732	-9.340	-9.052	-8.831	-7.720	-6.842	-5.005	-4.036	-5.421	-7.375	-7.263	-7.671	-7.542	-7.740	-8.026	-7.926	-7.940	-7.988	-8.017	-7.978	-8.086	-8.070	-8.136	-8.253	-8.220	-8.349	-8.441	-8.406	-8.420	-8.427	-8.419	-8.570	-8.683	-8.983	-9.052
235.0	-873.7	-677.0	-48.01	 1570	 1067	-193.8	-240.6	-206.9	-186.8	-163.3	-141.9	-123.1	-103.9	-85.59	-68.37	-56.36	-45.77	-40.69	-36.38	-31.25	-28.24	-25.31	-24.10	-22.31	-20.67	-19.50	-18.67	-17.21	-17.51	-17.14	-16.15	-15.06	-14.15	-13.40	-12.69	-11.32	-11.04	-10.85	-10.41	-10.24	-9.885	-9.884	-9.915	-9.500	-9.089	-8.740	-7.960	-7.787	-6.248	-4.314	-3.034	-4.028	-5.873	-7.400	-7.607	-7.725	-8.239	-8.022	-8.191	-7.825	-7.936	-8.067	-8.230	-8.137	-8.229	-8.299	-8.089	-8.438	-8.521	-8.425	-7.889	-8.581	-8.476	-8.438	-8.656	-8.918	-9.054
240.0	-910.7	-695.2	-446.9	610.8	 2395	950.6	-187.2	-211.8	-184.4	-162.5	-143.3	-123.8	-103.2	-83.49	-68.40	-55.81	-46.48	-40.89	-35.91	-31.77	-28.18	-25.51	-23.46	-21.91	-20.73	-19.85	-18.57	-17.60	-17.33	-16.67	-16.28	-15.29	-14.11	-13.29	-12.44	-11.71	-10.75	-10.92	-10.60	-10.43	-9.686	-10.00	-9.684	-9.676	-8.741	-8.736	-7.988	-7.796	-6.743	-5.810	-4.758	-3.360	-1.745	-4.217	-6.512	-7.827	-8.232	-8.001	-7.977	-7.948	-7.968	-7.903	-8.231	-8.283	-7.998	-8.212	-8.262	-8.431	-8.081	-8.502	-8.263	-8.428	-8.402	-8.445	-8.655	-8.797	-9.263
245.0	-887.8	-679.6	-499.2	-163.0	 1368	 2790	924.8	-184.8	-182.5	-164.4	-141.3	-121.7	-102.1	-82.94	-69.55	-54.47	-45.58	-39.22	-35.35	-31.28	-29.03	-26.26	-23.61	-22.13	-20.35	-19.53	-18.59	-17.71	-16.94	-16.65	-16.19	-15.11	-14.40	-13.24	-12.29	-11.51	-10.72	-10.94	-10.04	-10.51	-9.551	-9.967	-9.925	-9.404	-9.181	-8.919	-7.952	-7.658	-7.174	-5.924	-5.867	-6.149	-3.399	-1.117	-1.709	-4.952	-7.513	-7.750	-7.945	-8.071	-7.901	-7.962	-8.124	-8.078	-8.200	-8.255	-8.304	-8.307	-8.249	-8.542	-8.356	-8.539	-8.397	-8.670	-8.761	-8.887	-8.997
250.0	-906.8	-689.2	-466.4	-305.8	92.88	 1487	 3347	 1231	52.45	-161.7	-141.6	-120.5	-101.5	-82.16	-67.84	-55.76	-46.39	-40.06	-35.78	-31.49	-28.43	-25.48	-23.51	-21.85	-20.53	-19.44	-18.42	-17.62	-17.45	-16.78	-16.29	-14.97	-14.27	-13.50	-12.34	-11.37	-10.90	-11.05	-10.46	-10.21	-9.691	-9.891	-9.784	-9.574	-9.003	-8.910	-7.827	-7.771	-6.924	-6.000	-5.918	-7.111	-6.216	-5.590	-3.928	-1.661	-0.644	-2.156	-5.012	-7.499	-7.944	-8.057	-8.076	-8.061	-8.238	-8.348	-8.251	-8.278	-8.469	-8.339	-8.497	-8.439	-8.325	-8.533	-8.669	-8.962	-9.144
255.0	-962.1	-713.3	-519.3	-258.9	-149.7	118.7	 1133	 3900	 1755	100.5	-132.5	-114.1	-99.10	-84.50	-67.64	-55.73	-47.26	-40.15	-34.90	-31.34	-28.77	-25.50	-23.59	-21.64	-21.05	-19.12	-18.68	-17.99	-17.65	-16.76	-16.10	-15.26	-14.23	-13.31	-12.54	-11.33	-10.77	-11.20	-10.54	-10.24	-9.565	-9.984	-9.775	-9.479	-9.061	-8.844	-8.014	-7.882	-7.163	-6.071	-5.685	-7.043	-6.689	-7.305	-6.595	-6.340	-5.157	-0.584	3.424	1.587	-4.120	-7.656	-8.194	-8.125	-8.222	-8.241	-8.139	-8.232	-8.271	-8.485	-8.434	-8.430	-8.477	-8.557	-8.822	-9.012	-9.178
260.0	-911.2	-735.4	-556.9	-329.6	-109.7	-134.7	86.38	 1733	 4925	 1484	-24.30	-116.6	-98.94	-84.15	-66.37	-54.04	-46.31	-40.44	-34.24	-30.82	-28.29	-25.68	-23.74	-21.57	-20.79	-18.82	-18.88	-17.79	-17.12	-16.77	-15.72	-15.30	-14.53	-13.74	-12.43	-11.40	-11.05	-11.01	-10.67	-10.02	-9.938	-9.924	-9.507	-9.088	-8.933	-9.013	-7.969	-7.829	-7.299	-6.240	-6.005	-6.819	-6.627	-7.200	-7.148	-7.501	-7.370	-5.779	-2.409	2.940	5.439	0.369	-6.277	-8.070	-8.128	-8.088	-8.199	-8.272	-8.306	-8.508	-8.228	-8.439	-8.419	-8.451	-8.709	-8.962	-9.185
265.0	-892.5	-720.9	-570.1	-397.6	-151.7	-65.77	-138.8	278.2	 2653	 5605	 1150	-82.08	-98.40	-80.87	-66.39	-54.39	-46.89	-39.63	-34.89	-29.86	-27.60	-25.21	-23.93	-21.76	-20.33	-19.67	-18.43	-17.40	-16.77	-17.03	-15.79	-15.38	-14.22	-13.41	-12.22	-11.45	-11.19	-10.89	-10.60	-10.17	-10.02	-10.01	-9.613	-9.333	-8.979	-8.452	-7.938	-7.759	-7.271	-6.305	-6.118	-7.264	-6.679	-7.190	-7.190	-7.629	-7.893	-7.426	-6.640	-4.639	0.914	7.990	5.597	-2.655	-7.801	-8.018	-8.199	-8.374	-8.389	-8.520	-8.461	-8.442	-8.273	-8.408	-8.774	-8.935	-9.166
270.0	-887.4	-697.2	-553.0	-422.3	-286.1	-89.52	13.78	-33.50	528.4	 2651	 5212	 3317	208.7	-76.66	-65.61	-53.79	-46.71	-39.30	-34.41	-30.56	-27.77	-25.23	-23.53	-21.96	-20.16	-19.48	-18.17	-17.53	-17.20	-16.74	-15.96	-15.30	-13.95	-13.30	-12.38	-11.32	-11.13	-10.89	-10.56	-10.35	-10.01	-9.965	-9.734	-9.392	-8.953	-8.643	-7.796	-7.761	-7.089	-6.202	-6.085	-7.422	-7.063	-7.390	-6.909	-7.176	-7.329	-7.433	-7.419	-7.052	-5.710	-2.978	0.937	4.637	6.141	2.916	-4.141	-7.760	-8.413	-8.469	-8.400	-8.304	-8.282	-8.487	-8.791	-8.908	-9.152
