Sample:	'1
File name:	Default_20231105_110820.FD3
Run date:	'11:01:59, 11/05/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/345.0	 1449
2	240.0/265.0	151.9
3	245.0/270.0	139.0
4	260.0/570.0	55.65
5	265.0/580.0	47.16
6	270.0/300.0	510.8
7	270.0/595.0	43.98
8	275.0/305.0	578.4
9	275.0/610.0	39.56
10	280.0/620.0	32.21
11	285.0/635.0	22.83
12	320.0/360.0	345.8
13	325.0/370.0	334.1
14	330.0/375.0	327.2
15	335.0/380.0	339.5
16	365.0/420.0	182.0
17	370.0/425.0	169.5
18	475.0/360.0	4.275
19	480.0/365.0	4.201
20	485.0/370.0	4.078
21	500.0/380.0	3.982

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	61.79	958.1	 1447	266.5	6.021	2.587	2.236	2.015	1.629	1.427	1.414	1.337	1.144	1.094	0.808	0.776	0.681	0.628	0.615	0.505	0.466	0.473	0.465	0.479	0.408	0.371	0.386	0.356	0.369	0.346	0.315	0.315	0.329	0.290	0.315	0.385	0.394	0.377	0.307	0.327	0.383	0.414	0.452	0.341	0.285	0.263	0.573	2.427	4.655	3.897	1.606	0.395	0.164	0.149	0.148	0.159	0.129	0.135	0.130	0.111	0.104	0.109	0.098	0.098	0.087	0.093	0.100	0.089	0.096	0.091	0.083	0.069	0.060	0.061	0.058	0.071	0.062
235.0	56.69	292.2	 1132	 1339	286.3	5.657	2.374	2.343	1.996	1.732	1.618	1.263	1.010	1.206	0.864	0.710	0.611	0.632	0.674	0.581	0.573	0.447	0.390	0.434	0.435	0.476	0.476	0.311	0.371	0.347	0.355	0.407	0.336	0.300	0.305	0.332	0.406	0.380	0.355	0.354	0.368	0.343	0.397	0.471	0.414	0.288	0.308	0.738	1.678	2.901	4.066	4.923	2.054	0.463	0.183	0.157	0.142	0.141	0.148	0.098	0.141	0.113	0.077	0.091	0.099	0.071	0.088	0.088	0.091	0.077	0.055	0.065	0.073	0.056	0.069	0.077	0.051
240.0	80.90	95.69	407.8	 1407	 1195	177.6	4.591	2.225	1.567	1.879	1.504	1.780	1.114	1.006	0.881	0.866	0.730	0.566	0.448	0.523	0.580	0.519	0.533	0.383	0.420	0.467	0.406	0.335	0.415	0.414	0.442	0.342	0.298	0.363	0.287	0.265	0.347	0.442	0.381	0.397	0.348	0.359	0.344	0.353	0.419	0.452	0.356	0.327	0.572	0.905	2.101	5.214	6.304	4.546	1.574	0.290	0.141	0.150	0.155	0.127	0.135	0.098	0.073	0.090	0.101	0.083	0.116	0.078	0.088	0.082	0.073	0.061	0.094	0.063	0.056	0.057	0.074
245.0	76.13	96.53	111.0	608.0	 1624	 1054	97.64	3.794	2.166	2.110	1.904	1.542	1.478	0.870	0.926	1.138	0.921	0.531	0.653	0.689	0.639	0.546	0.498	0.406	0.475	0.358	0.400	0.400	0.419	0.403	0.319	0.395	0.331	0.312	0.302	0.279	0.272	0.294	0.380	0.393	0.383	0.367	0.320	0.291	0.358	0.532	0.553	0.444	0.379	0.350	0.663	1.837	3.959	6.806	6.727	3.559	0.809	0.175	0.173	0.129	0.113	0.112	0.101	0.091	0.109	0.120	0.112	0.078	0.054	0.061	0.092	0.049	0.102	0.055	0.068	0.052	0.051
250.0	32.43	95.49	109.4	169.1	640.8	 1397	 1082	192.1	12.41	2.685	2.401	1.896	1.632	1.320	1.181	1.096	0.845	0.687	0.629	0.588	0.565	0.481	0.457	0.459	0.417	0.473	0.406	0.360	0.445	0.368	0.401	0.357	0.334	0.323	0.290	0.243	0.261	0.288	0.321	0.401	0.417	0.369	0.344	0.291	0.297	0.370	0.427	0.458	0.542	0.445	0.418	0.589	1.104	2.249	3.949	5.701	6.787	5.624	3.173	0.819	0.167	0.130	0.116	0.106	0.105	0.089	0.092	0.108	0.069	0.079	0.102	0.054	0.090	0.053	0.062	0.062	0.064
255.0	16.66	34.61	110.0	144.7	166.2	418.9	 1306	 1780	271.0	11.89	3.218	2.672	2.053	1.716	1.180	0.955	0.993	0.824	0.851	0.542	0.685	0.571	0.436	0.495	0.396	0.486	0.402	0.414	0.435	0.349	0.342	0.432	0.341	0.343	0.306	0.238	0.240	0.305	0.207	0.283	0.393	0.446	0.429	0.355	0.271	0.295	0.301	0.296	0.317	0.441	0.618	0.721	0.549	0.651	1.032	1.501	2.801	5.975	9.706	9.283	4.307	0.919	0.128	0.103	0.126	0.044	0.122	0.093	0.092	0.080	0.085	0.095	0.078	0.057	0.082	0.078	0.064
260.0	9.080	14.17	51.97	146.4	111.6	107.8	483.4	 1842	 1782	206.7	6.239	3.148	2.516	1.730	1.547	1.366	0.965	0.859	0.751	0.676	0.612	0.654	0.483	0.583	0.405	0.530	0.534	0.430	0.471	0.325	0.462	0.432	0.357	0.297	0.279	0.315	0.266	0.215	0.167	0.306	0.334	0.396	0.358	0.305	0.308	0.300	0.262	0.254	0.206	0.282	0.415	0.694	0.730	0.525	0.465	0.521	0.765	1.737	4.591	9.106	11.56	8.541	2.716	0.443	0.137	0.091	0.094	0.105	0.100	0.054	0.073	0.101	0.064	0.056	0.089	0.070	0.089
265.0	8.902	5.912	18.03	83.39	151.9	75.53	123.9	760.7	 2217	 1632	151.4	4.967	2.882	1.884	1.472	1.526	1.055	0.835	0.804	0.806	0.723	0.629	0.445	0.486	0.483	0.377	0.531	0.456	0.474	0.404	0.437	0.461	0.353	0.323	0.306	0.262	0.217	0.224	0.211	0.256	0.285	0.264	0.365	0.321	0.327	0.343	0.295	0.279	0.242	0.192	0.247	0.393	0.705	0.941	0.615	0.378	0.325	0.538	1.245	2.963	7.167	11.54	12.22	6.887	1.551	0.208	0.078	0.105	0.114	0.098	0.092	0.100	0.070	0.072	0.071	0.062	0.074
270.0	18.66	11.75	9.847	27.74	90.57	139.0	96.61	198.1	815.7	 1882	 1951	637.6	31.93	2.774	1.903	1.593	1.309	1.015	0.868	0.833	0.716	0.751	0.604	0.496	0.472	0.458	0.486	0.473	0.510	0.462	0.404	0.376	0.356	0.364	0.289	0.290	0.267	0.260	0.283	0.301	0.262	0.250	0.356	0.373	0.405	0.368	0.376	0.304	0.275	0.235	0.227	0.272	0.344	0.518	0.692	0.787	0.629	0.466	0.486	0.816	1.884	3.696	6.429	9.759	11.02	9.042	4.956	1.480	0.206	0.114	0.108	0.072	0.069	0.088	0.075	0.077	0.082
