Sample:	'1
File name:	Default_20230215_180222.FD3
Run date:	'17:56:01, 02/15/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/330.0	 3119
2	225.0/640.0	113.6
3	255.0/280.0	144.1
4	265.0/580.0	37.19
5	285.0/325.0	 5989
6	285.0/635.0	232.8
7	330.0/405.0	890.2
8	460.0/330.0	10.07
9	575.0/325.0	29.65

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	102.8	894.2	 1360	250.8	6.348	2.472	1.701	1.441	1.507	1.253	1.575	1.923	2.154	1.824	1.748	1.376	1.186	0.857	0.636	0.616	0.561	0.539	0.527	0.505	0.510	0.415	0.426	0.437	0.332	0.325	0.313	0.282	0.295	0.259	0.200	0.299	0.344	0.277	0.252	0.257	0.212	0.262	0.241	0.192	0.160	0.145	0.478	2.460	5.563	5.057	2.030	0.378	0.115	0.106	0.078	0.076	0.078	0.051	0.053	0.061	0.068	0.036	0.044	0.035	0.038	0.042	0.056	0.028	0.024	0.039	0.040	0.013	0.029	0.017	0.005	0.010	0.038
235.0	50.45	275.1	 1154	 1486	301.0	10.55	1.866	2.513	1.491	1.814	2.064	1.807	2.514	2.058	1.735	1.562	1.283	1.006	0.659	0.719	0.682	0.513	0.531	0.654	0.538	0.339	0.465	0.327	0.269	0.231	0.334	0.294	0.337	0.236	0.181	0.203	0.315	0.265	0.277	0.190	0.243	0.216	0.193	0.309	0.268	0.230	0.245	0.736	1.812	3.511	5.491	6.700	3.625	0.845	0.100	0.099	0.071	0.054	0.054	0.047	0.077	0.047	0.060	0.017	0.016	0.038	0.077	0.029	0.056	0.016	-0.001	0.011	0.020	0.018	0.000	0.037	0.140
240.0	55.51	82.99	425.6	 1584	 1553	225.3	4.977	2.510	2.037	1.960	2.102	2.093	2.459	2.057	1.686	1.462	1.127	0.893	0.720	0.799	0.553	0.455	0.562	0.524	0.506	0.404	0.397	0.385	0.384	0.321	0.316	0.335	0.305	0.199	0.182	0.253	0.276	0.288	0.272	0.246	0.219	0.191	0.193	0.228	0.250	0.382	0.252	0.317	0.498	1.038	2.575	6.593	9.557	7.507	2.690	0.388	0.087	0.056	0.052	0.054	0.088	0.052	0.063	0.036	0.019	0.024	0.080	0.043	0.062	0.017	0.014	0.025	0.034	0.015	0.023	0.026	0.093
245.0	46.98	65.90	112.4	687.4	 2070	 1455	151.6	3.584	2.619	3.004	2.616	2.338	2.649	2.502	2.064	1.780	1.234	1.154	0.929	0.793	0.610	0.590	0.669	0.517	0.600	0.550	0.519	0.382	0.468	0.368	0.318	0.374	0.292	0.254	0.255	0.175	0.225	0.224	0.255	0.286	0.281	0.198	0.182	0.188	0.195	0.319	0.328	0.390	0.329	0.357	0.733	2.172	5.623	10.18	11.34	6.543	1.591	0.168	0.117	0.064	0.060	0.066	0.035	0.048	0.053	0.028	0.068	0.034	0.047	0.035	0.030	0.025	0.024	0.042	0.014	0.026	0.037
250.0	26.38	59.51	85.53	182.4	802.8	 1881	 1892	578.8	25.22	3.616	2.972	2.875	2.800	2.705	2.311	1.964	1.514	1.222	0.885	0.803	0.614	0.652	0.626	0.648	0.583	0.501	0.503	0.429	0.430	0.380	0.384	0.416	0.235	0.282	0.257	0.179	0.229	0.208	0.239	0.253	0.265	0.196	0.240	0.156	0.186	0.209	0.202	0.395	0.392	0.432	0.371	0.605	1.440	3.253	6.224	9.304	11.51	9.882	5.620	1.749	0.209	0.072	0.058	0.045	0.063	0.035	0.054	0.050	0.023	0.052	0.023	0.031	0.058	0.022	0.016	0.023	0.023
255.0	14.88	23.04	81.29	118.5	199.5	545.3	 1886	 2824	237.8	25.23	4.546	3.785	3.464	3.203	2.680	2.207	1.523	1.315	0.797	0.672	0.732	0.651	0.528	0.604	0.549	0.550	0.607	0.365	0.476	0.434	0.433	0.377	0.244	0.289	0.256	0.175	0.142	0.140	0.209	0.232	0.265	0.212	0.212	0.205	0.187	0.194	0.179	0.228	0.282	0.380	0.444	0.614	0.557	0.835	1.489	2.276	4.148	9.202	16.60	16.96	8.906	1.816	0.176	0.070	0.076	0.079	0.066	0.078	0.024	0.075	0.039	0.058	0.020	0.001	0.029	0.040	0.041
260.0	12.09	8.944	38.17	109.0	107.8	136.5	665.0	 2635	 2838	200.2	13.46	5.382	3.932	3.693	2.693	2.232	1.883	1.378	0.986	0.862	0.799	0.705	0.682	0.645	0.681	0.544	0.627	0.430	0.373	0.476	0.473	0.357	0.242	0.298	0.239	0.181	0.181	0.171	0.165	0.157	0.240	0.264	0.257	0.217	0.222	0.211	0.194	0.180	0.191	0.182	0.293	0.592	0.662	0.574	0.463	0.634	1.043	2.511	7.425	15.46	21.21	16.59	6.492	0.843	0.089	0.084	0.056	0.073	0.065	0.068	0.040	0.030	0.042	0.021	0.027	0.040	0.037
265.0	13.51	5.111	15.46	62.48	121.8	76.54	162.8	 1017	 3298	 2794	159.7	9.169	5.225	4.132	3.173	2.200	2.034	1.545	1.002	1.037	0.713	0.840	0.780	0.698	0.610	0.594	0.583	0.462	0.407	0.332	0.391	0.407	0.326	0.285	0.255	0.224	0.254	0.192	0.170	0.130	0.209	0.223	0.253	0.267	0.265	0.233	0.204	0.211	0.207	0.168	0.196	0.320	0.606	0.726	0.579	0.355	0.323	0.689	1.840	4.669	11.83	21.24	23.73	13.92	3.614	0.239	0.068	0.075	0.063	0.079	0.050	0.062	0.035	0.030	0.030	0.046	0.038
270.0	16.81	9.561	11.04	21.70	68.34	107.0	93.25	250.0	 1139	 2789	 2610	676.2	45.34	5.333	4.143	3.301	2.403	1.884	1.309	1.128	0.929	0.887	0.750	0.680	0.640	0.648	0.688	0.487	0.608	0.396	0.392	0.431	0.369	0.275	0.276	0.193	0.227	0.226	0.179	0.159	0.158	0.178	0.220	0.254	0.270	0.245	0.216	0.183	0.224	0.181	0.175	0.169	0.277	0.394	0.534	0.617	0.547	0.499	0.578	1.167	2.884	6.235	11.32	16.99	19.76	17.20	10.24	3.065	0.316	0.096	0.088	0.071	0.053	0.069	0.036	0.047	0.027
275.0	33.92	23.09	16.19	14.29	22.98	62.52	125.5	122.4	272.0	731.1	 2157	 4143	 1023	51.93	5.898	3.987	3.065	2.284	1.502	1.359	0.992	1.087	0.991	0.808	0.824	0.599	0.655	0.559	0.663	0.444	0.462	0.362	0.379	0.277	0.280	0.251	0.296	0.253	0.187	0.185	0.207	0.234	0.212	0.158	0.270	0.281	0.252	0.255	0.241	0.253	0.225	0.198	0.215	0.202	0.276	0.324	0.508	0.865	0.874	0.610	0.805	1.549	2.668	4.074	6.354	13.15	23.33	25.08	14.67	2.667	0.152	0.071	0.066	0.068	0.077	0.041	0.099
280.0	47.65	38.27	30.25	16.81	15.21	26.06	93.87	144.1	112.3	188.4	678.0	 2939	 4223	816.8	29.59	4.856	3.821	2.510	1.928	1.441	1.123	1.129	0.883	0.928	0.842	0.739	0.768	0.561	0.634	0.496	0.494	0.402	0.452	0.356	0.316	0.288	0.213	0.272	0.183	0.198	0.218	0.222	0.194	0.189	0.333	0.340	0.348	0.354	0.317	0.267	0.243	0.238	0.206	0.181	0.162	0.168	0.363	0.527	0.803	0.904	0.665	0.549	0.778	1.079	1.591	3.549	8.987	19.17	29.12	22.44	9.193	0.934	0.080	0.089	0.079	0.060	0.108
285.0	66.17	58.94	47.02	24.06	16.62	16.51	48.73	130.6	140.1	89.43	192.9	983.8	 3363	 4043	596.7	11.75	4.787	3.263	2.031	1.804	1.222	1.157	1.059	1.039	0.863	0.809	0.703	0.727	0.726	0.493	0.574	0.528	0.408	0.360	0.331	0.273	0.251	0.333	0.291	0.251	0.242	0.216	0.255	0.216	0.318	0.423	0.369	0.366	0.355	0.300	0.301	0.272	0.195	0.187	0.160	0.170	0.246	0.302	0.441	0.721	0.999	0.833	0.491	0.463	0.576	1.010	2.349	5.521	13.27	24.27	28.08	18.53	4.260	0.250	0.078	0.061	0.109
290.0	85.67	94.02	75.00	45.07	29.75	27.86	39.72	81.58	153.6	173.3	141.4	303.5	 1072	 2675	 3507	 1637	35.24	7.203	3.248	2.262	1.651	1.305	1.324	1.140	0.909	0.989	0.767	0.763	0.683	0.647	0.497	0.519	0.437	0.341	0.345	0.339	0.386	0.319	0.359	0.272	0.319	0.249	0.277	0.298	0.351	0.419	0.481	0.485	0.503	0.419	0.384	0.329	0.267	0.234	0.205	0.239	0.272	0.274	0.346	0.478	0.727	0.886	0.978	1.033	0.749	0.684	0.904	1.684	3.479	7.127	12.32	19.04	21.76	20.15	11.23	3.429	0.224
295.0	168.2	199.2	167.0	108.7	71.47	67.62	84.57	114.5	169.8	282.6	361.2	342.3	506.5	876.6	 1892	 4154	 2646	50.08	9.734	3.648	2.390	1.843	1.570	1.259	1.036	1.040	0.797	0.808	0.597	0.634	0.660	0.547	0.472	0.374	0.429	0.525	0.424	0.358	0.428	0.353	0.387	0.410	0.348	0.404	0.530	0.635	0.743	0.840	0.829	0.740	0.549	0.561	0.483	0.400	0.359	0.481	0.435	0.423	0.588	0.563	0.708	0.857	1.063	1.552	2.094	1.743	1.604	1.592	2.117	2.990	4.029	5.504	7.574	13.62	26.78	28.13	16.15
300.0	375.3	462.9	396.0	243.6	169.5	163.2	214.9	260.3	267.4	626.6	888.6	980.1	940.1	936.2	 1129	 2767	 5219	540.3	43.36	7.484	3.419	2.568	1.858	1.713	1.361	1.194	0.988	0.950	0.785	0.643	0.736	0.686	0.539	0.471	0.502	0.541	0.587	0.610	0.629	0.559	0.612	0.585	0.687	0.692	0.947	1.242	1.358	1.626	1.705	1.381	0.986	1.112	0.869	0.702	0.830	0.883	0.926	1.108	1.297	1.493	1.819	2.137	2.427	3.140	4.020	4.648	4.750	4.538	4.780	4.888	5.266	5.238	5.772	6.918	12.62	23.79	36.50
305.0	759.9	928.0	749.9	500.5	341.5	353.0	478.9	656.8	928.1	 1351	 1597	 2244	 2284	 2109	 1955	 2103	 3988	 5242	453.9	21.86	5.222	3.164	2.573	2.151	1.851	1.700	1.200	1.280	1.052	0.918	0.844	0.704	0.578	0.626	0.730	0.785	0.958	0.810	0.866	0.957	0.967	1.075	1.160	1.365	1.603	2.360	2.663	3.174	3.171	2.657	2.046	1.990	1.709	1.429	1.457	1.590	1.793	2.428	2.684	3.274	3.908	4.652	5.408	6.490	7.611	8.857	9.967	10.94	10.93	10.88	10.48	10.34	10.53	9.824	10.18	12.71	20.67
310.0	 1316	 1728	 1431	867.8	560.6	553.5	727.8	986.5	 1392	 1996	 2651	 3454	 3856	 3731	 3348	 2722	 2583	 3478	 3712	 1648	27.80	5.358	3.741	2.805	2.176	2.064	1.531	1.451	1.303	1.198	1.009	0.850	0.782	0.805	0.858	1.123	1.280	1.372	1.267	1.290	1.426	1.593	1.776	2.111	2.821	4.045	4.530	5.491	5.662	4.647	3.546	3.312	2.713	2.209	2.285	2.325	2.851	3.509	3.965	4.838	5.532	6.634	8.296	9.868	11.19	13.11	14.90	16.70	18.45	18.55	18.39	17.77	17.89	16.82	14.59	13.45	13.92
315.0	 1875	 2480	 2052	 1209	760.2	717.3	916.9	 1228	 1709	 2488	 3431	 4435	 5112	 5202	 4645	 3591	 2560	 1756	 1723	 4536	 2551	33.88	5.349	3.820	2.896	2.385	2.075	1.689	1.432	1.294	1.147	1.052	1.006	0.904	1.122	1.424	1.685	1.686	1.695	1.734	1.848	1.987	2.397	2.957	3.834	5.793	6.343	7.907	8.075	6.290	5.075	4.513	3.808	2.926	2.956	2.994	3.565	4.230	4.988	6.038	6.554	8.042	10.16	12.54	14.36	16.84	18.99	21.74	23.68	25.10	25.52	25.57	24.34	22.71	19.98	17.32	14.26
