Sample:	'1
File name:	厂界外一号井上游301  4倍.FD3
Run date:	'11:26:26, 05/16/2024
Operator:	horiz
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	23B8-004
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/345.0	5323
2	235.0/360.0	4756
3	240.0/260.0	368.7
4	245.0/270.0	362.5
5	245.0/535.0	287.2
6	250.0/545.0	239.8
7	255.0/280.0	781.9
8	255.0/560.0	213.5
9	260.0/570.0	191.7
10	265.0/585.0	198.2
11	270.0/300.0	2190
12	270.0/595.0	184.6
13	275.0/305.0	2459
14	275.0/610.0	161.7
15	280.0/350.0	2598
16	280.0/625.0	125.4
17	285.0/635.0	85.22
18	400.0/300.0	4.486
19	460.0/345.0	15.77
20	480.0/365.0	16.85
21	505.0/275.0	3.254
22	520.0/285.0	5.418
23	530.0/290.0	6.588
24	540.0/295.0	9.103
25	545.0/300.0	10.33
26	550.0/305.0	10.33
27	560.0/310.0	9.760
28	570.0/355.0	11.55
29	575.0/365.0	11.26

Wavelength data
No.	EX/EM(nm)	Height(Data)	

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	42.76	1533	4907	1792	69.92	7.074	4.110	3.716	3.580	3.217	3.159	2.852	2.387	2.261	1.843	1.526	1.348	1.198	0.928	0.840	0.773	0.715	0.734	0.647	0.511	0.601	0.430	0.417	0.381	0.338	0.281	0.259	0.275	0.251	0.249	0.268	0.286	0.218	0.180	0.205	0.264	0.459	0.401	0.278	0.173	0.168	1.415	8.931	16.40	12.27	4.681	0.709	0.116	0.127	0.083	0.108	0.067	0.063	0.103	0.072	0.075	0.042	0.059	0.096	0.100	0.055	0.066	0.065	0.046	0.026	0.029	0.045	0.044	0.020	0.012	0.019	-0.002
235.0	121.0	395.0	2337	4240	678.3	129.8	6.054	5.916	4.214	3.946	3.736	2.751	2.319	2.490	1.789	1.473	1.280	0.998	1.320	1.160	0.753	0.675	0.655	0.581	0.360	0.570	0.527	0.565	0.409	0.423	0.300	0.367	0.190	0.256	0.302	0.210	0.202	0.165	0.180	0.223	0.155	0.217	0.429	0.488	0.490	0.239	0.394	2.228	5.373	9.207	13.75	14.94	7.667	1.537	0.208	0.091	0.148	0.063	0.181	0.118	0.006	0.089	0.086	0.090	0.059	0.060	0.042	0.030	0.037	0.012	0.094	0.049	0.072	0.033	-0.032	0.108	0.087
240.0	158.3	193.2	615.7	2778	4293	562.8	75.42	6.561	5.442	4.138	4.078	3.663	3.348	2.867	2.009	1.600	1.520	1.091	1.251	0.989	0.760	0.739	0.490	0.644	0.616	0.650	0.722	0.581	0.372	0.449	0.268	0.284	0.363	0.326	0.264	0.211	0.166	0.160	0.224	0.271	0.209	0.209	0.218	0.327	0.511	0.533	0.554	0.777	1.294	2.529	6.268	15.21	21.30	16.32	6.330	0.894	0.189	0.115	0.113	0.113	0.043	0.103	0.072	0.051	0.087	0.028	0.021	0.023	0.031	0.128	0.102	0.067	0.055	0.058	-0.009	0.077	0.061
245.0	102.4	227.4	221.0	810.3	3643	4145	455.8	30.97	6.116	6.059	4.651	3.973	4.144	2.123	2.234	1.616	1.731	1.440	1.519	0.966	0.916	0.880	0.685	0.661	0.675	0.674	0.522	0.497	0.398	0.410	0.220	0.258	0.387	0.384	0.206	0.248	0.237	0.261	0.171	0.214	0.166	0.175	0.174	0.191	0.275	0.524	0.832	0.833	0.534	0.721	1.561	4.514	12.64	22.77	24.28	14.66	4.277	0.426	0.094	0.105	0.051	0.070	0.043	0.120	0.079	0.041	0.046	0.080	-0.007	0.024	0.077	0.022	0.068	0.066	-0.013	-0.008	0.077
250.0	39.76	133.9	253.7	292.4	1033	3136	4275	1639	125.2	8.033	7.188	4.711	4.217	2.997	2.639	2.088	1.714	1.741	1.552	1.125	0.973	1.089	0.848	0.645	0.671	0.541	0.428	0.621	0.447	0.437	0.263	0.268	0.338	0.297	0.303	0.286	0.247	0.259	0.202	0.173	0.171	0.214	0.192	0.238	0.194	0.277	0.407	0.744	0.966	0.857	0.736	1.260	3.035	6.664	11.98	18.67	24.34	21.36	12.66	3.902	0.426	0.111	0.072	0.112	0.109	0.080	0.061	0.102	0.000	0.055	0.068	0.085	0.071	0.087	0.049	0.034	0.056
255.0	21.78	39.98	142.0	339.8	341.2	748.5	2438	6493	2389	150.4	9.328	6.820	5.234	3.748	3.060	2.532	1.896	1.683	1.439	1.220	0.951	1.063	0.841	0.718	0.798	0.487	0.469	0.611	0.600	0.394	0.417	0.356	0.380	0.263	0.326	0.236	0.205	0.240	0.280	0.163	0.224	0.273	0.172	0.221	0.228	0.174	0.212	0.273	0.451	0.807	1.309	1.436	1.212	1.685	2.758	4.392	7.484	16.98	33.34	31.97	18.16	4.219	0.279	0.131	0.108	0.118	0.193	0.104	0.099	0.071	0.048	0.065	0.079	0.074	0.053	0.001	0.066
260.0	21.88	18.37	55.35	242.9	368.7	240.8	647.5	3952	7576	1908	81.42	9.282	5.721	4.520	3.438	2.573	2.098	1.799	1.729	1.349	0.881	1.108	0.896	0.824	0.808	0.564	0.479	0.584	0.471	0.523	0.444	0.270	0.388	0.264	0.370	0.183	0.254	0.238	0.232	0.225	0.243	0.223	0.230	0.218	0.256	0.193	0.146	0.175	0.258	0.341	0.674	1.512	1.854	1.413	0.801	1.161	1.836	4.458	12.32	27.90	42.49	30.49	14.00	1.893	0.139	0.117	0.161	0.079	0.097	0.079	0.074	0.075	0.036	0.039	0.021	0.091	0.055
265.0	24.07	17.30	24.82	98.58	352.7	291.8	190.0	1122	5818	8102	1355	28.00	8.516	6.361	4.379	3.295	2.621	1.720	1.748	1.396	1.208	1.145	0.858	0.708	0.926	0.757	0.588	0.632	0.524	0.547	0.459	0.402	0.452	0.267	0.371	0.198	0.316	0.255	0.201	0.176	0.281	0.218	0.241	0.272	0.202	0.213	0.183	0.217	0.174	0.191	0.223	0.724	1.513	2.116	1.539	0.775	0.713	1.249	3.003	7.637	19.72	38.18	49.05	25.94	8.317	0.666	0.157	0.066	0.097	0.064	0.035	0.115	0.052	0.074	0.086	0.102	0.092
270.0	101.8	67.45	38.33	40.97	147.5	362.5	327.8	335.2	1643	5605	8518	3117	79.65	9.850	6.320	4.374	3.178	2.593	2.094	1.691	1.377	1.197	1.146	0.907	0.900	0.894	0.635	0.588	0.712	0.510	0.484	0.531	0.423	0.500	0.564	0.483	0.523	0.581	0.423	0.438	0.445	0.447	0.364	0.431	0.462	0.347	0.256	0.275	0.236	0.205	0.187	0.269	0.543	1.039	1.723	2.055	1.903	1.099	1.097	2.112	4.855	10.46	21.09	31.88	34.47	36.54	17.27	6.527	0.722	0.113	0.127	0.110	0.079	0.135	0.062	0.088	0.137
