Sample:	'1
File name:	Default_20230714_180345.FD3
Run date:	'17:57:24, 07/14/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/260.0	134.2
2	225.0/280.0	100.9
3	225.0/300.0	171.3
4	225.0/555.0	107.1
5	225.0/590.0	102.1
6	230.0/305.0	162.0
7	230.0/540.0	131.8
8	235.0/285.0	89.29
9	235.0/565.0	115.3
10	235.0/610.0	78.96
11	240.0/640.0	68.17
12	245.0/265.0	163.5
13	245.0/530.0	185.4
14	245.0/580.0	74.61
15	245.0/615.0	66.49
16	245.0/635.0	64.13
17	250.0/380.0	790.5
18	250.0/395.0	756.4
19	250.0/545.0	164.2
20	250.0/595.0	57.60
21	255.0/280.0	267.9
22	255.0/375.0	778.6
23	255.0/610.0	53.31
24	255.0/635.0	53.27
25	260.0/285.0	365.0
26	260.0/400.0	758.5
27	260.0/415.0	737.4
28	260.0/565.0	119.1
29	260.0/630.0	40.02
30	265.0/235.0	32.02
31	265.0/290.0	394.4
32	265.0/420.0	720.0
33	265.0/575.0	108.8
34	265.0/615.0	52.43
35	270.0/240.0	30.76
36	270.0/295.0	602.7
37	270.0/435.0	701.3
38	270.0/590.0	92.45
39	275.0/305.0	763.0
40	275.0/425.0	710.2
41	275.0/605.0	93.85
42	275.0/635.0	46.22
43	280.0/310.0	751.4
44	280.0/340.0	456.3
45	280.0/395.0	682.3
46	280.0/415.0	697.8
47	280.0/615.0	81.76
48	285.0/240.0	20.30
49	285.0/315.0	712.1
50	285.0/625.0	56.48
51	290.0/320.0	601.1
52	290.0/640.0	43.70
53	295.0/330.0	478.8
54	300.0/235.0	9.653
55	300.0/335.0	446.5
56	300.0/405.0	636.8
57	305.0/255.0	10.69
58	305.0/340.0	469.4
59	310.0/265.0	9.343
