Sample:	'1
File name:	Default_20211126_105913.FD3
Run date:	'10:52:52, 11/26/2021
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	235.0/600.0	51.59
2	240.0/260.0	322.3
3	240.0/520.0	236.9
4	245.0/265.0	356.4
5	245.0/365.0	 2258
6	245.0/530.0	213.2
7	250.0/270.0	357.4
8	250.0/545.0	192.9
9	255.0/280.0	497.4
10	255.0/555.0	159.1
11	260.0/285.0	623.6
12	260.0/565.0	131.2
13	265.0/580.0	125.0
14	270.0/315.0	 2103
15	270.0/595.0	138.5
16	275.0/305.0	 2178
17	275.0/605.0	165.9
18	280.0/615.0	138.3
19	305.0/340.0	562.9
20	310.0/350.0	474.2
21	315.0/355.0	452.7
22	320.0/360.0	477.0
23	325.0/370.0	455.5
24	330.0/375.0	462.2
25	335.0/380.0	481.9
26	340.0/385.0	457.5
27	415.0/485.0	60.14
28	430.0/505.0	37.10
29	445.0/525.0	22.56
30	485.0/265.0	3.054
31	495.0/270.0	3.041
32	495.0/370.0	10.30
33	500.0/360.0	10.21
34	505.0/275.0	4.054
35	510.0/280.0	4.373
36	515.0/285.0	4.794
37	535.0/315.0	11.34
38	540.0/300.0	10.34
39	550.0/305.0	11.40
40	555.0/310.0	10.78

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	74.46	98.03	742.9	823.2	109.5	21.71	17.75	15.66	12.83	12.86	10.43	9.226	8.095	6.671	5.961	4.959	4.226	3.682	3.453	3.179	2.781	2.714	2.719	2.567	2.251	2.319	2.095	2.100	2.061	1.902	1.957	1.897	1.849	1.729	1.625	1.478	1.497	1.493	1.331	1.390	1.374	1.437	1.258	1.228	1.234	1.272	1.062	1.670	3.484	4.125	2.633	1.367	1.065	1.139	1.033	1.160	1.177	1.153	1.182	1.188	1.092	1.130	1.126	1.202	1.235	1.148	1.164	1.153	1.174	1.290	1.232	1.238	1.258	1.315	1.303	1.377	1.401
235.0	74.89	67.52	321.4	 1659	 1518	166.1	19.48	14.82	13.23	12.59	10.38	9.924	7.532	7.472	5.553	5.172	4.517	3.530	3.564	3.015	3.009	2.541	2.827	2.686	2.442	2.543	2.215	2.266	2.045	1.740	1.993	1.895	1.681	1.775	1.803	1.418	1.423	1.632	1.399	1.354	1.324	1.459	1.293	1.287	1.221	1.185	1.034	1.254	1.868	3.400	6.847	8.633	4.243	1.546	1.001	1.126	1.204	1.055	1.104	1.158	1.178	1.127	1.090	1.204	1.084	1.112	1.165	1.110	1.285	1.212	1.275	1.209	1.105	1.308	1.285	1.260	1.435
240.0	76.36	64.80	113.1	887.3	 2831	 1549	112.7	17.20	14.04	13.57	10.69	9.813	8.152	7.502	5.815	5.145	4.794	3.608	3.631	3.247	2.976	2.706	2.840	2.759	2.358	2.277	2.233	2.058	2.139	2.194	2.014	1.628	1.640	1.580	1.725	1.504	1.454	1.406	1.418	1.456	1.348	1.423	1.256	1.198	1.182	1.327	1.214	1.206	1.263	1.664	3.730	9.537	12.66	9.659	3.457	1.219	1.237	1.173	1.182	1.237	1.043	1.251	1.215	1.073	1.247	1.167	1.272	1.330	1.340	1.191	1.149	1.293	1.296	1.275	1.369	1.359	1.398
245.0	78.58	83.94	84.35	250.2	 1684	 3563	440.8	53.22	16.41	13.70	11.40	9.807	8.564	7.102	6.167	5.115	4.423	3.859	3.328	3.402	3.178	2.720	2.528	2.632	2.440	2.452	2.341	2.019	2.008	2.133	2.031	1.840	1.737	1.640	1.611	1.389	1.326	1.413	1.484	1.506	1.256	1.385	1.332	1.310	1.262	1.299	1.290	1.284	1.268	0.917	1.686	3.747	8.471	15.48	15.84	8.388	2.249	1.154	1.184	1.250	1.194	1.177	1.261	1.285	1.196	1.242	1.280	1.183	1.240	1.240	1.308	1.181	1.260	1.198	1.324	1.358	1.260
250.0	81.24	74.82	119.8	160.3	451.2	 1807	 3068	 1539	140.7	16.56	13.49	11.71	9.148	7.073	6.560	5.569	4.692	4.186	3.628	3.608	2.962	2.940	2.533	2.522	2.360	2.313	2.370	2.035	2.125	2.085	2.160	1.849	1.816	1.798	1.571	1.398	1.468	1.429	1.461	1.398	1.381	1.328	1.325	1.255	1.242	1.245	1.252	1.330	1.359	1.285	1.375	1.819	2.772	5.653	9.688	15.55	18.72	16.14	8.360	2.456	1.242	1.295	1.256	1.225	1.207	1.220	1.231	1.229	1.231	1.147	1.371	1.178	1.263	1.342	1.324	1.532	1.306
255.0	82.82	62.68	84.43	221.2	256.9	443.1	 1162	 4427	 2327	181.5	16.28	13.89	10.79	8.378	7.276	6.065	4.804	4.432	3.860	3.296	2.875	2.771	2.658	2.571	2.271	2.366	2.083	2.164	2.145	2.202	2.044	1.929	1.976	1.633	1.616	1.572	1.454	1.518	1.475	1.466	1.408	1.362	1.277	1.173	1.244	1.294	1.301	1.164	1.091	1.267	1.842	2.206	1.775	2.158	3.026	4.666	7.892	18.59	32.80	25.23	10.83	1.960	1.252	1.177	1.268	1.328	1.151	1.264	1.153	1.097	1.277	1.263	1.207	1.250	1.222	1.253	1.371
260.0	75.31	56.52	58.15	150.1	322.3	214.8	302.9	 1983	 5948	 1979	120.7	16.25	12.21	8.641	7.633	6.528	5.433	4.470	3.776	3.516	3.130	2.651	2.611	2.624	2.442	2.402	2.103	2.256	1.980	2.254	2.135	2.052	1.902	1.865	1.610	1.461	1.522	1.423	1.319	1.405	1.361	1.377	1.342	1.261	1.200	1.284	1.258	1.198	0.961	1.020	1.349	2.284	2.400	1.870	1.641	2.078	2.921	6.198	16.46	33.19	41.99	22.03	6.278	1.303	1.278	1.376	1.277	1.316	1.273	1.288	1.146	1.208	1.127	1.306	1.220	1.308	1.392
265.0	86.14	56.69	46.51	72.62	247.0	356.4	139.7	519.7	 3110	 7564	 1597	62.55	14.19	10.23	8.044	7.088	5.561	4.871	4.168	3.398	3.722	2.857	2.623	2.620	2.414	2.298	2.223	2.082	2.423	2.015	2.115	2.031	1.755	1.826	1.762	1.361	1.453	1.520	1.464	1.205	1.329	1.439	1.486	1.359	1.176	1.207	1.203	1.213	1.053	0.927	1.076	1.568	2.325	3.054	2.299	1.601	1.646	2.493	4.967	11.41	27.26	46.87	29.86	17.23	2.784	1.214	1.352	1.234	1.521	1.270	1.201	1.148	1.317	1.259	1.331	1.293	1.325
270.0	78.95	57.27	48.56	43.57	102.3	293.0	357.4	224.8	789.7	 3460	 7318	 5069	93.01	13.92	9.991	7.577	6.175	5.202	4.321	3.806	3.582	3.254	2.862	2.787	2.459	2.531	2.487	2.220	2.352	2.077	2.315	1.967	1.970	1.746	1.602	1.468	1.500	1.423	1.475	1.348	1.284	1.331	1.406	1.457	1.244	1.190	1.231	1.155	1.025	0.905	0.942	1.197	1.435	2.107	2.599	3.041	2.575	1.932	2.255	3.692	7.703	15.44	24.43	39.91	37.97	33.74	11.06	2.769	1.332	1.324	1.354	1.310	1.363	1.254	1.282	1.296	1.297
275.0	76.75	60.11	61.90	44.94	51.37	104.9	316.1	394.3	265.3	817.0	 2381	 9251	 7361	106.6	13.87	9.667	7.826	5.970	4.729	3.981	3.686	3.242	3.277	2.657	2.791	2.585	2.511	2.320	2.209	2.268	2.051	2.046	2.023	1.673	1.786	1.486	1.509	1.361	1.478	1.364	1.478	1.431	1.426	1.313	1.269	1.264	1.287	1.257	1.081	0.958	0.975	1.234	1.248	1.557	1.434	2.167	3.363	4.054	2.948	2.095	2.878	4.692	6.538	10.60	16.08	39.79	64.47	29.56	14.02	1.896	1.472	1.383	1.340	1.368	1.289	1.413	1.373
280.0	82.52	69.94	71.90	55.28	44.17	57.07	139.4	497.4	333.9	252.6	613.7	 3579	9999.9	 5124	67.29	10.89	8.948	6.571	5.009	4.683	3.912	3.815	3.319	3.152	3.001	2.486	2.639	2.407	2.353	2.274	2.233	1.997	2.068	1.830	1.791	1.488	1.597	1.437	1.363	1.331	1.349	1.437	1.323	1.323	1.259	1.436	1.349	1.365	1.151	1.005	0.990	1.226	1.128	1.243	1.150	1.541	2.110	3.236	4.373	3.631	2.266	2.055	2.570	3.643	4.823	11.86	29.91	55.98	70.05	25.30	7.654	1.553	1.532	1.378	1.388	1.370	1.351
