Sample:	'1
File name:	Default_20230301_160956.FD3
Run date:	'16:03:35, 03/01/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
240.0	26.16	101.7	368.0	 1966	 4695	 1797	99.20	-2.607	2.787	2.630	4.706	2.492	0.511	-1.200	1.200	5.578	0.026	4.023	2.889	0.859	1.685	2.742	0.472	0.643	0.963	0.710	-0.933	0.928	-0.518	0.309	1.084	1.008	-0.032	-0.533	2.021	0.470	0.105	0.407	0.658	1.122	0.448	0.537	0.931	0.228	1.327	0.524	1.496	0.464	0.898	1.788	3.689	8.805	11.31	8.779	2.495	0.610	-0.066	0.766	0.873	0.423	-0.045	0.561	-0.265	0.067	-0.318	-0.084	0.210	0.095	0.425	-0.025	0.234	-0.176	-0.376	-0.239	0.188	0.072	0.012
245.0	57.62	150.4	119.7	508.9	 2960	 5104	 1305	46.35	9.659	0.500	16.34	1.187	1.156	4.564	4.187	4.299	3.468	3.369	2.623	1.318	2.260	2.014	3.227	0.275	0.645	0.315	-0.247	0.527	-1.191	1.804	0.044	-0.252	1.771	0.835	1.096	-0.199	0.037	0.452	0.629	0.885	0.165	1.189	0.279	1.448	0.830	0.444	0.921	0.476	0.701	0.961	1.093	2.859	6.612	13.85	14.39	7.323	1.408	0.508	0.277	0.180	0.219	0.307	0.331	0.489	-0.008	0.134	-0.205	0.341	0.683	0.343	0.564	0.359	-0.412	-0.122	0.135	-0.359	-0.341
250.0	12.51	44.98	103.9	194.3	764.2	 2843	 5126	 3219	378.2	11.01	6.816	4.540	-0.141	9.184	1.269	5.297	2.141	1.688	1.933	-0.040	2.787	0.826	1.760	1.284	-0.181	1.885	0.286	0.690	-1.210	1.426	0.591	0.531	1.199	0.805	0.575	0.208	0.307	0.354	0.203	0.203	0.726	1.070	1.477	0.745	0.516	0.283	0.807	0.472	1.103	1.059	0.449	0.852	1.748	4.567	8.702	12.45	16.12	12.40	6.185	1.204	0.201	0.339	-0.030	0.021	-0.009	0.287	0.264	-0.055	-0.608	0.047	-0.206	0.185	0.109	-0.292	-0.306	-0.509	-0.363
255.0	19.88	16.63	61.67	166.0	277.9	653.8	 2070	 7156	 5529	489.1	9.702	4.826	6.350	9.131	1.466	4.673	4.248	3.525	2.933	2.294	3.729	1.381	2.792	1.152	-0.727	1.472	0.716	0.886	0.921	0.786	2.252	-0.389	1.261	1.055	-0.974	0.270	0.302	1.025	0.767	0.637	1.358	0.683	1.048	0.764	0.341	0.591	1.181	0.771	0.857	0.794	0.671	0.352	0.702	0.623	1.924	3.404	5.727	12.88	26.08	22.83	8.815	0.463	0.973	-0.217	0.092	0.398	0.032	0.053	-0.130	0.239	0.119	-0.002	-0.536	-0.738	-0.429	-0.259	-0.620
260.0	-42.58	4.003	37.71	112.8	210.4	194.4	502.5	 3399	 9463	 4901	223.4	18.09	15.26	4.039	3.119	1.765	1.636	5.125	1.646	3.755	5.238	0.874	0.304	1.550	1.528	2.035	1.691	0.915	-0.555	2.082	1.820	1.393	1.671	2.361	-0.274	-0.358	0.259	1.024	0.331	0.571	0.935	1.691	0.242	0.147	0.394	0.283	0.217	0.894	0.557	0.197	0.551	0.800	0.780	0.576	0.683	1.096	1.499	3.106	12.75	25.26	30.59	20.32	5.348	0.145	0.329	0.150	-0.109	-0.222	0.277	-0.089	0.262	-0.284	-0.688	-0.132	-0.272	-0.330	-1.451
265.0	42.24	27.87	0.790	66.32	171.9	201.2	146.4	850.5	 5359	9999.9	 1314	91.69	11.68	8.263	5.220	-2.972	0.944	4.628	2.831	2.860	0.564	2.069	0.884	0.851	-0.122	1.057	1.058	0.467	1.145	0.786	1.901	0.933	2.165	0.728	0.538	0.811	0.149	0.709	0.842	0.754	0.798	1.188	1.493	0.779	0.186	0.008	0.316	0.574	0.649	0.542	0.580	0.404	0.476	1.188	0.794	-0.015	0.955	0.607	3.395	8.123	20.15	33.59	32.81	13.65	2.124	0.450	-0.022	-0.029	-0.177	-0.072	0.027	-0.386	-0.123	0.453	-0.789	-0.407	-0.453
270.0	34.45	36.12	6.476	33.06	59.31	163.9	218.7	239.0	 1324	 5088	 9634	 5158	390.1	12.84	9.278	5.873	4.099	6.492	2.808	2.027	2.468	2.010	2.044	0.592	0.771	1.838	1.115	0.811	1.519	1.201	1.600	0.867	1.387	0.758	1.101	0.687	0.448	0.775	1.030	0.226	0.441	0.499	1.560	1.279	0.564	0.428	0.830	0.843	0.956	0.514	0.414	0.752	0.304	0.814	0.908	0.829	1.150	0.588	1.425	1.761	5.055	10.93	20.05	30.16	33.64	27.10	10.92	2.270	-0.211	-0.343	0.106	-0.487	-0.486	0.189	0.081	-0.174	-0.276
275.0	115.5	94.69	53.82	24.08	-5.384	56.35	213.5	334.0	391.4	 1257	 3577	9999.9	 7729	456.3	11.04	14.91	5.712	6.412	5.999	2.667	3.878	3.928	3.653	1.969	2.399	1.160	1.708	0.346	2.272	0.276	-0.206	0.898	0.600	1.183	0.644	1.472	1.753	1.145	0.263	1.023	0.180	0.420	-0.080	-0.024	1.099	0.456	1.254	0.995	0.722	1.071	0.663	-0.090	0.734	0.197	0.675	0.902	1.122	0.815	1.414	0.788	1.697	3.088	4.791	8.124	12.63	32.52	53.50	42.70	13.28	0.659	-0.126	-0.247	-0.292	0.292	-0.173	-0.635	0.766
280.0	170.6	112.2	89.13	31.19	13.84	52.49	161.8	393.1	453.2	591.0	 1189	 4996	9999.9	 6016	282.3	14.62	10.25	5.772	5.233	7.160	2.615	3.737	3.173	2.126	2.563	2.726	2.714	0.893	0.687	0.592	0.568	1.782	0.544	0.557	1.698	0.668	1.570	0.928	0.308	0.665	1.024	0.782	1.145	0.959	1.321	0.637	1.018	0.400	1.077	0.732	0.774	0.745	0.556	0.176	0.687	1.083	1.090	0.915	1.787	1.215	1.510	1.451	1.791	2.426	3.744	9.993	25.85	54.96	62.37	32.89	6.773	-0.346	0.560	-0.227	0.186	-0.246	0.332
285.0	327.7	199.0	110.5	65.15	45.56	73.96	138.5	344.2	701.1	702.6	891.2	 1794	 6850	9999.9	 4384	131.3	10.77	9.660	7.628	4.351	3.761	3.460	4.006	2.296	3.026	0.559	3.348	1.961	2.327	0.567	0.714	0.538	0.406	1.984	1.511	1.059	1.256	1.190	0.520	-0.286	1.455	0.400	1.142	2.054	1.291	0.540	1.650	0.762	1.109	0.771	0.439	0.381	1.102	1.251	0.470	0.390	0.283	1.014	1.770	1.938	2.000	1.284	0.821	2.601	2.276	3.576	6.841	18.03	43.71	66.92	56.15	22.15	2.131	0.841	0.475	-0.161	-0.125
290.0	494.5	306.4	141.2	93.65	69.71	117.6	200.4	385.3	740.3	 1160	 1280	 1342	 2230	 6045	9999.9	 9067	230.8	17.80	12.45	7.677	5.906	4.265	3.483	3.780	2.958	2.360	2.509	2.045	1.530	1.652	1.161	0.739	0.707	2.055	2.493	1.055	1.430	1.723	0.397	1.183	1.729	1.253	1.654	1.322	1.252	1.291	1.527	1.283	1.281	0.647	0.986	0.326	0.974	1.126	0.868	0.509	0.713	0.890	1.092	1.499	1.863	2.559	3.110	3.469	2.822	2.437	3.903	5.755	11.33	21.50	37.42	52.23	55.92	39.82	16.42	2.505	-0.139
295.0	573.4	403.9	256.7	155.6	115.6	152.8	240.8	458.3	768.5	 1218	 1802	 1577	 1255	 1601	 3421	9999.9	9999.9	301.0	16.39	10.25	8.215	5.244	5.815	3.079	3.038	2.688	3.792	0.897	1.817	2.597	1.376	0.954	2.410	2.493	2.732	1.148	1.258	1.503	1.735	0.896	1.107	2.089	1.751	1.451	2.214	0.260	1.126	1.441	1.211	0.697	1.015	0.813	0.572	0.786	0.643	1.055	1.045	1.101	1.066	1.279	1.640	2.031	2.903	4.062	3.198	4.217	3.273	3.183	3.519	5.143	9.386	12.44	23.17	53.00	81.02	61.07	18.73
300.0	687.3	539.5	319.6	172.1	143.8	197.0	261.5	488.5	757.0	 1213	 1744	 1830	 1098	667.8	922.9	 4476	9999.9	 9689	200.0	13.27	10.03	5.773	5.109	2.526	3.317	2.948	3.270	0.489	2.424	1.811	2.542	1.781	2.467	1.926	1.664	1.892	2.628	1.320	0.850	1.041	1.476	1.940	1.814	1.552	1.759	1.527	1.174	1.403	1.624	1.254	0.971	0.859	0.792	0.331	0.841	0.905	0.891	1.381	0.861	2.096	0.974	2.052	2.271	3.449	3.455	4.242	2.274	2.320	1.608	2.509	2.201	3.028	6.068	14.10	40.93	82.33	85.45
305.0	673.9	589.6	370.9	213.8	160.9	186.9	268.0	450.9	738.7	 1109	 1574	 1787	 1239	498.0	381.0	 1152	 6249	9999.9	 2762	109.6	12.72	8.933	6.251	4.671	4.121	4.296	3.786	2.061	0.349	1.248	2.174	1.533	0.934	2.514	1.428	1.914	1.106	1.551	0.903	1.805	2.215	1.843	1.338	1.474	1.755	1.521	1.153	1.326	1.883	1.456	1.048	1.106	1.723	0.924	1.109	0.985	0.721	1.746	1.276	2.091	1.474	2.667	2.224	2.723	3.228	3.789	3.773	2.676	1.651	1.504	0.861	1.397	1.858	3.238	9.439	27.50	62.41
310.0	660.0	523.4	369.6	244.6	176.6	194.6	247.5	429.1	673.5	981.1	 1311	 1413	 1263	692.6	337.6	395.5	 1546	 5809	9999.9	 8514	158.3	16.94	8.830	7.644	5.330	5.206	3.641	4.209	1.832	1.845	1.600	2.432	2.236	2.339	1.673	2.278	2.170	1.215	1.396	1.596	1.331	1.809	1.848	1.720	1.561	1.590	1.245	1.116	1.436	1.335	1.231	0.999	0.950	1.494	1.095	1.075	0.611	1.683	1.590	2.104	1.266	2.009	2.507	2.775	2.722	3.299	3.052	3.267	2.986	1.645	0.890	0.681	0.882	0.836	2.634	6.642	15.31
315.0	495.0	563.7	459.2	282.2	184.8	187.0	232.5	389.9	578.8	837.5	 1086	 1135	987.7	835.6	542.9	265.6	437.9	 1352	 3320	9999.9	9999.9	216.6	15.77	12.69	5.827	5.569	4.327	4.204	4.699	1.579	1.036	2.039	1.994	1.514	2.699	1.792	2.078	1.712	2.035	1.317	1.675	1.584	2.025	1.819	1.662	1.542	1.687	0.963	1.744	1.634	1.005	0.953	1.182	0.764	0.499	1.135	1.425	1.400	1.175	1.138	1.493	1.912	1.749	2.204	2.416	2.391	3.368	3.141	1.692	2.042	2.373	1.817	0.939	0.674	0.400	1.360	3.557
320.0	530.0	546.4	466.9	331.9	177.4	189.1	228.2	346.6	538.4	719.6	955.3	975.8	847.5	729.4	706.2	327.0	199.8	367.0	795.8	 4512	9999.9	 9199	153.9	13.94	9.508	9.226	5.719	4.801	4.604	2.529	2.131	2.361	2.633	2.549	2.862	2.113	2.400	1.211	2.480	1.336	1.487	1.604	1.086	1.047	2.053	1.474	1.809	0.714	1.279	1.314	1.005	0.785	1.510	0.645	1.037	1.425	1.144	1.455	1.944	1.467	1.478	1.941	2.281	1.845	2.347	2.030	2.596	1.799	1.997	2.736	2.123	1.692	1.673	0.670	0.339	0.027	0.700
