Sample:	'1
File name:	4-3北支新河西官庄.FD3
Run date:	'18:38:35, 06/11/2025
Operator:	Administrator
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	23B8-004
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/310.0	1349
2	225.0/330.0	1434
3	225.0/600.0	103.6
4	225.0/610.0	101.4
5	230.0/340.0	1474
6	240.0/520.0	226.4
7	245.0/535.0	196.1
8	250.0/545.0	156.1
9	255.0/280.0	592.3
10	255.0/560.0	139.6
11	260.0/575.0	122.1
12	265.0/585.0	136.6
13	270.0/600.0	153.4
14	275.0/305.0	2479
15	275.0/610.0	165.6
16	280.0/625.0	132.6
17	315.0/355.0	449.5
18	320.0/365.0	449.2
19	445.0/525.0	20.95
20	460.0/335.0	4.719
21	505.0/275.0	2.981
22	515.0/280.0	3.327
23	520.0/285.0	4.043
24	545.0/300.0	10.13
25	555.0/305.0	12.04
26	560.0/310.0	11.92
27	570.0/315.0	10.29

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	64.31	3120	8413	2301	104.6	11.34	10.12	8.469	7.528	7.105	5.826	5.554	4.577	3.687	3.082	2.541	2.217	1.945	1.723	1.537	1.426	1.391	1.392	1.228	1.165	1.108	1.014	0.993	0.953	0.948	1.015	0.969	0.994	0.961	0.923	0.838	0.771	0.713	0.670	0.598	0.633	0.653	0.696	0.579	0.472	0.493	1.441	7.783	14.76	11.06	4.093	0.984	0.424	0.341	0.327	0.325	0.358	0.303	0.298	0.310	0.296	0.302	0.305	0.253	0.274	0.230	0.269	0.242	0.222	0.251	0.241	0.221	0.203	0.196	0.202	0.201	0.234
235.0	122.1	797.5	4901	9123	2938	156.9	12.70	11.66	9.696	8.340	6.519	6.208	5.268	3.731	3.472	2.556	2.064	1.927	1.798	1.655	1.501	1.383	1.373	1.407	1.201	1.136	1.172	1.151	0.901	1.015	0.889	0.936	0.834	0.967	0.827	0.781	0.812	0.638	0.658	0.676	0.518	0.561	0.627	0.740	0.654	0.610	0.657	2.088	5.024	9.122	15.01	16.96	8.842	1.974	0.452	0.326	0.285	0.326	0.405	0.261	0.295	0.268	0.308	0.316	0.329	0.259	0.276	0.304	0.252	0.222	0.274	0.286	0.220	0.189	0.186	0.226	0.222
240.0	134.6	277.5	1295	7076	9999.9	2363	93.55	13.35	11.23	9.126	7.564	7.279	5.779	4.210	3.715	2.562	2.189	2.221	1.845	1.517	1.620	1.595	1.470	1.411	1.260	1.113	0.994	1.118	1.032	0.981	0.885	1.073	0.854	0.970	0.858	0.907	0.704	0.674	0.663	0.676	0.553	0.612	0.497	0.670	0.658	0.842	0.686	0.874	1.437	2.589	6.778	18.25	26.77	19.85	7.983	1.242	0.435	0.361	0.346	0.283	0.365	0.238	0.262	0.246	0.296	0.268	0.228	0.230	0.259	0.283	0.255	0.287	0.282	0.210	0.227	0.246	0.199
245.0	99.64	215.2	367.8	2054	9999.9	9999.9	441.6	45.72	14.52	11.73	8.819	8.703	6.309	4.554	3.549	3.157	2.281	2.396	1.794	1.677	1.628	1.659	1.363	1.462	1.414	1.293	1.157	1.094	1.095	1.039	1.020	1.036	1.120	0.928	0.948	0.857	0.804	0.755	0.755	0.618	0.616	0.563	0.570	0.553	0.623	0.655	0.848	0.902	0.877	0.981	1.893	5.403	14.76	28.39	28.50	18.34	6.077	0.769	0.350	0.309	0.302	0.259	0.292	0.312	0.287	0.280	0.229	0.247	0.284	0.274	0.234	0.221	0.277	0.211	0.186	0.207	0.203
250.0	61.18	119.7	256.9	564.4	2846	9388	9999.9	4964	131.6	18.60	13.36	9.796	7.773	5.740	4.209	3.381	2.875	2.472	2.175	1.857	1.630	1.588	1.464	1.570	1.353	1.307	1.165	1.103	1.113	1.225	0.993	0.971	1.049	1.027	0.882	0.899	0.823	0.858	0.788	0.656	0.631	0.637	0.607	0.572	0.592	0.580	0.598	0.784	0.937	1.011	0.943	1.603	3.647	8.380	15.88	27.25	32.43	35.12	15.58	6.971	0.944	0.361	0.323	0.356	0.329	0.336	0.243	0.252	0.291	0.251	0.298	0.249	0.253	0.240	0.204	0.267	0.230
255.0	47.08	56.59	128.8	358.7	751.6	2213	7541	9999.9	2352	167.8	20.25	13.41	10.36	7.468	5.253	3.656	3.044	2.821	2.715	2.000	1.695	1.877	1.436	1.541	1.469	1.352	1.221	1.320	1.192	1.218	1.211	1.175	1.013	1.144	0.913	0.943	0.745	0.772	0.884	0.646	0.692	0.652	0.717	0.607	0.588	0.524	0.513	0.577	0.670	0.859	1.165	1.514	1.550	2.238	3.885	6.534	10.27	25.82	54.92	68.51	25.34	9.537	0.838	0.375	0.379	0.307	0.248	0.336	0.334	0.301	0.276	0.239	0.256	0.297	0.257	0.301	0.199
260.0	48.50	44.58	55.53	224.6	413.4	578.2	2017	9999.9	9999.9	1959	110.0	18.86	13.31	9.526	5.649	5.032	4.090	3.035	2.721	2.477	1.756	1.949	1.558	1.486	1.732	1.387	1.412	1.234	1.435	1.421	1.194	1.179	1.074	1.035	0.942	1.084	0.847	0.792	0.841	0.729	0.681	0.671	0.655	0.652	0.684	0.523	0.521	0.459	0.572	0.533	0.771	1.354	1.934	1.473	1.418	1.787	2.649	6.634	19.71	49.09	77.58	73.60	22.29	5.558	0.533	0.433	0.271	0.408	0.340	0.284	0.319	0.253	0.320	0.294	0.205	0.334	0.268
265.0	49.34	43.67	40.48	95.28	324.9	356.3	514.4	3081	9999.9	9999.9	1508	54.30	18.07	11.92	7.694	5.428	4.370	3.613	3.146	2.555	2.264	2.033	1.753	1.751	1.718	1.719	1.521	1.450	1.506	1.470	1.337	1.192	1.184	1.066	0.986	1.062	0.886	0.834	0.835	0.774	0.668	0.710	0.766	0.632	0.684	0.624	0.722	0.444	0.472	0.445	0.517	0.834	1.439	2.034	1.833	1.075	1.067	1.931	4.823	12.93	33.10	71.74	95.35	31.64	17.51	2.371	0.409	0.407	0.305	0.333	0.386	0.322	0.316	0.407	0.246	0.265	0.318
270.0	92.01	61.10	50.31	50.16	138.7	336.3	371.4	774.8	3275	9999.9	9999.9	5491	91.58	19.18	11.69	7.969	5.628	4.623	3.623	3.164	2.523	2.301	1.898	1.848	1.954	1.805	1.601	1.586	1.662	1.581	1.301	1.352	1.301	1.269	1.114	1.094	0.969	0.917	0.917	0.908	0.770	0.802	0.726	0.782	0.748	0.689	0.749	0.610	0.510	0.472	0.489	0.578	0.747	1.075	1.619	1.974	2.113	1.611	1.656	3.362	7.973	18.91	37.92	55.20	81.30	66.94	54.85	12.03	2.821	0.477	0.405	0.372	0.382	0.358	0.334	0.350	0.274
