Sample:	'1
File name:	Default_20230414_103211.FD3
Run date:	'10:25:50, 04/14/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	265.0/585.0	83.66
2	270.0/595.0	92.31
3	275.0/305.0	 1307
4	275.0/350.0	 1545
5	275.0/605.0	82.69
6	555.0/350.0	7.533
7	560.0/355.0	7.515

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	78.44	 1019	 1447	261.8	7.939	3.790	3.966	3.543	3.302	3.089	3.151	2.929	2.650	2.287	1.919	1.856	1.686	1.460	1.623	1.426	1.338	1.308	1.219	1.269	1.256	1.188	1.240	1.143	1.083	1.121	1.031	0.968	0.942	0.969	0.874	0.910	0.938	0.766	0.735	0.717	0.657	0.670	0.664	0.597	0.543	0.509	0.865	3.515	7.625	7.222	3.375	0.821	0.384	0.366	0.309	0.322	0.306	0.306	0.285	0.227	0.215	0.220	0.202	0.217	0.171	0.178	0.170	0.154	0.148	0.134	0.127	0.140	0.097	0.102	0.094	0.087	0.075
235.0	31.86	324.6	 1367	 1842	311.2	12.98	4.706	4.409	4.272	3.832	3.433	3.079	3.022	2.999	2.012	1.999	1.675	1.529	1.533	1.499	1.390	1.289	1.229	1.223	1.166	1.247	1.224	1.135	1.113	1.068	1.126	1.103	0.961	0.947	0.855	0.785	0.880	0.817	0.748	0.757	0.759	0.613	0.575	0.600	0.592	0.504	0.612	1.220	2.733	4.949	7.805	10.86	6.325	1.479	0.413	0.338	0.309	0.305	0.270	0.264	0.295	0.193	0.194	0.191	0.207	0.215	0.209	0.176	0.143	0.157	0.153	0.116	0.150	0.105	0.117	0.083	0.113
240.0	38.88	86.61	539.9	 2268	 2296	256.1	9.018	5.330	4.506	4.544	4.620	3.366	3.471	2.631	2.133	1.865	2.098	1.625	1.645	1.658	1.609	1.390	1.344	1.255	1.246	1.377	1.374	1.076	1.156	1.319	1.194	0.967	0.924	0.944	0.812	0.781	0.878	0.796	0.813	0.835	0.716	0.634	0.599	0.581	0.566	0.670	0.632	0.687	0.897	1.606	3.911	10.83	16.13	13.56	5.432	0.880	0.298	0.283	0.275	0.271	0.260	0.218	0.193	0.186	0.235	0.213	0.220	0.207	0.157	0.174	0.125	0.109	0.160	0.082	0.091	0.086	0.109
245.0	38.17	47.35	139.4	 1116	 3589	 2398	190.0	7.987	6.460	5.574	4.198	3.895	3.996	3.031	2.403	2.114	2.030	1.919	1.776	1.837	1.715	1.542	1.428	1.247	1.317	1.434	1.417	1.225	1.333	1.207	1.112	0.891	0.873	0.924	0.865	0.763	0.751	0.876	0.784	0.801	0.684	0.629	0.658	0.637	0.581	0.706	0.665	0.617	0.633	0.672	1.260	3.753	9.856	19.94	22.02	13.55	3.821	0.441	0.313	0.359	0.316	0.254	0.241	0.220	0.238	0.204	0.211	0.203	0.139	0.158	0.127	0.140	0.113	0.131	0.085	0.086	0.130
250.0	21.63	44.48	72.35	285.4	 1571	 4248	 4222	939.8	44.55	8.154	6.594	5.235	4.678	3.545	3.116	2.585	2.491	2.178	1.949	1.823	1.669	1.633	1.458	1.396	1.408	1.338	1.400	1.213	1.243	1.253	1.140	0.962	0.992	0.953	0.880	0.805	0.766	0.736	0.766	0.755	0.739	0.654	0.668	0.647	0.570	0.591	0.583	0.657	0.658	0.611	0.674	1.163	2.653	6.509	12.95	21.26	26.64	26.64	11.83	4.452	0.571	0.293	0.292	0.256	0.224	0.230	0.207	0.179	0.157	0.149	0.153	0.152	0.122	0.128	0.104	0.106	0.121
255.0	12.83	22.83	63.94	113.2	370.3	 1372	 5372	 7759	 1409	49.83	10.82	7.082	5.920	4.383	3.506	2.993	2.534	2.392	2.288	1.970	1.780	1.815	1.570	1.560	1.490	1.462	1.535	1.408	1.412	1.453	1.171	1.192	1.042	0.956	0.989	0.818	0.785	0.708	0.610	0.695	0.771	0.697	0.699	0.689	0.650	0.626	0.584	0.581	0.598	0.645	0.694	0.835	0.974	1.866	3.223	5.325	10.83	26.95	46.76	49.38	18.98	4.665	0.463	0.269	0.268	0.255	0.202	0.206	0.230	0.172	0.155	0.173	0.106	0.121	0.126	0.113	0.105
260.0	12.92	14.77	34.59	88.54	129.6	329.7	 2096	 8412	 8291	 1087	26.79	10.57	8.186	5.939	4.655	3.505	3.256	2.792	2.460	2.315	1.995	1.857	1.813	1.545	1.650	1.439	1.641	1.338	1.548	1.389	1.191	1.267	1.119	0.945	0.927	0.807	0.842	0.724	0.723	0.681	0.759	0.848	0.732	0.668	0.739	0.661	0.618	0.524	0.548	0.534	0.616	0.770	0.839	0.979	1.110	1.524	2.775	7.769	22.29	48.87	64.45	26.13	14.43	2.149	0.315	0.314	0.283	0.311	0.250	0.185	0.208	0.152	0.148	0.150	0.180	0.129	0.128
265.0	15.40	13.67	18.62	60.58	105.5	110.5	513.0	 3639	9999.9	 8046	176.0	17.47	9.918	7.253	5.854	4.216	3.961	3.200	2.444	2.226	2.172	1.965	1.814	1.607	1.860	1.543	1.615	1.358	1.466	1.569	1.286	1.292	1.158	0.959	0.981	0.903	0.818	0.711	0.714	0.752	0.753	0.775	0.714	0.636	0.808	0.622	0.611	0.581	0.574	0.486	0.479	0.631	0.763	0.984	0.866	0.767	0.993	2.083	5.565	15.64	38.79	65.05	73.50	23.90	8.980	0.675	0.283	0.334	0.270	0.219	0.169	0.168	0.173	0.146	0.171	0.169	0.134
270.0	28.71	22.59	19.63	27.92	69.51	107.8	169.2	885.7	 3928	 9814	9999.9	 3237	53.77	11.56	7.779	5.651	4.650	4.057	3.233	2.730	2.480	2.156	2.177	1.824	1.836	1.739	1.763	1.508	1.578	1.604	1.453	1.450	1.242	1.121	0.953	0.913	0.851	0.760	0.740	0.757	0.764	0.785	0.778	0.771	0.815	0.714	0.673	0.625	0.541	0.558	0.520	0.544	0.552	0.632	0.787	0.987	0.942	1.000	1.598	3.877	9.566	20.90	39.80	57.19	70.17	53.10	14.85	6.839	0.681	0.328	0.249	0.242	0.190	0.163	0.168	0.157	0.159
