Sample:	'1
File name:	Default_20230302_150256.FD3
Run date:	'14:56:35, 03/02/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/305.0	66.13
2	245.0/265.0	121.0
3	245.0/360.0	 1288
4	245.0/530.0	21.95
5	250.0/540.0	42.28
6	270.0/295.0	 3215
7	270.0/440.0	392.3
8	270.0/585.0	223.6
9	275.0/595.0	194.0
10	280.0/640.0	18.73
11	300.0/255.0	-13.92
12	300.0/335.0	405.4
13	305.0/340.0	416.2
14	310.0/345.0	378.4
15	310.0/615.0	 1117
16	315.0/600.0	-5.535
17	320.0/360.0	330.8
18	325.0/365.0	330.4
19	330.0/410.0	295.7
20	330.0/615.0	-5.386
21	335.0/380.0	306.0
22	340.0/385.0	313.8
23	345.0/245.0	-5.594
24	345.0/260.0	-5.907
25	345.0/390.0	282.2
26	350.0/270.0	-5.950
27	350.0/295.0	-5.163
28	350.0/400.0	283.6
29	355.0/405.0	282.3
30	360.0/410.0	252.3
31	365.0/245.0	-5.160
32	365.0/415.0	243.9
33	370.0/425.0	229.8
34	385.0/265.0	-4.216
35	430.0/505.0	33.02
36	445.0/525.0	16.14
37	460.0/545.0	7.585
38	475.0/365.0	-0.687
39	480.0/385.0	-0.249
40	490.0/360.0	-0.177
41	500.0/355.0	-0.226
42	540.0/300.0	4.065
43	540.0/585.0	-1.711
44	550.0/305.0	3.612
45	560.0/405.0	-1.717
46	580.0/380.0	-2.132

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-289.7	-169.8	765.9	672.9	-69.22	-102.2	-90.17	-74.64	-74.52	-60.73	-48.01	-41.52	-38.31	-31.79	-26.19	-19.79	-16.08	-14.63	-12.33	-11.34	-11.45	-9.858	-9.521	-8.938	-7.781	-8.093	-7.300	-6.614	-6.482	-6.754	-6.319	-5.736	-5.524	-5.281	-5.343	-4.264	-4.048	-4.464	-4.318	-3.976	-3.888	-3.963	-4.116	-4.095	-3.995	-3.671	-3.037	-2.775	-1.337	-0.266	-1.693	-3.169	-3.108	-3.247	-3.403	-3.106	-3.800	-3.710	-3.712	-3.561	-3.561	-3.579	-3.837	-3.640	-3.874	-3.698	-3.646	-3.652	-3.759	-4.014	-3.862	-3.985	-4.264	-4.154	-3.993	-4.356	-4.482
235.0	-251.9	-207.9	230.3	 1481	 1264	24.28	-83.64	-77.58	-61.66	-58.34	-54.92	-43.46	-38.93	-31.22	-21.42	-21.73	-15.64	-15.61	-12.16	-12.30	-11.18	-9.654	-9.067	-9.777	-8.531	-8.189	-7.180	-6.498	-6.850	-6.906	-5.908	-6.158	-5.159	-5.374	-4.742	-3.952	-4.538	-4.291	-4.652	-4.133	-3.875	-4.292	-4.037	-3.752	-4.032	-3.534	-3.336	-3.542	-2.445	-1.185	0.464	0.518	-1.654	-3.334	-2.433	-3.180	-3.817	-3.422	-4.003	-3.816	-3.467	-3.680	-3.642	-3.668	-3.549	-4.039	-3.678	-4.080	-3.749	-4.282	-3.855	-4.182	-4.118	-4.063	-4.000	-4.032	-4.173
240.0	-288.9	-157.7	-92.04	675.0	 2710	 1292	-26.16	-79.15	-67.18	-61.13	-49.58	-42.02	-38.45	-36.85	-25.50	-24.09	-17.23	-14.74	-12.86	-11.96	-11.09	-9.570	-11.38	-9.320	-9.301	-7.200	-7.948	-7.536	-6.709	-6.667	-5.695	-5.518	-5.089	-5.695	-4.708	-4.055	-4.801	-4.263	-4.931	-4.198	-4.101	-3.321	-4.171	-3.739	-4.155	-3.408	-3.231	-3.504	-2.405	-2.054	-1.046	1.626	2.794	1.081	-1.489	-3.397	-3.446	-3.187	-3.891	-3.308	-3.642	-3.921	-3.235	-3.733	-3.237	-3.885	-3.647	-3.697	-3.607	-3.789	-3.904	-4.025	-4.026	-3.939	-4.020	-4.417	-3.827
245.0	-308.1	-190.0	-143.2	64.33	 1631	 3504	 1007	-62.30	-65.76	-61.64	-48.84	-49.37	-34.08	-32.33	-27.12	-22.04	-18.01	-13.66	-13.92	-13.85	-10.73	-9.757	-10.04	-8.350	-7.851	-5.594	-7.328	-6.684	-5.851	-5.160	-6.201	-5.995	-6.272	-5.104	-5.591	-4.029	-4.584	-4.600	-4.472	-4.127	-4.225	-3.668	-4.285	-3.471	-3.402	-3.671	-2.967	-3.397	-2.741	-2.280	-2.187	-1.726	0.429	2.946	3.657	-0.042	-2.202	-3.908	-3.598	-3.565	-3.419	-3.313	-3.691	-3.712	-3.867	-3.649	-3.594	-3.958	-3.923	-3.755	-4.245	-3.970	-4.291	-3.429	-4.197	-4.163	-3.974
250.0	-305.3	-228.1	-121.3	-40.20	308.4	 1871	 3445	 2282	237.7	-57.30	-48.18	-46.65	-35.26	-28.67	-23.99	-20.23	-16.26	-15.26	-14.67	-11.07	-9.747	-10.10	-8.155	-8.174	-7.767	-6.778	-7.114	-6.981	-5.929	-5.809	-6.640	-5.916	-5.997	-4.783	-4.726	-4.091	-4.898	-4.412	-4.210	-3.881	-3.745	-3.802	-4.047	-3.657	-3.339	-3.854	-3.125	-3.196	-2.550	-2.276	-2.676	-2.637	-2.303	-1.411	1.019	3.299	6.302	3.331	-0.123	-3.038	-3.627	-3.647	-3.623	-3.818	-3.483	-3.710	-3.397	-3.777	-3.782	-3.881	-3.625	-4.175	-4.144	-3.790	-4.107	-4.113	-3.926
255.0	-279.9	-224.7	-194.6	-1.715	44.50	355.8	 1274	 4872	 4469	261.3	-48.08	-42.14	-33.87	-30.76	-27.75	-21.22	-13.92	-16.35	-13.25	-10.63	-9.862	-9.319	-9.287	-8.107	-6.482	-7.376	-6.385	-7.164	-6.166	-6.449	-6.757	-5.447	-5.200	-4.980	-4.882	-4.248	-4.588	-4.549	-4.779	-3.701	-3.979	-3.726	-4.027	-4.348	-3.615	-3.876	-2.957	-3.583	-2.572	-2.305	-2.473	-2.492	-2.348	-2.924	-2.157	-1.632	0.191	3.590	9.275	8.655	1.440	-2.896	-3.405	-3.490	-3.610	-3.853	-3.722	-3.911	-3.938	-4.025	-3.865	-3.584	-4.540	-4.353	-4.034	-4.050	-4.223
260.0	-293.6	-202.9	-195.8	-52.86	64.30	58.85	242.7	 2232	 7541	 1528	88.39	-33.80	-38.61	-25.82	-26.15	-20.32	-14.78	-14.59	-12.99	-12.08	-9.190	-8.760	-8.451	-8.130	-6.961	-5.907	-7.113	-5.862	-6.372	-6.345	-5.683	-6.399	-5.129	-5.287	-4.559	-3.811	-4.882	-4.468	-4.380	-4.196	-4.163	-4.167	-4.832	-4.078	-3.971	-3.699	-3.461	-3.279	-2.550	-2.274	-2.444	-2.646	-2.135	-2.906	-2.387	-2.686	-2.737	-1.267	1.865	9.581	13.12	7.628	-0.240	-3.568	-3.375	-3.052	-3.642	-4.131	-3.820	-3.990	-3.874	-3.328	-3.794	-3.986	-3.873	-4.582	-4.447
265.0	-339.4	-286.0	-164.5	-126.9	37.09	121.0	31.89	515.0	 3953	 7213	 1246	14.44	-29.91	-30.54	-27.05	-23.41	-17.58	-16.01	-11.10	-13.32	-9.824	-9.929	-7.898	-9.675	-8.382	-8.149	-6.762	-7.092	-6.386	-6.946	-6.098	-6.236	-4.690	-4.216	-5.384	-4.312	-4.772	-4.199	-4.536	-4.029	-4.263	-3.898	-4.179	-3.858	-3.613	-3.640	-3.645	-3.036	-3.094	-2.536	-2.496	-2.762	-2.660	-2.928	-2.054	-2.713	-3.392	-2.983	-2.752	0.149	6.513	14.58	16.86	4.824	-2.719	-3.175	-4.110	-3.996	-3.544	-3.873	-3.697	-3.873	-4.013	-3.848	-3.885	-3.972	-4.532
270.0	-323.1	-273.2	-174.3	-130.4	-77.03	80.25	146.8	120.8	932.3	 3440	 6654	 4665	292.9	-24.70	-23.09	-20.00	-16.18	-15.83	-11.44	-11.30	-10.19	-8.428	-8.076	-7.755	-7.168	-7.690	-5.950	-7.041	-6.959	-6.577	-6.196	-5.884	-5.008	-5.121	-4.940	-4.362	-4.691	-4.009	-4.505	-4.243	-4.224	-3.931	-3.927	-3.903	-3.476	-3.268	-2.988	-3.275	-2.640	-2.491	-2.643	-3.316	-2.839	-3.187	-2.764	-2.711	-2.747	-3.273	-3.096	-2.990	-1.323	1.724	7.584	12.18	14.52	12.34	2.699	-2.881	-3.431	-3.774	-4.044	-3.774	-4.169	-3.733	-4.087	-4.502	-4.631
