Sample:	'1
File name:	Default_20230414_102042.FD3
Run date:	'10:14:20, 04/14/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/545.0	58.71
2	270.0/300.0	 3830
3	270.0/590.0	273.8
4	425.0/300.0	6.472
5	430.0/305.0	6.705
6	540.0/300.0	18.94

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	92.16	 1034	 1440	254.5	7.472	4.489	4.523	4.886	4.860	4.712	5.033	4.543	4.072	3.485	3.109	2.785	2.692	2.627	2.528	2.454	2.484	2.528	2.639	2.723	2.801	2.933	2.990	3.035	3.043	3.239	3.332	3.216	3.105	3.071	2.776	2.596	2.331	2.175	1.903	1.899	1.642	1.634	1.459	1.440	1.378	1.213	1.617	3.819	7.263	6.757	3.456	1.257	0.789	0.724	0.743	0.738	0.698	0.617	0.557	0.497	0.453	0.415	0.405	0.372	0.332	0.321	0.307	0.285	0.228	0.203	0.174	0.160	0.124	0.125	0.121	0.108	0.077
235.0	37.26	326.6	 1353	 1882	323.9	13.81	5.864	5.942	5.688	5.428	6.121	5.127	4.478	3.772	3.190	2.917	2.965	2.686	2.718	2.656	2.640	2.714	2.843	2.800	3.027	3.044	3.086	3.096	2.991	3.073	3.339	3.097	3.091	2.996	2.762	2.581	2.432	2.197	1.931	1.855	1.723	1.559	1.381	1.459	1.423	1.331	1.395	1.759	2.897	4.881	7.653	9.828	6.438	1.937	0.797	0.711	0.674	0.670	0.543	0.527	0.372	0.439	0.395	0.415	0.403	0.307	0.329	0.351	0.209	0.226	0.188	0.157	0.121	0.137	0.147	0.122	0.120
240.0	37.32	86.87	538.6	 2445	 2685	272.2	10.34	7.759	6.342	7.028	6.995	5.616	4.608	4.171	3.577	3.330	2.969	2.858	2.842	2.734	2.912	2.872	2.884	2.892	3.214	3.106	3.193	3.231	3.116	3.290	3.345	3.105	3.099	3.050	2.801	2.548	2.293	2.132	2.069	1.920	1.678	1.671	1.502	1.333	1.457	1.449	1.252	1.248	1.466	2.063	3.897	10.13	16.33	14.16	6.265	1.359	0.714	0.718	0.602	0.551	0.424	0.394	0.387	0.381	0.393	0.334	0.291	0.307	0.306	0.228	0.191	0.192	0.130	0.150	0.148	0.093	0.113
245.0	37.40	50.74	139.5	 1235	 4421	 2721	212.4	11.44	9.330	8.215	7.601	7.314	5.240	4.869	3.884	3.680	3.383	3.177	3.173	2.872	2.897	2.513	2.835	2.920	3.051	3.301	3.360	3.308	3.472	3.337	3.309	3.300	3.135	2.969	2.763	2.630	2.416	2.095	2.037	1.941	1.652	1.755	1.636	1.368	1.566	1.503	1.347	1.237	1.250	1.210	1.619	3.898	10.11	20.69	23.29	15.97	5.137	0.857	0.738	0.639	0.529	0.419	0.429	0.396	0.376	0.353	0.388	0.338	0.282	0.226	0.224	0.145	0.160	0.131	0.128	0.104	0.115
250.0	23.80	44.88	71.28	316.9	 1983	 5768	 5807	 1066	58.17	12.77	10.57	9.124	7.272	5.724	4.786	4.129	4.045	3.494	3.379	3.378	2.946	3.111	3.059	3.183	3.411	3.380	3.542	3.485	3.624	3.690	3.481	3.444	3.212	3.041	2.670	2.603	2.380	2.133	2.129	1.926	1.895	1.805	1.613	1.490	1.529	1.375	1.307	1.317	1.307	1.152	1.186	1.588	3.052	7.315	14.60	27.00	32.16	35.48	13.34	6.045	0.932	0.525	0.472	0.439	0.410	0.385	0.354	0.288	0.274	0.254	0.244	0.174	0.185	0.174	0.139	0.140	0.115
255.0	17.38	29.30	61.72	125.7	467.3	 1899	 8041	9999.9	 1631	72.90	16.53	13.29	9.963	7.704	5.630	5.009	4.794	4.106	4.085	3.567	3.260	3.488	3.432	3.580	3.631	3.505	3.735	3.547	3.969	4.047	3.941	3.539	3.272	3.045	2.800	2.606	2.318	2.292	2.117	1.870	1.824	1.792	1.646	1.575	1.471	1.469	1.338	1.236	1.214	1.137	1.217	1.301	1.525	2.276	3.993	7.122	14.17	37.38	68.15	73.00	21.31	7.649	0.684	0.535	0.531	0.454	0.431	0.307	0.295	0.297	0.228	0.180	0.228	0.214	0.210	0.154	0.154
260.0	16.22	20.69	36.32	97.02	157.2	460.0	 3184	9999.9	9999.9	 1302	44.40	17.86	13.39	10.01	7.003	5.950	5.471	4.683	4.424	3.867	3.723	3.788	3.527	3.577	3.513	3.767	3.714	3.653	4.121	4.163	4.121	3.703	3.297	2.953	2.999	2.699	2.442	2.189	2.072	1.821	1.899	1.934	1.664	1.693	1.589	1.605	1.436	1.249	1.200	1.008	1.111	1.384	1.296	1.429	1.658	2.416	3.958	11.00	32.95	73.85	98.80	77.36	17.24	2.982	0.602	0.504	0.418	0.379	0.335	0.273	0.287	0.218	0.221	0.216	0.185	0.213	0.169
265.0	23.85	21.23	22.34	61.34	121.5	150.7	778.1	 5158	9999.9	9999.9	186.9	29.64	17.01	11.76	9.132	7.119	6.170	5.170	4.982	4.636	4.169	3.837	3.817	3.514	4.002	3.973	4.026	3.841	4.124	4.225	3.934	3.871	3.592	3.110	2.894	2.642	2.408	2.265	2.090	1.944	1.834	1.840	1.669	1.692	1.663	1.470	1.400	1.213	1.175	1.140	1.003	1.186	1.144	1.393	1.379	1.345	1.559	3.157	8.366	23.88	59.90	110.6	116.2	25.85	11.32	1.004	0.516	0.462	0.332	0.437	0.324	0.261	0.243	0.230	0.194	0.212	0.143
270.0	69.69	56.31	39.01	36.74	82.07	135.7	248.9	 1275	 5168	9999.9	9999.9	 4294	66.72	20.57	13.79	10.07	8.014	6.692	5.757	5.319	4.836	4.482	4.481	4.261	4.254	4.255	4.302	4.151	4.408	4.295	3.988	4.080	3.929	3.542	3.226	2.815	2.550	2.401	2.300	2.093	2.008	2.002	1.958	1.912	1.805	1.673	1.652	1.479	1.300	1.177	1.040	1.044	1.028	1.198	1.278	1.450	1.434	1.670	2.576	6.040	14.98	34.63	63.39	88.99	111.3	84.65	52.74	8.209	1.096	0.486	0.431	0.386	0.294	0.267	0.242	0.225	0.212
