Sample:	'1
File name:	Default_20230207_150144.FD3
Run date:	'14:55:23, 02/07/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/620.0	-77.05
2	230.0/280.0	-35.95
3	230.0/300.0	56.56
4	230.0/600.0	-60.49
5	230.0/615.0	-48.47
6	235.0/570.0	-19.84
7	240.0/385.0	720.6
8	240.0/525.0	54.18
9	240.0/585.0	-29.99
10	240.0/605.0	-4.319
11	245.0/265.0	176.1
12	245.0/375.0	700.0
13	245.0/530.0	57.22
14	250.0/360.0	658.5
15	250.0/545.0	80.85
16	255.0/555.0	60.64
17	260.0/565.0	79.42
18	265.0/235.0	-22.97
19	270.0/295.0	 2143
20	270.0/585.0	170.9
21	270.0/635.0	30.16
22	275.0/305.0	 2085
23	275.0/605.0	130.2
24	280.0/525.0	57.17
25	280.0/615.0	71.70
26	285.0/255.0	-11.24
27	290.0/575.0	 1246
28	290.0/645.0	25.48
29	295.0/405.0	 1427
30	300.0/335.0	338.6
31	305.0/255.0	-5.349
32	305.0/280.0	-3.054
33	305.0/340.0	371.9
34	310.0/265.0	-5.627
35	310.0/345.0	322.7
36	310.0/580.0	0.653
37	315.0/235.0	-5.785
38	315.0/270.0	-5.104
39	315.0/350.0	260.8
40	320.0/255.0	-4.459
41	320.0/360.0	281.5
42	320.0/605.0	-1.243
43	325.0/245.0	-4.072
44	325.0/260.0	-3.819
45	325.0/365.0	282.9
46	325.0/585.0	0.928
47	330.0/370.0	246.4
48	330.0/590.0	-1.115
49	335.0/280.0	-2.450
50	335.0/380.0	255.9
51	340.0/260.0	-2.874
52	340.0/285.0	-2.864
53	340.0/385.0	254.6
54	340.0/620.0	-1.613
55	345.0/390.0	220.1
56	345.0/615.0	-2.035
57	350.0/240.0	-2.726
58	350.0/285.0	-2.985
59	350.0/315.0	-1.318
60	350.0/395.0	212.1
61	355.0/300.0	-2.863
62	355.0/405.0	205.8
63	360.0/255.0	-3.065
64	360.0/410.0	183.8
65	360.0/625.0	-2.207
66	365.0/265.0	-2.836
67	365.0/415.0	179.5
68	370.0/240.0	-2.030
69	370.0/290.0	-2.752
70	370.0/425.0	171.1
71	375.0/430.0	148.5
72	380.0/265.0	-2.435
73	380.0/280.0	-2.553
74	380.0/320.0	-1.398
75	380.0/435.0	137.8
76	385.0/350.0	-1.151
77	385.0/445.0	127.6
78	390.0/285.0	-1.860
79	390.0/320.0	-2.008
80	400.0/335.0	-0.888
81	400.0/465.0	74.56
82	405.0/355.0	-1.492
83	410.0/260.0	-1.179
84	410.0/285.0	-1.832
85	410.0/475.0	48.21
86	415.0/305.0	-1.561
87	415.0/485.0	41.20
88	420.0/490.0	32.62
89	425.0/265.0	-1.802
90	425.0/495.0	26.72
91	430.0/245.0	-1.649
92	430.0/505.0	21.83
93	435.0/255.0	-1.764
94	435.0/355.0	-1.418
95	435.0/510.0	17.64
96	440.0/415.0	-0.540
97	445.0/320.0	-1.470
98	445.0/340.0	-0.828
99	445.0/365.0	-0.920
100	445.0/525.0	12.56
101	450.0/300.0	-1.196
102	450.0/530.0	10.25
103	455.0/540.0	8.409
104	460.0/545.0	6.134
105	465.0/550.0	4.503
106	470.0/390.0	-0.206
107	470.0/555.0	3.471
108	475.0/415.0	-0.397
109	480.0/390.0	-0.020
110	485.0/370.0	-0.256
111	485.0/585.0	-0.371
112	490.0/375.0	0.058
113	495.0/365.0	-0.374
114	495.0/595.0	-0.550
115	505.0/275.0	-1.214
116	505.0/415.0	-0.563
117	515.0/405.0	-0.399
118	515.0/585.0	-1.009
119	520.0/635.0	-1.708
120	535.0/295.0	2.425
121	540.0/300.0	2.664
122	540.0/610.0	-1.814
123	545.0/240.0	-1.794
124	550.0/305.0	2.137
125	555.0/310.0	1.073
126	560.0/415.0	0.352
127	575.0/245.0	-2.248
128	575.0/460.0	-0.591
129	580.0/325.0	-1.245
130	585.0/335.0	-0.757

Data points
