Sample:	'1
File name:	Default_20230313_155459.FD3
Run date:	'15:48:38, 03/13/2023
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/555.0	69.19
2	275.0/310.0	 2517
3	275.0/350.0	 3236
4	275.0/605.0	148.2
5	555.0/360.0	15.75
6	560.0/355.0	15.92

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	55.47	652.1	 1226	304.5	16.47	9.754	8.547	7.948	7.126	6.841	6.229	5.988	5.599	4.730	4.015	3.428	3.074	3.157	3.101	3.087	2.852	2.648	2.617	2.861	2.869	2.930	2.870	2.794	2.724	2.732	2.890	2.607	2.399	2.371	2.191	2.029	1.941	1.785	1.589	1.560	1.423	1.447	1.397	1.312	1.235	1.194	1.479	4.550	9.396	9.561	4.611	1.509	0.939	0.905	0.916	0.821	0.862	0.829	0.773	0.806	0.773	0.670	0.728	0.639	0.746	0.674	0.688	0.667	0.632	0.679	0.604	0.559	0.532	0.586	0.553	0.560	0.562
235.0	40.49	196.7	926.0	 1488	352.2	24.71	10.65	8.059	8.064	7.281	6.298	6.497	5.739	5.241	4.315	3.487	3.190	3.347	3.479	3.124	2.885	3.016	2.736	2.829	3.041	3.019	2.944	2.760	2.844	2.780	2.763	2.725	2.435	2.457	2.206	2.005	1.992	1.902	1.698	1.495	1.448	1.344	1.365	1.482	1.262	1.247	1.240	1.894	3.542	6.408	10.19	13.71	8.372	2.443	0.954	0.836	0.935	0.926	0.842	0.760	0.800	0.767	0.708	0.695	0.729	0.658	0.656	0.658	0.641	0.611	0.619	0.592	0.595	0.654	0.597	0.576	0.487
240.0	46.42	63.95	324.4	 1544	 2057	309.1	17.75	9.259	8.130	8.517	7.681	7.147	5.994	5.011	4.582	3.784	3.358	3.410	3.434	3.323	2.794	3.056	2.970	2.782	2.954	3.039	3.046	2.984	2.988	2.925	2.744	2.573	2.581	2.314	2.048	2.239	1.827	1.793	1.818	1.567	1.555	1.504	1.381	1.431	1.335	1.259	1.278	1.335	1.712	2.388	4.764	13.08	20.53	17.37	7.479	1.557	1.007	0.938	0.824	0.679	0.822	0.762	0.730	0.699	0.701	0.739	0.664	0.690	0.619	0.658	0.631	0.613	0.532	0.640	0.597	0.587	0.583
245.0	45.12	50.62	91.49	662.3	 2724	 2568	241.4	12.67	10.84	9.520	8.697	8.028	6.222	5.306	4.722	4.137	3.561	3.430	3.498	3.478	2.914	2.845	3.079	2.804	3.105	3.040	3.117	3.226	3.019	3.119	2.904	2.657	2.642	2.333	2.265	1.982	1.877	1.865	1.716	1.709	1.558	1.520	1.457	1.454	1.274	1.287	1.325	1.345	1.266	1.285	1.802	4.711	12.29	24.43	24.41	17.02	5.585	1.016	0.840	0.802	0.909	0.758	0.741	0.715	0.722	0.720	0.690	0.573	0.674	0.592	0.622	0.620	0.569	0.532	0.564	0.609	0.533
250.0	32.25	45.61	57.96	174.6	 1058	 3491	 4125	 1097	65.67	11.87	10.92	9.026	7.328	6.163	5.281	4.396	4.021	3.965	3.765	3.847	3.153	3.045	2.876	2.970	3.192	3.170	3.156	3.121	3.171	3.131	3.005	2.805	2.586	2.325	2.112	1.925	1.931	1.709	1.662	1.620	1.599	1.493	1.439	1.422	1.343	1.333	1.223	1.249	1.214	1.249	1.209	1.828	3.653	8.195	15.30	27.49	31.63	33.47	13.23	6.030	1.208	0.825	0.778	0.818	0.765	0.754	0.753	0.649	0.701	0.630	0.618	0.643	0.587	0.567	0.571	0.614	0.543
255.0	27.37	34.12	50.54	88.27	258.5	992.6	 4322	 7983	 1662	85.71	15.03	11.42	10.18	7.686	5.758	5.163	4.552	4.305	4.258	3.964	3.644	3.159	3.339	3.213	3.520	3.280	3.207	3.000	3.254	3.296	3.216	2.771	2.656	2.437	2.249	1.997	1.941	1.813	1.710	1.560	1.605	1.553	1.518	1.393	1.501	1.228	1.198	1.292	1.211	1.102	1.201	1.378	1.628	2.625	4.247	7.224	13.33	32.85	59.10	63.06	21.15	7.414	0.978	0.841	0.828	0.782	0.711	0.698	0.707	0.700	0.606	0.618	0.659	0.552	0.628	0.598	0.607
260.0	31.26	24.54	32.85	72.62	108.2	244.1	 1498	 7426	 9316	 1358	57.91	14.77	11.81	9.571	7.018	5.757	4.941	4.635	4.443	4.214	3.874	3.414	3.512	3.416	3.487	3.372	3.519	3.401	3.256	3.394	3.282	3.082	2.688	2.450	2.214	2.115	1.953	1.737	1.722	1.652	1.789	1.556	1.506	1.530	1.432	1.369	1.332	1.160	1.175	1.055	1.035	1.272	1.410	1.530	1.727	2.422	3.745	9.542	26.86	59.74	80.15	66.00	17.67	4.003	0.947	0.854	0.724	0.709	0.696	0.731	0.644	0.614	0.613	0.571	0.618	0.656	0.630
265.0	32.59	25.06	23.73	46.50	95.86	100.5	367.1	 2815	9999.9	 9693	 1091	29.19	14.94	11.11	8.690	6.642	5.949	5.179	4.982	4.503	3.939	3.573	3.620	3.625	3.644	3.410	3.403	3.419	3.367	3.195	3.557	3.126	2.688	2.548	2.236	2.131	1.898	1.897	1.852	1.802	1.693	1.602	1.694	1.483	1.501	1.460	1.414	1.152	1.256	1.050	0.993	1.124	1.390	1.558	1.419	1.333	1.751	2.964	7.099	18.67	46.28	86.41	100.8	26.26	13.27	1.772	0.822	0.729	0.823	0.756	0.672	0.695	0.658	0.698	0.641	0.675	0.560
270.0	69.91	53.91	38.94	32.54	62.17	106.6	154.9	694.8	 3451	 9559	9999.9	 4212	70.29	16.73	11.67	8.894	7.426	6.234	6.001	5.327	4.590	4.139	3.941	3.911	3.828	3.929	3.770	3.688	3.693	3.653	3.399	3.322	2.918	2.653	2.353	2.250	2.169	2.040	1.976	1.892	1.810	1.839	1.862	1.735	1.697	1.572	1.561	1.336	1.355	1.231	1.062	1.089	1.152	1.210	1.337	1.492	1.533	1.740	2.561	5.063	11.68	26.20	50.57	71.25	99.74	78.50	57.89	10.10	2.339	0.839	0.797	0.769	0.712	0.680	0.742	0.676	0.722
