Sample:	'1
File name:	Default_20230714_152313.FD3
Run date:	'15:16:52, 07/14/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/280.0	-15.02
2	225.0/545.0	-2.323
3	230.0/295.0	49.38
4	230.0/495.0	32.47
5	230.0/515.0	10.73
6	230.0/540.0	4.836
7	230.0/595.0	-11.64
8	230.0/615.0	-4.810
9	230.0/625.0	-8.732
10	235.0/570.0	-11.76
11	235.0/620.0	-9.490
12	240.0/520.0	47.50
13	240.0/550.0	8.992
14	240.0/580.0	-7.431
15	240.0/600.0	-11.18
16	240.0/615.0	-13.17
17	245.0/265.0	165.0
18	245.0/535.0	48.94
19	245.0/620.0	-5.735
20	245.0/635.0	-5.139
21	250.0/270.0	179.1
22	250.0/365.0	 1583
23	250.0/545.0	51.62
24	250.0/630.0	3.314
25	255.0/280.0	286.5
26	255.0/555.0	63.64
27	255.0/620.0	6.536
28	260.0/285.0	372.1
29	260.0/565.0	45.93
30	260.0/605.0	7.575
31	265.0/290.0	401.5
32	265.0/580.0	60.22
33	265.0/635.0	4.462
34	270.0/295.0	576.2
35	270.0/500.0	63.98
36	270.0/590.0	49.33
37	275.0/305.0	699.6
38	275.0/605.0	63.23
39	280.0/235.0	-2.284
40	280.0/255.0	-0.274
41	280.0/310.0	631.8
42	280.0/615.0	50.40
43	285.0/250.0	-2.444
44	285.0/315.0	610.3
45	285.0/540.0	19.57
46	285.0/630.0	36.33
47	290.0/320.0	516.2
48	290.0/445.0	110.8
49	290.0/640.0	24.11
50	295.0/235.0	-1.046
51	295.0/255.0	-0.064
52	295.0/330.0	374.2
53	300.0/245.0	-0.035
54	300.0/335.0	346.0
55	305.0/270.0	-0.417
56	305.0/340.0	370.5
57	310.0/275.0	-0.031
58	310.0/345.0	316.5
59	315.0/580.0	2.051
60	315.0/595.0	0.174
61	320.0/270.0	-0.477
62	320.0/360.0	274.4
63	320.0/635.0	182.5
64	325.0/260.0	-0.754
65	325.0/365.0	246.3
66	330.0/370.0	209.7
67	335.0/255.0	-0.274
68	335.0/380.0	210.2
69	340.0/385.0	210.7
70	345.0/275.0	-0.094
71	345.0/390.0	184.3
72	345.0/610.0	0.248
73	350.0/310.0	0.809
74	350.0/395.0	180.2
75	355.0/290.0	0.267
76	355.0/405.0	169.9
77	355.0/625.0	0.037
78	360.0/285.0	0.431
79	360.0/410.0	144.4
80	365.0/245.0	-0.151
81	365.0/265.0	0.356
82	365.0/415.0	140.9
83	370.0/425.0	122.5
84	370.0/615.0	0.730
85	375.0/260.0	-0.073
86	375.0/315.0	0.074
87	375.0/430.0	101.9
88	380.0/320.0	0.376
89	380.0/435.0	91.31
90	385.0/305.0	-0.026
91	385.0/440.0	82.33
92	390.0/280.0	-0.268
93	390.0/450.0	64.64
94	395.0/295.0	0.174
95	395.0/455.0	59.10
96	400.0/465.0	50.70
97	405.0/255.0	0.211
98	405.0/470.0	41.00
99	410.0/475.0	34.37
100	415.0/485.0	32.07
101	420.0/490.0	25.83
102	425.0/495.0	23.95
103	430.0/360.0	0.602
104	430.0/505.0	21.03
105	435.0/510.0	15.29
106	440.0/515.0	14.53
107	445.0/525.0	12.64
108	445.0/580.0	1.194
109	450.0/530.0	10.17
110	455.0/540.0	9.397
111	460.0/545.0	7.602
112	470.0/560.0	3.943
113	480.0/575.0	2.194
114	485.0/580.0	1.821
115	490.0/365.0	3.849
116	495.0/250.0	4.127
117	495.0/355.0	3.806
118	500.0/360.0	3.800
119	505.0/275.0	1.106
120	510.0/280.0	0.933
121	520.0/285.0	1.157
122	525.0/290.0	1.011
123	535.0/295.0	1.441
124	545.0/300.0	2.281
125	555.0/310.0	1.202
126	570.0/315.0	1.125
127	575.0/320.0	1.159
128	580.0/325.0	1.047

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-29.77	21.55	815.4	971.1	72.65	-9.814	-13.36	-10.82	-6.883	-7.536	-5.188	-7.734	-3.242	-4.307	-3.323	-3.427	-2.575	-2.551	-1.885	-2.184	-1.655	-1.325	-1.151	-1.240	-1.176	-1.231	-0.221	-1.005	-1.425	-0.570	-1.141	-0.807	-0.813	-0.813	-0.580	-0.809	-0.627	-0.417	-0.454	-0.144	-0.299	-0.591	-0.551	-0.503	-0.647	-0.342	-0.251	0.142	1.353	1.472	0.456	-0.442	-0.504	-0.594	-0.387	-0.539	-0.393	-0.546	-0.570	-0.411	-0.663	-0.398	-0.474	-0.591	-0.437	-0.568	-0.476	-0.623	-0.706	-0.423	-0.621	-0.402	-0.619	-0.571	-0.811	-0.508	-0.689
235.0	-24.32	-12.47	262.8	 1224	 1222	105.9	3.993	-9.783	-9.588	-4.788	-9.714	-9.148	-2.284	-5.193	-4.292	-1.046	-4.864	-1.954	-1.728	-3.110	-3.004	-0.321	-1.394	-1.036	-1.867	-1.397	-1.126	-0.871	-0.491	-0.728	-0.998	-1.490	-0.844	-0.851	-0.324	-0.409	-0.861	-0.131	-1.090	-0.352	-0.474	0.146	-0.548	-0.524	-0.527	-1.177	-0.372	-0.295	0.336	1.037	2.009	2.059	0.654	-0.087	-0.421	-0.149	-0.271	-0.709	-0.670	-0.365	-0.023	-0.828	-0.224	-0.322	-0.834	-0.313	-0.480	-0.533	-0.910	-0.656	-0.241	-0.880	-0.705	-0.628	-0.553	-0.526	-0.598
240.0	-6.898	-5.271	42.77	531.9	 1930	 1107	74.57	-8.675	-9.260	-6.246	-3.608	-3.777	-4.636	-4.692	-4.270	-4.913	-3.408	-0.612	-0.385	-1.664	-1.877	-1.976	-0.988	-0.774	-1.297	-1.473	-1.871	-0.515	-0.528	-0.389	-1.620	-1.725	-0.676	-1.383	-0.614	-0.102	-0.379	-0.134	-0.239	-0.065	0.071	-0.719	-0.274	-0.582	-0.298	-0.781	-0.616	-0.534	-0.358	0.063	0.834	2.656	3.421	2.798	0.260	-0.170	-0.471	-0.364	-0.415	-0.480	-0.803	-0.943	-0.153	-0.427	-0.824	-0.613	-0.483	-0.289	-0.876	-0.833	-0.123	-0.919	-0.943	-0.235	-0.718	-0.573	-0.729
245.0	-12.37	-7.930	-1.566	117.6	 1025	 2312	933.5	13.89	1.816	-5.282	-3.656	-5.370	-5.301	-2.759	-4.288	-5.055	-0.035	-0.188	-0.384	-2.156	-2.193	-1.279	-0.892	-0.966	-1.879	-0.962	-1.725	-1.706	-1.307	-0.151	-1.379	-1.667	-0.575	-1.498	-1.026	-0.404	-0.879	-0.853	-0.606	-0.227	-0.325	-0.092	-0.600	-0.551	-0.559	-0.498	-0.243	-0.741	-0.162	-0.186	-0.223	-0.164	2.069	5.076	4.310	2.130	-0.231	-0.196	-0.564	-0.482	-0.946	-0.651	-0.491	-0.425	-0.257	-0.495	-0.426	-0.335	-0.645	-0.929	-0.020	-0.695	-0.444	-0.484	-0.230	-0.221	-0.547
