Sample:	'1
File name:	Default_20231029_110027.FD3
Run date:	'10:54:06, 10/29/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/280.0	-52.83
2	225.0/500.0	-50.50
3	225.0/555.0	-71.73
4	225.0/565.0	-72.22
5	225.0/585.0	-70.90
6	230.0/270.0	-61.46
7	230.0/560.0	-46.97
8	235.0/300.0	-21.69
9	235.0/510.0	5.519
10	235.0/615.0	-37.33
11	235.0/625.0	-42.65
12	240.0/515.0	13.32
13	240.0/605.0	-45.94
14	245.0/265.0	94.14
15	245.0/535.0	12.04
16	245.0/595.0	-40.57
17	245.0/620.0	-33.31
18	250.0/270.0	111.6
19	250.0/365.0	487.1
20	250.0/375.0	484.6
21	250.0/425.0	164.6
22	250.0/540.0	32.72
23	255.0/275.0	185.1
24	255.0/550.0	16.77
25	255.0/625.0	-24.70
26	260.0/235.0	-27.40
27	260.0/285.0	265.3
28	260.0/565.0	15.80
29	265.0/290.0	272.3
30	265.0/440.0	118.2
31	265.0/575.0	21.53
32	270.0/295.0	371.8
33	270.0/495.0	65.07
34	270.0/590.0	29.58
35	275.0/245.0	-11.66
36	275.0/305.0	414.5
37	275.0/450.0	123.5
38	275.0/605.0	32.59
39	280.0/310.0	395.7
40	280.0/405.0	111.5
41	280.0/435.0	116.7
42	280.0/615.0	21.71
43	285.0/245.0	-9.143
44	285.0/315.0	408.2
45	285.0/360.0	113.8
