Sample:	'1
File name:	Default_20240806_142958.FD3
Run date:	'14:23:36, 08/06/2024
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/340.0	 1194
2	230.0/500.0	211.3
3	245.0/270.0	162.5
4	245.0/405.0	759.0
5	255.0/280.0	233.8
6	255.0/620.0	32.36
7	260.0/285.0	264.5
8	260.0/570.0	74.34
9	265.0/580.0	63.14
10	270.0/300.0	450.9
11	270.0/595.0	52.49
12	270.0/625.0	30.50
13	275.0/305.0	506.7
14	275.0/605.0	48.93
15	280.0/340.0	727.3
16	280.0/615.0	36.77
17	285.0/630.0	30.42
18	290.0/325.0	585.3
19	315.0/355.0	320.9
20	320.0/360.0	336.3
21	325.0/370.0	321.5
22	330.0/375.0	322.5
23	335.0/380.0	340.4
24	430.0/505.0	35.27
25	440.0/515.0	25.38
26	445.0/525.0	20.69
27	450.0/530.0	17.22
28	455.0/335.0	4.908
29	460.0/345.0	4.933
30	560.0/340.0	4.740
31	585.0/325.0	4.598

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	113.2	837.0	 2247	698.9	49.61	26.45	21.33	18.13	16.29	14.30	12.38	11.09	9.647	8.610	7.541	6.154	5.610	4.747	4.561	4.052	3.813	3.640	3.375	3.283	3.048	2.988	2.853	2.863	2.798	2.729	2.586	2.540	2.477	2.330	2.129	2.089	2.055	2.100	1.977	1.965	1.790	1.893	1.945	1.805	1.714	1.630	1.634	3.346	6.391	7.042	4.141	1.987	1.364	1.390	1.360	1.361	1.449	1.467	1.428	1.444	1.402	1.384	1.391	1.386	1.457	1.376	1.364	1.410	1.462	1.379	1.393	1.511	1.464	1.438	1.545	1.469	1.500
235.0	111.3	265.6	 1352	 2237	654.9	57.66	22.17	18.87	16.73	14.13	12.14	11.01	9.302	8.500	7.399	6.143	5.426	4.691	4.642	4.487	4.085	3.620	3.421	2.993	3.043	3.007	3.247	2.864	2.999	2.705	2.449	2.502	2.358	2.341	2.191	1.860	2.004	1.862	2.017	1.775	1.826	1.868	1.773	1.800	1.799	1.728	1.530	1.896	2.808	4.298	6.528	8.990	6.013	2.361	1.512	1.380	1.377	1.516	1.379	1.412	1.404	1.368	1.531	1.439	1.533	1.413	1.472	1.432	1.449	1.403	1.453	1.520	1.586	1.386	1.449	1.569	1.631
240.0	133.6	136.6	450.1	 1772	 2654	480.7	31.15	18.53	17.78	14.10	13.03	10.78	9.942	8.036	8.030	6.462	5.959	5.221	4.885	4.419	3.820	3.676	3.523	3.152	3.017	2.967	3.040	2.801	3.213	2.957	2.538	2.667	2.345	2.320	1.969	1.841	2.045	1.858	1.939	1.802	1.717	1.917	1.748	1.770	1.752	1.812	1.638	1.615	1.696	1.908	3.310	7.654	11.03	9.612	4.478	1.805	1.506	1.421	1.476	1.538	1.324	1.373	1.376	1.422	1.483	1.362	1.530	1.496	1.357	1.597	1.462	1.373	1.543	1.431	1.470	1.593	1.548
245.0	119.4	136.8	162.3	643.9	 2653	 2208	296.1	23.10	18.71	15.81	13.00	11.10	9.761	9.063	7.784	6.110	5.884	5.387	4.669	4.592	4.016	3.777	3.681	3.080	3.382	3.000	2.765	3.066	2.769	2.729	2.524	2.630	2.344	2.147	2.062	1.975	1.945	1.909	1.931	1.852	1.734	1.855	1.764	1.733	1.817	1.730	1.818	1.819	1.503	1.342	1.643	3.140	6.370	11.24	12.21	7.865	3.157	1.606	1.454	1.403	1.376	1.433	1.554	1.553	1.388	1.463	1.376	1.466	1.370	1.571	1.495	1.458	1.517	1.412	1.450	1.559	1.600
250.0	95.15	126.0	147.0	206.4	874.4	 2193	 1854	696.7	54.00	16.61	13.12	11.29	10.34	8.925	7.518	6.387	5.916	5.350	4.772	4.321	3.960	3.658	3.495	3.260	3.277	3.007	2.926	2.982	2.618	2.895	2.785	2.669	2.355	2.300	1.990	1.924	1.987	1.811	1.901	1.894	1.790	1.833	1.777	1.704	1.727	1.636	1.571	1.772	1.699	1.567	1.431	1.874	2.489	4.225	6.790	9.617	11.37	9.454	5.892	3.079	1.542	1.454	1.533	1.482	1.496	1.367	1.382	1.473	1.498	1.447	1.519	1.347	1.572	1.413	1.526	1.512	1.603
255.0	94.68	79.87	127.6	178.9	253.3	583.1	 1305	 2336	406.0	54.03	14.50	11.14	10.86	8.432	7.364	7.020	6.076	5.221	4.678	4.100	4.020	3.685	3.570	3.462	3.315	2.878	3.236	3.035	2.932	2.878	2.705	2.367	2.354	2.527	2.257	2.027	1.960	1.805	1.775	1.834	1.730	1.905	1.801	1.901	1.768	1.537	1.453	1.452	1.433	1.517	1.556	1.964	1.804	2.140	2.565	3.379	4.645	8.427	12.99	16.60	7.241	2.807	1.591	1.384	1.390	1.261	1.511	1.398	1.476	1.441	1.471	1.252	1.518	1.342	1.481	1.597	1.605
260.0	86.61	69.22	79.73	158.4	174.6	170.2	401.7	 1748	 2300	339.5	29.70	12.55	10.59	9.000	7.698	6.728	6.086	5.147	4.439	4.089	4.025	4.131	3.845	3.367	3.368	2.959	3.132	2.943	2.884	2.982	2.865	2.374	2.468	2.513	2.166	2.085	2.051	2.020	1.789	1.902	1.743	1.793	1.810	1.798	1.800	1.687	1.526	1.525	1.348	1.325	1.348	1.900	2.057	1.949	1.870	1.957	2.296	3.224	6.388	14.21	14.43	11.91	5.121	1.863	1.470	1.284	1.437	1.467	1.470	1.393	1.457	1.492	1.589	1.393	1.480	1.604	1.598
265.0	85.48	65.13	59.24	100.2	182.7	133.3	116.4	585.8	 2160	 2152	265.2	16.80	11.69	8.970	8.228	6.877	6.407	5.227	4.848	4.181	3.988	3.715	3.641	3.610	3.207	3.133	3.142	3.148	3.083	2.704	2.789	2.414	2.409	2.333	2.136	2.012	1.961	1.968	1.963	1.742	1.632	1.800	2.036	1.708	1.758	1.624	1.580	1.516	1.519	1.236	1.201	1.665	1.829	2.236	2.207	1.759	1.707	1.870	2.658	5.324	8.253	13.93	14.29	9.374	3.662	1.452	1.410	1.468	1.455	1.416	1.496	1.607	1.493	1.465	1.625	1.448	1.570
270.0	104.3	83.14	59.33	56.84	102.3	162.5	136.9	169.9	686.8	 1749	 2122	910.5	70.35	10.71	8.527	7.231	6.555	5.399	4.670	4.428	4.089	3.920	3.740	3.512	3.284	3.131	3.163	3.118	2.918	2.756	2.762	2.588	2.520	2.341	2.290	2.087	1.915	1.914	2.015	1.863	1.812	1.694	1.828	1.779	1.777	1.692	1.485	1.671	1.475	1.246	1.189	1.457	1.518	1.783	2.015	2.124	2.105	1.833	1.871	2.410	3.122	5.044	7.645	10.35	11.89	10.76	6.754	3.248	1.622	1.516	1.401	1.436	1.569	1.562	1.549	1.451	1.548
