Sample:	'1
File name:	Default_20250730_191015.FD3
Run date:	'19:03:54, 07/30/2025
Operator:	dsjg
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2198-001
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	245.0/400.0	 6969
2	250.0/450.0	 5424
3	255.0/640.0	41.57
4	275.0/605.0	58.94
5	310.0/395.0	 6376
6	490.0/395.0	32.20
7	505.0/450.0	27.56

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	154.7	823.3	 1516	506.6	51.42	34.86	28.92	25.38	21.26	18.51	16.17	15.04	13.10	11.56	10.01	9.408	8.478	8.022	7.449	7.061	6.475	5.913	5.452	5.306	5.059	4.677	4.644	4.343	4.200	4.295	4.020	3.879	3.769	3.508	3.418	3.178	3.078	3.010	2.765	2.770	2.639	2.664	2.722	2.501	2.384	2.389	2.317	3.501	5.744	6.030	3.922	2.452	1.936	1.962	1.941	1.880	2.045	2.075	2.016	2.058	1.907	2.004	1.966	1.975	1.965	2.056	2.010	1.953	1.988	2.023	2.047	1.977	1.995	1.987	2.044	2.102	2.168
235.0	137.5	295.4	 1047	 1997	459.8	52.63	30.93	25.31	21.50	18.66	16.83	14.69	12.29	11.45	10.46	9.372	8.846	7.975	7.456	7.253	6.474	6.141	5.762	5.143	4.681	4.848	4.617	4.206	4.162	4.265	4.069	4.019	3.739	3.495	3.214	3.146	3.160	3.147	2.875	2.842	2.617	2.777	2.528	2.481	2.430	2.438	2.117	2.334	3.012	4.179	5.317	7.075	5.417	3.036	2.085	2.079	2.170	1.999	1.952	2.067	1.929	1.954	2.079	2.101	1.988	2.058	2.083	1.938	2.091	2.017	2.056	2.033	1.996	1.983	1.965	2.066	2.110
240.0	153.5	149.3	388.8	 1923	 2000	369.8	37.26	26.33	22.05	19.19	16.18	15.18	13.06	12.09	10.38	9.735	9.059	8.290	7.405	7.315	6.350	6.132	5.759	5.174	5.208	4.884	4.873	4.585	4.051	4.514	4.173	3.909	3.739	3.401	3.369	3.124	3.135	2.735	2.968	2.816	2.602	2.648	2.538	2.531	2.418	2.557	2.331	2.214	2.129	2.385	2.976	6.154	9.130	8.866	5.428	2.347	2.161	2.101	1.917	2.165	1.870	1.971	2.144	1.847	1.932	2.059	2.043	1.984	1.938	1.970	2.167	2.033	1.862	2.022	1.970	1.931	2.209
245.0	148.2	135.9	146.1	808.3	 2392	 2148	246.7	28.46	23.16	19.71	17.51	14.95	12.44	11.47	11.25	9.434	9.023	7.728	7.649	7.682	6.382	6.077	5.682	5.734	4.872	4.794	4.839	4.684	4.406	4.325	4.245	4.018	3.622	3.576	3.417	3.039	2.995	2.934	2.793	2.824	2.613	2.555	2.656	2.515	2.411	2.475	2.367	2.291	2.036	1.814	1.947	3.174	5.660	9.455	11.51	8.854	4.318	2.246	1.822	2.131	1.900	1.963	2.173	2.059	1.920	2.016	1.937	2.038	1.916	2.088	1.972	2.017	1.915	2.022	2.045	2.031	2.221
250.0	135.2	127.1	122.6	238.9	880.9	 2330	 2420	808.7	60.83	21.23	17.84	15.94	14.22	11.61	11.03	9.885	8.993	8.459	7.689	7.390	6.767	6.242	5.894	5.740	5.106	4.880	4.846	4.661	4.476	4.552	4.253	4.065	3.786	3.638	3.262	2.985	3.143	2.834	2.795	2.787	2.701	2.524	2.637	2.538	2.443	2.369	2.220	2.265	2.163	1.916	1.799	2.278	2.796	4.123	6.353	9.721	12.35	12.16	8.475	4.265	2.174	1.963	2.083	2.032	1.935	2.052	1.956	2.065	2.061	2.057	2.152	1.944	1.973	2.005	2.060	2.040	2.195
255.0	124.1	102.1	111.6	141.3	242.4	657.3	 2156	 2974	318.6	58.64	19.49	17.02	14.84	12.26	11.70	10.25	9.078	8.711	8.004	7.746	6.871	6.470	5.650	5.633	5.120	5.188	4.928	4.639	4.277	4.506	4.324	4.106	3.690	3.632	3.462	3.204	3.034	3.042	2.919	2.745	2.580	2.699	2.798	2.407	2.613	2.391	2.284	2.086	2.022	1.967	1.867	2.386	2.349	2.530	2.949	3.774	5.247	9.478	15.68	18.80	12.72	4.626	2.259	2.004	2.032	1.891	2.049	1.965	2.059	2.131	2.015	2.039	1.914	2.053	2.052	1.988	2.242
260.0	123.6	96.14	82.38	117.8	129.8	185.4	733.9	 2941	 2490	277.7	36.79	17.94	14.70	12.19	11.37	10.83	9.464	8.911	8.153	7.907	7.198	6.286	5.731	5.516	5.100	5.011	5.069	4.622	4.868	4.459	4.267	4.348	3.839	3.539	3.263	3.289	3.039	3.132	2.913	2.716	2.760	2.783	2.781	2.494	2.529	2.450	2.299	2.113	1.983	1.753	1.986	2.265	2.320	2.347	2.249	2.425	2.884	4.018	7.322	14.68	21.72	18.85	9.875	3.387	2.117	1.901	2.005	1.897	1.977	2.132	2.010	2.051	1.999	2.208	2.223	2.152	2.212
265.0	126.3	98.65	77.04	86.74	121.0	104.4	200.1	 1121	 3295	 2192	228.6	23.56	15.43	12.66	11.46	10.07	9.628	9.166	8.576	7.627	7.414	6.449	5.895	5.656	5.386	5.053	4.978	4.615	4.545	4.501	4.225	4.184	3.973	3.781	3.413	3.204	3.084	3.017	2.831	2.669	2.623	2.629	2.707	2.823	2.577	2.370	2.229	2.118	2.064	1.837	1.767	2.148	2.315	2.418	2.332	2.325	2.254	2.535	3.245	5.514	11.09	19.02	23.49	17.11	7.380	2.335	1.991	2.134	2.004	2.055	2.081	2.162	1.994	1.975	2.130	2.134	2.177
270.0	134.3	99.43	73.04	64.37	86.23	114.1	114.6	292.8	 1118	 2773	 2890	901.5	70.73	14.71	12.38	11.29	9.938	8.962	8.750	7.787	7.260	6.818	6.262	5.944	5.397	5.272	5.341	4.766	4.968	4.510	4.479	4.237	4.004	3.824	3.473	3.317	3.219	3.100	2.989	2.839	2.637	2.667	2.714	2.786	2.583	2.441	2.378	2.106	2.061	1.860	1.695	2.009	2.040	2.230	2.238	2.412	2.503	2.354	2.350	2.952	4.153	6.519	10.97	16.26	20.07	19.32	13.75	6.692	2.593	2.044	2.154	2.143	1.998	2.028	2.069	2.088	2.154
275.0	157.7	116.9	86.00	64.35	60.46	81.20	128.4	147.5	293.8	745.7	 2189	 4360	 1360	85.48	14.76	11.49	10.31	9.309	8.824	7.742	7.574	6.615	6.339	5.984	5.624	5.046	4.976	4.539	4.885	4.654	4.516	4.393	4.017	3.813	3.684	3.270	3.280	3.177	3.015	2.883	2.792	2.814	2.623	2.787	2.634	2.541	2.293	2.320	2.182	1.863	1.881	1.937	2.020	2.071	2.105	2.120	2.440	2.737	2.775	2.434	2.596	3.080	4.171	5.330	7.215	12.37	22.24	28.08	19.66	6.378	2.576	2.110	2.216	1.987	2.017	2.089	2.167
280.0	177.1	127.9	94.91	68.14	56.30	62.88	108.9	157.5	153.2	231.5	719.5	 3047	 4621	 1102	51.22	13.32	11.25	10.41	9.203	8.217	7.930	7.043	6.429	5.989	5.672	5.451	5.156	4.699	4.771	4.698	4.596	4.506	4.276	3.974	3.811	3.543	3.267	3.197	3.072	2.827	2.828	2.792	2.619	2.916	2.726	2.660	2.446	2.426	2.187	1.928	1.857	2.021	2.016	2.063	1.998	2.119	2.213	2.397	2.762	2.711	2.621	2.559	2.761	3.056	3.468	4.691	8.888	18.10	28.22	27.40	14.83	3.783	2.141	2.109	2.213	2.081	2.252
285.0	205.7	155.5	103.3	72.68	58.42	61.71	88.59	156.2	187.3	164.4	270.2	 1079	 3623	 4621	817.5	24.49	12.55	11.02	9.817	8.848	8.391	7.313	7.032	5.954	6.101	5.505	5.340	4.894	5.127	4.867	4.679	4.261	4.216	4.030	3.691	3.663	3.523	3.276	3.096	2.943	2.917	2.903	2.763	2.916	2.697	2.679	2.539	2.559	2.324	1.939	1.842	2.144	2.137	2.163	2.211	2.089	2.190	2.181	2.542	2.617	2.917	2.781	2.639	2.643	2.914	3.037	3.958	6.587	12.86	23.22	31.66	24.03	9.259	2.499	2.026	2.053	2.126
290.0	235.0	190.2	127.5	83.93	63.89	66.95	84.78	135.3	221.3	266.9	257.4	419.9	 1197	 3005	 4092	 2049	52.33	13.17	11.23	9.858	8.616	7.765	7.400	6.666	5.896	5.783	5.387	5.090	5.176	4.899	4.739	4.403	4.257	4.171	3.900	3.618	3.688	3.330	3.292	3.034	2.918	3.014	2.902	2.950	2.701	2.653	2.564	2.627	2.323	2.028	1.976	2.239	2.067	2.132	2.225	2.138	2.231	2.350	2.414	2.431	2.621	2.914	3.173	3.339	3.189	2.988	3.216	3.689	5.209	7.999	13.03	19.46	24.25	24.54	16.46	7.209	2.485
295.0	274.9	212.2	147.9	90.91	77.84	80.77	100.0	145.5	218.5	340.5	396.5	364.3	459.4	836.4	 2044	 4869	 3394	63.06	13.66	11.06	9.861	8.599	7.771	6.832	6.441	6.197	5.623	5.252	5.083	5.039	4.753	4.466	4.311	4.219	4.004	3.890	3.853	3.495	3.312	3.085	3.067	3.175	3.050	2.855	2.688	2.832	2.723	2.483	2.388	2.099	2.059	2.180	2.197	2.203	2.336	2.232	2.297	2.425	2.383	2.526	2.728	2.889	3.156	3.822	3.813	3.863	3.647	3.440	3.621	4.118	5.096	6.459	8.435	14.25	26.54	34.69	24.28
300.0	304.9	239.9	160.4	105.6	87.73	94.54	116.9	158.1	225.3	342.4	471.6	448.1	342.8	333.2	629.2	 2714	 6043	725.7	42.62	12.45	11.04	9.293	8.092	7.600	6.885	6.195	5.657	5.685	5.293	5.105	4.892	4.629	4.298	4.336	3.965	4.166	3.743	3.507	3.582	3.182	3.148	3.239	3.117	2.908	2.863	3.052	2.766	2.708	2.422	2.195	2.006	2.282	2.223	2.146	2.208	2.301	2.339	2.549	2.477	2.694	2.727	2.890	3.298	3.550	3.879	4.275	4.280	3.886	3.573	3.294	3.458	3.570	3.744	5.203	10.43	22.36	39.25
305.0	302.3	263.6	176.3	114.2	100.4	105.0	135.0	180.9	254.0	355.1	476.3	532.6	389.3	249.9	233.4	867.8	 3687	 5834	600.5	25.17	11.91	9.826	8.849	8.125	7.065	6.484	6.189	5.935	5.524	5.390	5.125	4.827	4.398	4.417	4.014	4.198	3.795	3.681	3.418	3.421	3.270	3.109	3.251	2.976	2.926	2.957	2.750	2.764	2.501	2.166	2.103	2.336	2.416	2.179	2.181	2.367	2.466	2.588	2.553	2.874	2.753	3.084	3.507	3.616	3.955	4.074	4.415	4.359	3.950	3.396	3.189	3.073	2.838	3.080	4.385	7.801	16.85
310.0	334.6	279.4	191.8	139.6	123.2	129.7	167.5	220.2	295.8	394.0	486.4	547.1	507.3	322.6	185.4	270.1	 1076	 3417	 5087	 2464	40.85	12.61	10.30	9.283	8.117	6.969	6.748	6.193	5.478	5.554	5.502	4.966	4.638	4.336	4.117	4.124	3.808	3.780	3.617	3.460	3.245	3.141	3.235	3.009	2.978	3.069	2.919	2.862	2.485	2.234	2.147	2.444	2.364	2.440	2.345	2.393	2.591	2.670	2.790	3.016	3.070	3.443	3.578	3.747	3.873	4.095	4.126	4.430	4.360	4.235	3.753	3.199	2.898	2.859	3.000	3.750	5.826
315.0	373.9	312.2	226.9	169.7	155.2	173.7	212.7	280.5	360.8	469.7	551.3	579.8	548.6	469.2	261.3	168.3	312.4	845.8	 2242	 7112	 3774	51.44	13.26	10.90	9.257	8.242	7.254	6.398	6.177	5.671	5.654	5.285	5.028	4.403	4.359	3.974	4.248	3.775	3.500	3.583	3.215	3.315	3.230	3.230	3.050	3.136	2.966	2.853	2.614	2.328	2.198	2.452	2.405	2.472	2.502	2.495	2.779	3.015	3.001	3.132	3.243	3.744	3.912	4.007	4.072	4.548	4.598	4.525	4.270	4.383	4.384	3.999	3.458	3.113	2.941	3.090	3.416
320.0	415.1	373.7	282.8	201.0	184.3	206.5	267.9	344.8	442.2	546.1	634.9	656.8	604.3	520.6	378.7	197.4	162.7	248.0	630.7	 3535	 9153	 2878	39.06	13.07	11.10	9.133	7.791	7.065	6.562	6.079	5.668	5.568	5.086	4.508	4.479	4.290	4.078	3.804	3.596	3.582	3.394	3.316	3.536	3.463	3.262	3.275	3.065	3.143	2.969	2.514	2.380	2.600	2.649	2.621	2.748	2.727	2.955	3.072	3.290	3.469	3.661	4.011	4.167	4.658	4.739	4.736	4.853	5.024	4.600	4.648	4.611	4.167	4.235	3.607	3.077	3.146	3.049
325.0	497.1	487.6	383.3	256.5	226.3	245.9	320.5	409.0	527.0	644.2	740.1	754.4	683.5	558.9	458.0	283.1	159.1	130.8	192.2	 1017	 5369	9999.9	489.0	28.32	13.05	10.74	9.620	7.940	7.201	6.504	6.045	5.618	5.361	4.864	4.444	4.383	4.046	3.966	3.887	3.760	3.639	3.347	3.490	3.520	3.522	3.640	3.284	3.369	3.304	2.847	2.573	2.845	2.959	2.670	3.015	2.788	3.236	3.418	3.589	3.828	4.010	4.333	4.656	5.028	4.902	5.267	5.168	5.210	5.337	4.773	4.589	4.415	4.376	4.109	3.652	3.351	3.259
330.0	596.7	616.6	534.5	374.0	309.0	317.5	399.2	514.5	647.8	773.4	865.9	878.0	801.3	652.6	500.4	384.2	254.0	143.1	119.1	286.3	 1450	 5442	 9143	 4831	38.21	14.56	11.80	9.339	8.257	7.632	6.660	6.177	5.633	5.135	4.820	4.600	4.120	4.237	3.935	3.817	3.828	3.642	3.567	3.683	3.738	3.899	3.655	3.936	3.776	3.199	2.998	3.184	3.287	3.183	3.216	3.175	3.601	3.676	3.981	4.263	4.565	4.847	5.271	5.352	5.700	5.755	5.697	5.717	5.688	5.385	5.309	5.013	4.509	4.256	4.077	4.088	3.621
335.0	656.1	769.1	676.8	505.8	410.3	402.4	473.7	604.5	753.8	900.2	972.9	 1003	914.4	756.8	562.4	415.1	355.6	232.6	141.4	151.3	390.6	 1305	 3641	9999.9	 3483	49.58	16.08	11.85	10.64	8.517	7.683	6.622	5.960	5.432	5.120	4.658	4.609	4.584	3.919	3.905	3.829	3.898	3.827	3.880	3.896	4.260	3.975	4.330	4.176	3.652	3.551	3.686	3.660	3.535	3.429	3.627	3.833	4.146	4.216	4.718	4.976	5.336	5.568	5.744	6.113	6.268	6.239	6.335	5.992	5.895	5.508	5.239	4.898	4.472	4.049	4.340	4.312
340.0	787.1	873.7	766.8	596.8	484.4	453.0	533.3	654.8	808.6	952.7	 1035	 1062	976.3	819.2	607.9	440.6	363.0	320.3	196.6	149.3	183.5	368.4	959.3	 5408	9999.9	 2947	41.59	14.73	12.60	10.03	8.637	7.353	6.291	5.871	5.301	4.979	4.863	4.635	4.159	3.939	4.045	4.132	4.200	4.021	3.998	4.187	4.304	4.808	4.627	3.903	3.770	3.948	3.930	3.881	3.773	3.799	4.190	4.458	4.456	4.986	5.237	5.495	5.549	6.014	6.186	6.708	6.733	6.553	6.384	6.250	5.761	5.520	5.277	4.512	4.304	4.265	4.080
345.0	810.5	916.9	835.6	662.3	549.2	511.5	577.4	693.8	840.6	978.9	 1068	 1072	 1000	850.2	650.3	475.5	376.0	358.4	291.0	195.5	169.5	189.2	294.6	 1489	 8170	9999.9	424.2	32.30	15.23	12.18	9.584	8.439	7.059	6.169	5.559	5.316	5.157	4.583	4.376	4.116	4.250	4.251	4.404	4.139	4.101	4.469	4.413	4.808	4.779	4.343	3.889	4.477	4.216	4.188	3.881	4.147	4.487	4.587	4.896	5.115	5.464	5.706	5.871	6.257	6.624	6.743	6.822	6.641	6.675	6.303	6.212	5.806	5.471	5.105	4.644	4.625	4.176
350.0	895.7	975.2	917.5	789.7	684.4	638.9	666.4	747.8	866.2	980.8	 1068	 1087	 1025	903.2	728.8	580.8	492.7	445.6	437.2	380.7	286.6	243.7	221.9	445.4	 2168	 7573	9999.9	 6478	39.14	18.02	12.78	10.36	8.014	6.916	6.099	5.652	5.515	4.960	4.771	4.569	4.387	4.542	4.517	4.369	4.664	4.750	4.660	5.189	5.160	4.424	4.274	4.924	5.000	4.854	4.631	4.699	5.114	5.061	5.223	5.399	5.615	5.755	6.095	6.230	6.648	6.808	6.475	6.697	6.826	6.471	6.328	5.958	5.823	5.453	5.167	5.034	4.873
355.0	 1093	 1122	 1083	 1033	 1004	933.2	894.1	875.8	905.3	995.5	 1071	 1110	 1090	 1031	925.1	822.5	770.5	725.9	688.6	661.5	575.0	469.9	374.3	340.7	652.4	 1835	 4741	9999.9	 3247	50.15	18.76	12.99	9.891	8.259	6.862	6.026	5.976	5.776	5.341	5.324	5.111	5.175	4.962	5.042	5.362	5.257	5.334	5.860	5.576	5.162	5.166	6.001	5.935	6.327	6.205	6.011	6.272	5.970	6.069	5.878	5.973	6.116	6.296	6.168	6.571	6.794	6.908	6.726	7.136	7.048	6.742	6.818	6.700	6.480	6.781	6.656	6.572
360.0	 1344	 1348	 1319	 1356	 1403	 1353	 1189	 1035	981.9	 1023	 1111	 1179	 1220	 1226	 1182	 1075	 1153	 1145	 1118	 1072	996.9	807.7	562.4	477.8	433.2	606.8	 1275	 6532	9999.9	 2943	42.74	17.37	12.14	9.614	7.902	6.867	6.749	6.520	6.205	6.231	6.291	6.479	5.814	6.178	6.177	6.276	6.046	6.311	6.279	6.031	6.028	7.306	7.807	8.162	7.890	7.967	7.987	7.591	7.444	6.487	6.468	6.546	6.341	6.413	6.935	7.089	6.990	7.143	7.433	7.128	7.588	7.900	7.634	7.860	8.503	8.711	8.733
365.0	 1745	 1608	 1730	 1871	 1987	 1949	 1669	 1317	 1087	 1073	 1172	 1303	 1418	 1476	 1584	 1629	 1711	 1749	 1729	 1633	 1499	 1297	983.0	750.1	523.9	448.1	486.0	 1804	9999.9	9999.9	 2333	33.95	15.15	11.41	9.177	7.892	7.600	7.648	7.779	7.248	7.701	7.675	7.447	7.520	7.255	7.339	7.137	7.352	7.422	7.291	7.154	8.993	9.749	10.72	10.39	10.33	10.55	9.813	9.173	8.102	7.266	7.234	6.505	7.023	7.253	7.272	7.481	7.898	8.542	8.691	8.753	9.498	10.01	10.13	10.69	11.45	11.47
370.0	 2421	 2366	 2483	 2827	 3129	 3093	 2549	 1828	 1333	 1202	 1322	 1543	 1799	 2070	 2329	 2554	 2750	 2859	 2837	 2692	 2422	 2103	 1707	 1276	905.0	615.2	444.8	606.5	 2653	 8998	9999.9	 7298	143.8	16.45	11.89	10.21	9.516	9.567	9.565	9.824	10.08	9.985	9.998	9.805	9.611	9.537	9.041	9.539	9.424	9.267	9.954	12.90	13.78	15.33	15.63	15.73	15.41	13.74	12.47	10.49	8.945	7.852	7.465	7.450	7.576	8.050	8.415	9.119	9.883	10.64	11.26	12.41	13.38	14.09	15.03	16.25	17.46
375.0	 3296	 3193	 3353	 3966	 4499	 4391	 3590	 2436	 1614	 1367	 1512	 1838	 2253	 2739	 3208	 3591	 3932	 4126	 4120	 3923	 3508	 3015	 2482	 1922	 1360	914.0	598.4	435.3	770.0	 2143	 5036	9999.9	9999.9	43.44	16.71	13.29	12.18	12.25	12.39	12.71	12.70	13.46	13.05	12.45	12.78	11.97	11.16	11.93	11.87	11.89	12.92	16.96	18.95	21.01	20.88	21.07	21.09	18.24	16.07	13.01	10.84	8.957	8.209	8.003	8.398	8.819	9.922	10.62	11.53	12.50	13.84	15.55	17.15	18.49	20.64	21.78	23.86
380.0	 3901	 3718	 3978	 4696	 5369	 5337	 4336	 2867	 1824	 1483	 1623	 2034	 2575	 3194	 3776	 4301	 4722	 4974	 4979	 4731	 4256	 3639	 2984	 2340	 1677	 1123	727.8	458.1	387.1	610.8	 1290	 7187	9999.9	 2583	36.30	16.06	14.82	14.23	14.30	14.78	14.79	14.82	14.88	13.97	14.22	13.74	12.63	13.52	13.37	13.35	14.72	19.64	22.18	24.56	25.06	25.21	25.21	21.30	18.95	15.02	12.31	9.665	8.785	8.453	8.792	9.422	10.53	11.40	12.60	13.84	15.83	17.65	20.00	21.57	23.49	25.87	27.65
385.0	 4353	 4103	 4446	 5237	 6043	 5994	 4857	 3181	 1965	 1555	 1710	 2169	 2811	 3506	 4189	 4816	 5308	 5576	 5618	 5339	 4805	 4114	 3364	 2622	 1944	 1302	837.6	513.2	337.4	291.7	393.4	 1903	9999.9	9999.9	 1949	28.90	17.33	16.21	16.28	16.06	16.51	16.80	16.53	15.63	15.47	14.94	13.81	14.55	14.46	14.95	16.10	21.89	24.65	27.14	27.55	28.08	28.17	23.50	20.41	16.37	12.99	10.71	9.280	8.969	9.085	10.07	10.79	11.86	13.44	14.98	16.91	19.09	21.64	23.64	26.04	28.71	30.65
390.0	 4724	 4460	 4857	 5721	 6619	 6630	 5347	 3478	 2100	 1625	 1780	 2278	 2971	 3781	 4542	 5235	 5794	 6094	 6150	 5864	 5290	 4542	 3723	 2898	 2155	 1514	983.8	609.2	381.2	260.7	220.5	511.2	 2576	 8577	9999.9	 6153	126.8	20.37	18.44	18.21	18.29	18.15	17.86	17.27	16.63	16.26	14.75	15.69	15.98	15.91	17.45	23.48	26.75	29.56	30.45	30.90	29.85	26.00	22.12	17.68	14.00	11.37	9.710	9.324	9.367	10.46	11.28	12.33	14.18	16.13	17.94	20.71	23.22	25.87	27.98	31.23	33.24
