Sample:	'1
File name:	Default_20230714_154416.FD3
Run date:	'15:37:55, 07/14/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/265.0	-6.318
2	225.0/540.0	-6.533
3	225.0/635.0	-9.016
4	230.0/300.0	23.74
5	230.0/525.0	2.541
6	230.0/555.0	-6.772
7	235.0/305.0	23.64
8	235.0/505.0	24.87
9	235.0/610.0	-4.261
10	240.0/520.0	46.62
11	240.0/560.0	0.000
12	240.0/585.0	-2.246
13	240.0/600.0	-1.392
14	240.0/625.0	-7.133
15	245.0/265.0	149.9
16	245.0/535.0	39.01
17	245.0/620.0	-10.96
18	250.0/270.0	194.2
19	250.0/365.0	 3719
20	250.0/545.0	62.76
21	250.0/605.0	-6.810
22	250.0/615.0	-6.102
23	250.0/645.0	2.728
24	255.0/280.0	280.7
25	255.0/555.0	48.73
26	255.0/610.0	-0.516
27	260.0/285.0	372.9
28	260.0/565.0	46.19
29	260.0/635.0	0.353
30	265.0/290.0	399.1
31	265.0/580.0	60.35
32	265.0/620.0	3.049
33	265.0/630.0	2.658
34	270.0/240.0	-3.955
35	270.0/295.0	533.7
36	270.0/495.0	37.15
37	270.0/590.0	52.47
38	270.0/625.0	4.124
39	275.0/245.0	-1.015
40	275.0/305.0	621.0
41	275.0/605.0	44.25
42	280.0/310.0	553.2
43	280.0/615.0	40.72
44	285.0/235.0	-1.331
45	285.0/250.0	0.276
46	285.0/315.0	530.1
47	285.0/630.0	31.95
48	290.0/240.0	0.990
49	290.0/320.0	484.9
50	290.0/640.0	24.22
51	295.0/255.0	-0.181
52	295.0/330.0	355.0
53	300.0/335.0	359.5
