Sample:	'1
File name:	Default_20230713_103215.FD3
Run date:	'10:25:54, 07/13/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/275.0	-8.281
2	225.0/335.0	834.3
3	225.0/535.0	-17.28
4	225.0/590.0	-14.67
5	225.0/640.0	-10.58
6	230.0/350.0	786.6
7	230.0/560.0	-6.093
8	230.0/605.0	-15.01
9	230.0/615.0	-9.119
10	230.0/625.0	-15.00
11	235.0/555.0	-1.527
12	235.0/570.0	-15.32
13	235.0/585.0	1.253
14	235.0/595.0	6.961
15	235.0/620.0	-6.293
16	240.0/610.0	-0.625
17	245.0/570.0	12.26
18	245.0/605.0	-0.664
19	250.0/545.0	65.97
20	255.0/280.0	294.2
21	255.0/460.0	184.0
22	255.0/555.0	61.33
23	260.0/285.0	449.3
24	260.0/565.0	56.02
25	265.0/240.0	-2.236
26	265.0/290.0	540.2
27	265.0/585.0	67.30
28	270.0/235.0	-5.266
29	270.0/590.0	73.85
30	275.0/335.0	 2722
31	275.0/505.0	77.78
32	275.0/605.0	88.48
33	275.0/640.0	91.30
34	280.0/620.0	76.96
35	295.0/240.0	-1.710
36	300.0/275.0	0.937
37	310.0/235.0	-1.271
38	310.0/255.0	-1.638
39	310.0/280.0	-0.578
40	310.0/385.0	460.2
41	315.0/245.0	-0.473
42	315.0/355.0	488.0
43	320.0/240.0	-1.951
44	320.0/265.0	-1.611
45	320.0/360.0	550.1
46	325.0/365.0	532.6
47	325.0/585.0	1.943
48	325.0/605.0	0.461
49	330.0/260.0	-0.446
50	330.0/625.0	-0.152
51	335.0/255.0	-1.456
52	335.0/380.0	433.3
53	335.0/595.0	0.918
54	340.0/305.0	0.441
55	340.0/385.0	384.6
56	340.0/640.0	-0.576
57	350.0/280.0	-0.299
58	350.0/310.0	-0.417
59	355.0/405.0	210.7
60	360.0/245.0	-0.646
